Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Dictyostelium discoideum GN=qprt PE=3 SV=1	sp|Q75JX0|NADC_DICDI	33 kDa		5
Probable short/branched chain specific acyl-CoA dehydrogenase OS=Dictyostelium discoideum GN=acadsb PE=3 SV=1	sp|Q54RR5|ACDSB_DICDI	45 kDa		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa	TRUE	10
Aminoacylase-1 OS=Dictyostelium discoideum GN=acy1 PE=2 SV=1	sp|Q55DP8|ACY1_DICDI	47 kDa		14
60S ribosomal protein L35 OS=Dictyostelium discoideum GN=rpl35 PE=3 SV=1	sp|Q54J23|RL35_DICDI	14 kDa		2
Cytidylate kinase OS=Dictyostelium discoideum GN=pyrK PE=1 SV=2	sp|P20425|KCY_DICDI	22 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204927 PE=4 SV=1	tr|Q54S30|Q54S30_DICDI	74 kDa		8
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa		1
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		4
Proteasome subunit beta type-3 OS=Dictyostelium discoideum GN=psmB3 PE=3 SV=1	sp|Q55D66|PSB3_DICDI	23 kDa		4
Cytochrome c oxidase subunit 5 OS=Dictyostelium discoideum GN=cxeA PE=1 SV=3	sp|P29505|COX5_DICDI	13 kDa	TRUE	3
Myosin ID heavy chain OS=Dictyostelium discoideum GN=myoD PE=1 SV=2	sp|P34109|MYOD_DICDI	124 kDa	TRUE	8
Dynactin 150 kDa subunit OS=Dictyostelium discoideum GN=dynA PE=4 SV=1	tr|Q54VD6|Q54VD6_DICDI	173 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203824 PE=4 SV=1	tr|Q551R4|Q551R4_DICDI	231 kDa	TRUE	5
Probable serine/threonine-protein kinase kinX OS=Dictyostelium discoideum GN=kinX PE=3 SV=2	sp|Q23915|KINX_DICDI	127 kDa		6
NAD+ transhydrogenase OS=Dictyostelium discoideum GN=DDB_G0269046 PE=4 SV=1	tr|Q55F30|Q55F30_DICDI	123 kDa	TRUE	11
Reticulon family protein OS=Dictyostelium discoideum GN=rtnlc PE=4 SV=1	tr|Q54CA6|Q54CA6_DICDI	35 kDa		7
Carbonic anhydrase OS=Dictyostelium discoideum GN=cahA PE=3 SV=1	tr|Q55BU2|Q55BU2_DICDI	31 kDa		4
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		5
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Dictyostelium discoideum GN=uppA PE=2 SV=2	sp|P08800|UGPA1_DICDI	58 kDa		4
26S protease regulatory subunit 6A homolog OS=Dictyostelium discoideum GN=psmC3 PE=1 SV=1	sp|Q54PN7|PRS6A_DICDI	47 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205217 PE=4 SV=1	tr|Q54VB8|Q54VB8_DICDI	33 kDa		5
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa		11
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=wdr23 PE=4 SV=1	tr|Q54E28|Q54E28_DICDI	77 kDa		22
Putative thioredoxin-5 OS=Dictyostelium discoideum GN=trxE PE=3 SV=1	sp|Q54KN7|THIO5_DICDI	12 kDa		3
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		9
DOCK family protein OS=Dictyostelium discoideum GN=docB PE=4 SV=1	rtr|Q55BQ8|Q55BQ8_DICDI	244 kDa	TRUE	2
Uncharacterized protein DDB_G0268318 OS=Dictyostelium discoideum GN=DDB_G0268318 PE=4 SV=1	rsp|Q55GE7|Y2120_DICDI	32 kDa		0
50S ribosomal protein L19.	sp|P0A7K6|RL19_ECOLI	13 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184242 PE=4 SV=1	rtr|Q54DM6|Q54DM6_DICDI	135 kDa	TRUE	0
Pre-mRNA-processing-splicing factor 8 homolog OS=Dictyostelium discoideum GN=prpf8 PE=3 SV=1	sp|Q8T295|PRP8_DICDI	272 kDa	TRUE	1
DNA-directed RNA polymerase II subunit rpb2 OS=Dictyostelium discoideum GN=polr2b PE=3 SV=1	sp|Q54J75|RPB2_DICDI	132 kDa	TRUE	2
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60 kDa		8
Group IV decarboxylase OS=Dictyostelium discoideum GN=ddcB PE=1 SV=1	tr|Q75JL7|Q75JL7_DICDI	48 kDa		7
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa	TRUE	7
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		8
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa	TRUE	13
V-type proton ATPase subunit d OS=Dictyostelium discoideum GN=vatD-1 PE=1 SV=2	sp|P54641|VA0D_DICDI	41 kDa		1
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa		8
"Elongation factor G, mitochondrial OS=Dictyostelium discoideum GN=gfm1 PE=3 SV=1"	sp|Q55E94|EFGM_DICDI	82 kDa		3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0185652 PE=3 SV=1	tr|Q54QN6|Q54QN6_DICDI	27 kDa		0
60S ribosomal protein L34 OS=Dictyostelium discoideum GN=rpl34 PE=3 SV=1	sp|Q54LV8|RL34_DICDI	14 kDa		4
60S ribosomal protein L37 OS=Dictyostelium discoideum GN=rpl37 PE=3 SV=1	sp|Q54MG6|RL37_DICDI	10 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0288519 PE=4 SV=1	tr|Q54IU1|Q54IU1_DICDI	52 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167407 PE=4 SV=1	tr|Q86I47|Q86I47_DICDI	34 kDa		4
Ras GTPase-activating-like protein gapA OS=Dictyostelium discoideum GN=gapA PE=1 SV=1	sp|O00899|GAPA_DICDI	99 kDa	TRUE	5
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219348 PE=4 SV=1	tr|Q54IW4|Q54IW4_DICDI	75 kDa		6
Leucine-rich repeat protein lrrA OS=Dictyostelium discoideum GN=lrrA PE=1 SV=1	sp|Q54AX5|LRRA_DICDI	57 kDa	TRUE	9
Calcium up-regulated protein F OS=Dictyostelium discoideum GN=cupF PE=2 SV=2	sp|Q7Z1I0|CUPF_DICDI	85 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204282 PE=4 SV=1	tr|Q54T96|Q54T96_DICDI	70 kDa	TRUE	5
Alcohol dehydrogenase class-3 OS=Dictyostelium discoideum GN=adh5 PE=3 SV=1	sp|Q54TC2|ADHX_DICDI	41 kDa	TRUE	4
Probable ornithine decarboxylase OS=Dictyostelium discoideum GN=odc PE=3 SV=1	sp|Q54UF3|DCOR_DICDI	52 kDa		3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0167345 PE=3 SV=1	tr|Q869L6|Q869L6_DICDI	32 kDa	TRUE	11
Myosin light chain kinase A OS=Dictyostelium discoideum GN=mlkA PE=1 SV=2	sp|P25323|MYLKA_DICDI	33 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		11
Importin subunit alpha-B OS=Dictyostelium discoideum GN=DDB_G0272318 PE=3 SV=1	sp|Q76P29|IMAB_DICDI	58 kDa	TRUE	1
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	tr|Q54Q07|Q54Q07_DICDI	62 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185931 PE=4 SV=1	tr|Q54PW3|Q54PW3_DICDI	106 kDa		11
"ATP synthase subunit O, mitochondrial OS=Dictyostelium discoideum GN=atp5O PE=3 SV=1"	sp|Q54RA8|ATPO_DICDI	33 kDa		11
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	sp|Q54JM3|ULA1_DICDI	59 kDa		7
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=uap56 PE=4 SV=1	tr|Q55CR6|Q55CR6_DICDI	48 kDa	TRUE	5
"Peptidyl-prolyl cis-trans isomerase D, mitochondrial OS=Dictyostelium discoideum GN=cypD PE=1 SV=1"	sp|Q9UA41|PPID_DICDI	19 kDa		2
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100 kDa	TRUE	4
COP9 signalosome complex subunit 4 OS=Dictyostelium discoideum GN=csn4 PE=2 SV=1	sp|Q54B82|CSN4_DICDI	45 kDa		6
Probable polyketide synthase 18 OS=Dictyostelium discoideum GN=pks18 PE=2 SV=1	rsp|Q54TW0|PKS18_DICDI	340 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205220 PE=4 SV=1	tr|Q54VB5|Q54VB5_DICDI	200 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185278 PE=4 SV=1	rtr|Q54RS8|Q54RS8_DICDI	108 kDa		0
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		4
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205795 PE=4 SV=1	tr|Q54WR3|Q54WR3_DICDI	155 kDa		12
Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1	sp|Q54TR1|CFAD_DICDI	59 kDa		1
"HAD superfamily hydrolase-like, type 3 OS=Dictyostelium discoideum GN=DDB_0169374 PE=4 SV=1"	tr|Q86KT5|Q86KT5_DICDI	33 kDa		3
"3-hydroxybutyryl-CoA dehydratase-like protein, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0271866 PE=3 SV=1"	sp|Q869N6|CRTL_DICDI	33 kDa	TRUE	4
Developmentally-regulated GTP-binding protein 1 homolog OS=Dictyostelium discoideum GN=drg1 PE=3 SV=1	sp|Q54HP3|DRG1_DICDI	41 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217007 PE=4 SV=1	tr|Q75JT6|Q75JT6_DICDI	36 kDa		1
Amidophosphoribosyltransferase OS=Dictyostelium discoideum GN=purF PE=3 SV=1	sp|Q86A85|PUR1_DICDI	57 kDa		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa		2
"Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1"	sp|Q86AS6|SYHC_DICDI	54 kDa		1
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		3
LIM domain-containing protein C OS=Dictyostelium discoideum GN=limC PE=2 SV=1	sp|Q9BIW5|LIMC_DICDI	21 kDa		4
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0289141 PE=4 SV=2	tr|Q54HY5|Q54HY5_DICDI	197 kDa		1
Putative vacuolar protein sorting-associated protein 13A OS=Dictyostelium discoideum GN=vps13A PE=2 SV=1	sp|Q54LB8|VP13A_DICDI	380 kDa	TRUE	1
Protein VASP homolog OS=Dictyostelium discoideum GN=vasp PE=1 SV=1	sp|Q5TJ65|VASP_DICDI	39 kDa		1
5-oxoprolinase OS=Dictyostelium discoideum GN=oplah PE=3 SV=2	sp|Q54NW6|OPLA_DICDI	139 kDa	TRUE	3
Integrin beta-like protein A OS=Dictyostelium discoideum GN=sibA PE=1 SV=2	sp|Q54KF7|SIBA_DICDI	208 kDa	TRUE	1
SH2 domain-containing protein OS=Dictyostelium discoideum GN=spt6 PE=4 SV=1	tr|Q55A48|Q55A48_DICDI	203 kDa	TRUE	0
Fumarylacetoacetase OS=Dictyostelium discoideum GN=fah PE=3 SV=1	sp|Q1ZXQ1|FAAA_DICDI	47 kDa		6
Ubiquinol-cytochrome c reductase iron-sulfur subunit (Fragment) OS=Dictyostelium discoideum GN=ucr PE=3 SV=2	tr|Q54NW9|Q54NW9_DICDI	23 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188436 PE=3 SV=1	tr|Q54HG8|Q54HG8_DICDI	71 kDa	TRUE	7
Putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0278295 OS=Dictyostelium discoideum GN=DDB_G0278295 PE=2 SV=1	sp|Q54YD2|Y8295_DICDI	15 kDa		2
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	sp|Q54RX9|RAB5B_DICDI	23 kDa		5
"1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1"	sp|Q555Q9|GLGB_DICDI	79 kDa		7
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa	TRUE	2
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169464 PE=4 SV=1	tr|Q75JL8|Q75JL8_DICDI	70 kDa		2
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa		5
Endothelial monocyte-activating polypeptide II pro-EMAP II family protein OS=Dictyostelium discoideum GN=DDB_G0291926 PE=4 SV=1	tr|Q54DX3|Q54DX3_DICDI	41 kDa		9
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa		0
Electron transfer flavoprotein subunit beta OS=Dictyostelium discoideum GN=etfb PE=3 SV=1	sp|Q54YZ4|ETFB_DICDI	27 kDa		2
Acyl-protein thioesterase 1 homolog 2 OS=Dictyostelium discoideum GN=DDB_G0268064 PE=2 SV=1	sp|Q55FK4|APT12_DICDI	25 kDa	TRUE	2
Peroxisomal acyl-coenzyme A oxidase 1 OS=Dictyostelium discoideum GN=acox1 PE=3 SV=1	sp|Q54GQ6|ACOX1_DICDI	80 kDa	TRUE	9
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		17
Hypothetical protein yegK.	sp|P76395|YEGK_ECOLI	27 kDa		4
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0183926 PE=4 SV=1	rtr|Q54EJ3|Q54EJ3_DICDI	53 kDa		1
Adenylate cyclase B OS=Dictyostelium fasciculatum GN=AcrA PE=4 SV=1	rtr|D0FHI8|D0FHI8_9MYCE	184 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204561 PE=1 SV=1	tr|Q54TQ6|Q54TQ6_DICDI	31 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218384 PE=4 SV=1	tr|Q54SF2|Q54SF2_DICDI	40 kDa		2
Myosin IB heavy chain OS=Dictyostelium discoideum GN=myoB PE=1 SV=2	sp|P34092|MYOB_DICDI	124 kDa	TRUE	6
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	sp|Q54J34|PUR8_DICDI	53 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216612 PE=4 SV=1	tr|Q55F29|Q55F29_DICDI	76 kDa		9
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	sp|Q23919|PGM1_DICDI	63 kDa	TRUE	5
Xanthine dehydrogenase OS=Dictyostelium discoideum GN=xdh PE=3 SV=1	sp|Q54FB7|XDH_DICDI	150 kDa		6
WASH complex subunit strumpellin homolog OS=Dictyostelium discoideum GN=DDB_G0288569 PE=1 SV=1	sp|Q54IR8|STRUM_DICDI	135 kDa	TRUE	5
GDP-L-fucose synthetase OS=Dictyostelium discoideum GN=ger PE=3 SV=1	sp|Q55C77|FCL_DICDI	36 kDa	TRUE	4
Glutaredoxin-3 homolog OS=Dictyostelium discoideum GN=glrx3 PE=3 SV=1	sp|Q86H62|GLRX3_DICDI	27 kDa		1
Glycylpeptide N-tetradecanoyltransferase OS=Dictyostelium discoideum GN=nmt PE=3 SV=2	sp|Q553B6|NMT_DICDI	48 kDa	TRUE	6
Probable 6-phosphogluconolactonase OS=Dictyostelium discoideum GN=pgl PE=3 SV=1	sp|Q54CJ3|6PGL_DICDI	27 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184511 PE=4 SV=1	tr|Q54CW1|Q54CW1_DICDI	19 kDa		2
40S ribosomal protein S25 OS=Dictyostelium discoideum GN=rps25 PE=3 SV=1	sp|Q03409|RS25_DICDI	12 kDa	TRUE	3
Putative uncharacterized protein cnxA OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	tr|Q55BA8|Q55BA8_DICDI (+1)	61 kDa		8
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa		2
DNA-directed RNA polymerase beta' chain	sp|P0A8T7|RPOC_ECOLI	155 kDa		2
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168344 PE=4 SV=2	tr|Q8T2R4|Q8T2R4_DICDI	17 kDa		2
Serine/threonine-protein phosphatase PP1 OS=Dictyostelium discoideum GN=pppB PE=1 SV=1	sp|O15757|PP1_DICDI	37 kDa		6
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Dictyostelium discoideum GN=ndufa9 PE=3 SV=1"	sp|Q559Z0|NDUA9_DICDI	40 kDa		6
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		3
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		3
Rho-related protein racC OS=Dictyostelium discoideum GN=racC PE=1 SV=1	sp|P34149|RACC_DICDI	22 kDa	TRUE	4
Probable eukaryotic translation initiation factor 6 OS=Dictyostelium discoideum GN=eif6 PE=3 SV=1	sp|Q551M2|IF6_DICDI	26 kDa		2
Guanine nucleotide-binding protein alpha-12 subunit OS=Dictyostelium discoideum GN=gpaL PE=3 SV=1	sp|Q54VG1|GPA12_DICDI	41 kDa		2
Interaptin OS=Dictyostelium discoideum GN=abpD PE=1 SV=1	sp|O76329|ACTNB_DICDI	204 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188918 PE=4 SV=1	rtr|Q54G03|Q54G03_DICDI	82 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203201 PE=4 SV=1	tr|Q555B4|Q555B4_DICDI	189 kDa	TRUE	4
Eukaryotic translation initiation factor 4 gamma OS=Dictyostelium discoideum GN=eif4g PE=3 SV=1	rsp|Q553R3|IF4G_DICDI	155 kDa	TRUE	0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0201846 PE=1 SV=1	tr|Q55D63|Q55D63_DICDI	43 kDa		6
Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI	159 kDa		4
T-complex protein 1 subunit gamma OS=Dictyostelium discoideum GN=cct3 PE=1 SV=1	sp|Q54TH8|TCPG_DICDI	59 kDa	TRUE	8
"Probable arginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=argS1 PE=3 SV=1"	sp|Q558Z0|SYRC_DICDI	67 kDa	TRUE	3
Discoidin-1 subunit D OS=Dictyostelium discoideum GN=dscD-1 PE=1 SV=2	sp|P02888|DIS1D_DICDI	28 kDa	TRUE	82
Proteasome subunit beta type-4 OS=Dictyostelium discoideum GN=psmB4-1 PE=3 SV=1	sp|Q556Q0|PSB4_DICDI	29 kDa		1
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20 kDa		1
Ras-related protein Rab-1D OS=Dictyostelium discoideum GN=rab1D PE=1 SV=1	sp|Q54NU2|RAB1D_DICDI	23 kDa	TRUE	13
Probable phosphoserine aminotransferase OS=Dictyostelium discoideum GN=serC PE=3 SV=1	sp|Q55CQ6|SERC_DICDI	42 kDa		0
Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI	66 kDa		10
Probable polyketide synthase 32 OS=Dictyostelium discoideum GN=pks32 PE=3 SV=1	rsp|Q54FP8|PKS32_DICDI	353 kDa	TRUE	2
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	tr|Q7KWS3|Q7KWS3_DICDI	111 kDa	TRUE	2
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa	TRUE	6
cAMP-binding protein 2 OS=Dictyostelium discoideum GN=capB PE=1 SV=2	sp|P34122|CAP2_DICDI	31 kDa	TRUE	1
Ras-related protein Rab-21 OS=Dictyostelium discoideum GN=rab21 PE=1 SV=2	sp|P34142|RAB21_DICDI	23 kDa		2
Calcium-binding protein M OS=Dictyostelium discoideum GN=cbpM PE=1 SV=1	sp|Q54LX0|CBPM_DICDI	21 kDa		3
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2"	sp|Q8T2J9|MCCB_DICDI	64 kDa		10
Oxysterol-binding protein 8 OS=Dictyostelium discoideum GN=osbH PE=1 SV=1	sp|Q54QP6|OSB8_DICDI	46 kDa		7
26S proteasome non-ATPase regulatory subunit 14 OS=Dictyostelium discoideum GN=psmD14 PE=3 SV=1	sp|Q86IJ1|PSDE_DICDI	34 kDa		3
Heat shock protein DnaJ family protein OS=Dictyostelium discoideum GN=DDB_0204173 PE=4 SV=1	tr|Q54SQ0|Q54SQ0_DICDI	40 kDa	TRUE	0
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa		2
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0167441 PE=4 SV=1	tr|Q869X1|Q869X1_DICDI	94 kDa		4
LIM domain-containing protein D OS=Dictyostelium discoideum GN=limD PE=2 SV=1	sp|Q9BIW4|LIMD_DICDI	22 kDa		1
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		2
Lysosomal alpha-mannosidase OS=Dictyostelium discoideum GN=manA PE=1 SV=2	sp|P34098|MANA_DICDI	113 kDa		4
"Homogentisate 1,2-dioxygenase OS=Dictyostelium discoideum GN=hgd PE=2 SV=1"	sp|Q54QI4|HGD_DICDI	48 kDa		5
Eukaryotic translation initiation factor 1A OS=Dictyostelium discoideum GN=eif1a PE=3 SV=1	sp|Q54YJ6|IF1A_DICDI	16 kDa	TRUE	7
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0286305 PE=4 SV=1	tr|Q54LY4|Q54LY4_DICDI	37 kDa		0
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	3
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa		10
Proteasome subunit beta type-7 OS=Dictyostelium discoideum GN=psmB7 PE=3 SV=1	sp|Q54QR2|PSB7_DICDI	29 kDa		0
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		7
Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI	21 kDa		12
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		5
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		14
Profilin-2 OS=Dictyostelium discoideum GN=proB PE=1 SV=1	sp|P26200|PROF2_DICDI	13 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41 kDa		1
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa		6
60S ribosomal protein L38 OS=Dictyostelium discoideum GN=rpl38 PE=3 SV=1	sp|Q55GJ7|RL38_DICDI	9 kDa		0
Guanine nucleotide-binding protein alpha-9 subunit OS=Dictyostelium discoideum GN=gpaI PE=2 SV=1	sp|Q54R41|GPA9_DICDI	40 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167176 PE=4 SV=1	tr|Q86IC6|Q86IC6_DICDI	127 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183813 PE=4 SV=1	tr|Q54EV6|Q54EV6_DICDI	190 kDa	TRUE	0
C2 calcium/lipid-binding region-containing protein OS=Dictyostelium discoideum GN=DDB_0202870 PE=1 SV=1	tr|Q55BH2|Q55BH2_DICDI	172 kDa	TRUE	5
AP-1 complex subunit gamma OS=Dictyostelium discoideum GN=ap1g1 PE=1 SV=1	sp|Q8I8U2|AP1G_DICDI	100 kDa	TRUE	3
Heat shock protein OS=Dictyostelium discoideum GN=ddj1 PE=4 SV=1	tr|Q54VQ1|Q54VQ1_DICDI	46 kDa		7
Coiled-coil domain-containing protein 22 homolog OS=Dictyostelium discoideum GN=DDB_G0285813 PE=3 SV=1	sp|Q54MP2|CCD22_DICDI	74 kDa		7
Cytochrome d ubiquinol oxidase subunit I	sp|P0ABJ9|CYDA_ECOLI	58 kDa		6
5'-3' exoribonuclease OS=Dictyostelium discoideum GN=xrn1 PE=4 SV=1	tr|Q75JF5|Q75JF5_DICDI	201 kDa		3
