Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
VID27-like protein OS=Dictyostelium discoideum GN=DDB_G0274813 PE=3 SV=1	sp|Q555V7|VID27_DICDI	108 kDa	TRUE	2
tRNA pseudouridylate synthase OS=Dictyostelium discoideum GN=pus1 PE=4 SV=1	tr|Q54FA0|Q54FA0_DICDI	68 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219382 PE=4 SV=1	tr|Q54IG1|Q54IG1_DICDI	50 kDa	TRUE	5
T-complex protein 1 subunit zeta OS=Dictyostelium discoideum GN=cct6 PE=1 SV=1	sp|Q76NU3|TCPZ_DICDI	59 kDa	TRUE	0
Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	tr|Q58A42|Q58A42_DICDI	69 kDa		3
PI-PLC X-box domain-containing protein DDB_G0293730 OS=Dictyostelium discoideum GN=DDB_G0293730 PE=4 SV=2	sp|Q54BH5|Y3730_DICDI	84 kDa		2
Protein DDI1 homolog OS=Dictyostelium discoideum GN=ddi1 PE=3 SV=1	sp|Q54JB0|DDI1_DICDI	51 kDa		1
SH3 and FCH domain-containing protein DDB_G0274695 OS=Dictyostelium discoideum GN=DDB_G0274695 PE=4 SV=1	sp|Q555L8|Y4695_DICDI	44 kDa		5
Tyrosine-tRNA ligase OS=Dictyostelium discoideum GN=tyrS PE=4 SV=1	tr|Q551A1|Q551A1_DICDI	44 kDa	TRUE	2
Mitochondrial import inner membrane translocase subunit tim50 OS=Dictyostelium discoideum GN=timm50 PE=3 SV=1	sp|Q55C70|TIM50_DICDI	44 kDa		2
Putative uncharacterized protein gxcA OS=Dictyostelium discoideum GN=gxcA PE=4 SV=1	tr|Q54YZ6|Q54YZ6_DICDI	137 kDa	TRUE	1
Protein hflK.	sp|P0ABC7|HFLK_ECOLI	46 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0275301 PE=4 SV=1	tr|C7FZZ5|C7FZZ5_DICDI	39 kDa		3
Ras-related protein RabQ OS=Dictyostelium discoideum GN=rabQ PE=3 SV=1	sp|Q55ET3|RABQ_DICDI	23 kDa		3
Ubiquilin OS=Dictyostelium discoideum GN=ubqln PE=1 SV=1	sp|Q9NIF3|UBQL_DICDI	57 kDa		0
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100 kDa		3
Probable importin subunit alpha-A OS=Dictyostelium discoideum GN=DDB_G0273149 PE=3 SV=1	sp|Q557F4|IMA1A_DICDI	62 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168564 PE=4 SV=1	tr|Q86I87|Q86I87_DICDI	75 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204089 PE=4 SV=1	tr|Q54U83|Q54U83_DICDI	43 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202360 PE=4 SV=1	tr|Q55EJ0|Q55EJ0_DICDI	40 kDa		4
Proteasome subunit beta type-4 OS=Dictyostelium discoideum GN=psmB4-1 PE=3 SV=1	sp|Q556Q0|PSB4_DICDI	29 kDa		2
Septum site-determining protein minD (Ce	sp|P0AEZ3|MIND_ECOLI	29 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184446 PE=4 SV=1	tr|Q54D27|Q54D27_DICDI	40 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187641 PE=4 SV=1	tr|Q54JU2|Q54JU2_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218308 PE=4 SV=1	tr|Q54TY9|Q54TY9_DICDI	41 kDa		3
Protein LST8 homolog OS=Dictyostelium discoideum GN=lst8 PE=1 SV=1	sp|Q54D08|LST8_DICDI	33 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167183 PE=4 SV=1	tr|Q86IC0|Q86IC0_DICDI	12 kDa		0
"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=acad8 PE=3 SV=1"	sp|Q54IM8|ACAD8_DICDI	46 kDa		3
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa	TRUE	2
50S ribosomal protein L11.	sp|P0A7J7|RL11_ECOLI	15 kDa		2
UPF0663 protein OS=Dictyostelium discoideum GN=DDB_G0288009 PE=3 SV=1	sp|Q54JJ6|U663_DICDI	104 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190082 PE=4 SV=1	tr|Q55EK6|Q55EK6_DICDI	308 kDa	TRUE	7
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217534 PE=1 SV=1	tr|Q555G2|Q555G2_DICDI	108 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167013 PE=4 SV=1	tr|Q86AC9|Q86AC9_DICDI	93 kDa	TRUE	0
UPF0160 protein OS=Dictyostelium discoideum GN=DDB_G0267768 PE=3 SV=1	sp|Q55G91|U160_DICDI	38 kDa		1
Eukaryotic translation initiation factor 3 subunit L OS=Dictyostelium discoideum GN=eif3l PE=3 SV=1	sp|Q86LA2|EIF3L_DICDI	71 kDa	TRUE	1
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa	TRUE	2
MaoC-like dehydratase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0294627 PE=4 SV=1	tr|B0G197|B0G197_DICDI	23 kDa		0
Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI	15 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272476 PE=4 SV=1	tr|Q1ZXN5|Q1ZXN5_DICDI	15 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189485 PE=4 SV=1	tr|Q55GD7|Q55GD7_DICDI	16 kDa		1
Protein LZIC OS=Dictyostelium discoideum GN=lzic PE=2 SV=1	sp|Q54ID4|LZIC_DICDI	22 kDa		1
Nuclear cap-binding protein subunit 1 OS=Dictyostelium discoideum GN=ncbp1 PE=3 SV=1	sp|Q55D17|NCBP1_DICDI	89 kDa	TRUE	4
Translation initiation factor eIF-2B subunit epsilon OS=Dictyostelium discoideum GN=eif2b5 PE=3 SV=1	sp|Q54RF3|EI2BE_DICDI	80 kDa		4
Signal recognition particle receptor subunit beta OS=Dictyostelium discoideum GN=srprb PE=3 SV=1	sp|Q54XX1|SRPRB_DICDI	32 kDa		4
Protein hflC (EC 3.4.-.-).	sp|P0ABC3|HFLC_ECOLI	38 kDa	TRUE	0
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa	TRUE	2
Probable endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Dictyostelium discoideum GN=ergic3 PE=3 SV=1	sp|Q54DW2|ERGI3_DICDI	43 kDa		5
Mevalonate kinase OS=Dictyostelium discoideum GN=mvk PE=3 SV=1	sp|Q86AG7|KIME_DICDI	43 kDa	TRUE	4
Probable serine/threonine-protein kinase tsuA OS=Dictyostelium discoideum GN=tsuA PE=1 SV=1	rsp|Q55FT4|TSUA_DICDI	?	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168980 PE=4 SV=1	tr|Q86B07|Q86B07_DICDI	64 kDa		0
60S ribosomal protein L29 OS=Dictyostelium discoideum GN=rpl29 PE=3 SV=1	sp|Q54TW3|RL29_DICDI	10 kDa		0
50S ribosomal protein L14.	sp|P0ADY3|RL14_ECOLI	14 kDa		1
Putative phagocytic receptor 1a OS=Dictyostelium discoideum GN=phg1a PE=2 SV=1	sp|Q55FP0|PHG1A_DICDI	73 kDa		5
Calcium up-regulated protein C OS=Dictyostelium discoideum GN=cupC PE=2 SV=1	sp|Q7Z202|CUPC_DICDI	85 kDa	TRUE	10
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp40 PE=3 SV=1	tr|Q54H96|Q54H96_DICDI	190 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219348 PE=4 SV=1	tr|Q54IW4|Q54IW4_DICDI	75 kDa		3
Penicillin-binding protein 5 precursor (	sp|P0AEB2|DACA_ECOLI	44 kDa		1
Regulator of nonsense transcripts 1 OS=Dictyostelium discoideum GN=upf1 PE=3 SV=1	sp|Q54I89|RENT1_DICDI	152 kDa	TRUE	4
Uroporphyrinogen decarboxylase OS=Dictyostelium discoideum GN=hemE PE=1 SV=1	sp|Q54DF9|DCUP_DICDI	41 kDa		1
Myosin heavy chain kinase C OS=Dictyostelium discoideum GN=mhkC PE=1 SV=1	sp|Q8MY12|MHCKC_DICDI	86 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187774 PE=4 SV=1	tr|Q54JF5|Q54JF5_DICDI	15 kDa		1
Cullin-1 OS=Dictyostelium discoideum GN=culA PE=1 SV=1	sp|O60999|CUL1_DICDI	89 kDa	TRUE	5
Glutathione S-transferase domain-containing protein DDB_G0274223 OS=Dictyostelium discoideum GN=DDB_G0274223 PE=3 SV=1	sp|Q8SSU2|Y4223_DICDI	30 kDa	TRUE	1
UPF0092 protein yajC.	sp|P0ADZ7|YAJC_ECOLI	12 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217925 PE=4 SV=1	tr|Q550D3|Q550D3_DICDI	173 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203037 PE=4 SV=1	tr|Q556V5|Q556V5_DICDI	219 kDa	TRUE	4
Probable 2-ketogluconate reductase OS=Dictyostelium discoideum GN=tkrA PE=3 SV=1	sp|Q54DP1|TKRA_DICDI	37 kDa		0
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=acoA PE=4 SV=1	tr|Q54RB0|Q54RB0_DICDI	78 kDa		1
"Probable 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase OS=Dictyostelium discoideum GN=mfeB PE=2 SV=1"	sp|Q54XZ0|MFEB_DICDI	32 kDa	TRUE	2
Protein transport protein SEC13 OS=Dictyostelium discoideum GN=sec13 PE=3 SV=1	sp|Q54DS8|SEC13_DICDI	34 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204719 PE=4 SV=1	tr|Q54UX0|Q54UX0_DICDI	47 kDa		0
Suppressor of Mek1 OS=Dictyostelium discoideum GN=smkA PE=1 SV=1	sp|Q54I18|SMEK_DICDI	120 kDa	TRUE	5
UPF0557 protein OS=Dictyostelium discoideum GN=DDB_G0270664 PE=3 SV=1	sp|Q55CZ6|U557_DICDI	83 kDa	TRUE	5
Exportin-6 OS=Dictyostelium discoideum GN=xpo6 PE=3 SV=1	sp|Q54CB2|XPO6_DICDI	120 kDa	TRUE	5
Glycoside hydrolase family 63 protein OS=Dictyostelium discoideum GN=DDB_0206405 PE=4 SV=1	tr|Q54VT5|Q54VT5_DICDI	100 kDa		0
Seven transmembrane domain protein OS=Dictyostelium discoideum GN=DDB_G0286487 PE=4 SV=2	tr|Q54LQ7|Q54LQ7_DICDI	52 kDa		4
Activating signal cointegrator 1 complex subunit 3-like OS=Dictyostelium discoideum GN=ascc3l PE=3 SV=1	sp|Q55CI8|HELCL_DICDI	256 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186704 PE=4 SV=1	tr|Q54MN4|Q54MN4_DICDI	38 kDa	TRUE	1
Histone-like protein HLP-1 precursor (DN	sp|P0AEU7|HLPA_ECOLI	18 kDa	TRUE	0
NADPH oxidoreductase B OS=Dictyostelium discoideum GN=redB PE=2 SV=1	sp|Q55CT1|REDB_DICDI	76 kDa	TRUE	5
Trehalase OS=Dictyostelium discoideum GN=treh PE=3 SV=1	sp|Q54QZ5|TREA_DICDI	67 kDa		0
Ras-related protein RabG2 OS=Dictyostelium discoideum GN=rabG2 PE=3 SV=2	sp|Q54FL2|RABG2_DICDI	22 kDa	TRUE	0
Lipoprotein 34 precursor.	sp|P0A903|NLPB_ECOLI	37 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202577 PE=4 SV=1	tr|Q553T2|Q553T2_DICDI	76 kDa		5
Outer membrane protein tolC precursor.	sp|P02930|TOLC_ECOLI	54 kDa	TRUE	0
Lon protease homolog (Fragment) OS=Dictyostelium discoideum GN=DDB_G0278063 PE=3 SV=2	tr|Q54YV4|Q54YV4_DICDI	108 kDa	TRUE	7
Calfumirin-1 OS=Dictyostelium discoideum GN=cafA PE=2 SV=1	sp|P54670|CAF1_DICDI	19 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167437 PE=4 SV=1	tr|Q86I26|Q86I26_DICDI	16 kDa	TRUE	0
Protein SCAR OS=Dictyostelium discoideum GN=scrA PE=1 SV=1	sp|Q54NF8|SCAR_DICDI	48 kDa		0
V-type proton ATPase subunit G OS=Dictyostelium discoideum GN=atp6v1g PE=1 SV=2	sp|Q54Z13|VATG_DICDI	12 kDa		0
MMS19 nucleotide excision repair protein homolog OS=Dictyostelium discoideum GN=mms19 PE=3 SV=2	sp|Q54J88|MMS19_DICDI	127 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191011 PE=4 SV=1	tr|Q55BT0|Q55BT0_DICDI	61 kDa		0
Eukaryotic translation initiation factor 1 OS=Dictyostelium discoideum GN=eIF1 PE=4 SV=1	tr|Q86AU4|Q86AU4_DICDI	12 kDa	TRUE	0
Isocitrate lyase (EC 4.1.3.1) (Isocitras	sp|P0A9G6|ACEA_ECOLI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186613 PE=4 SV=1	tr|Q54MX6|Q54MX6_DICDI	27 kDa		1
Ras-related protein Rab-32C OS=Dictyostelium discoideum GN=rab32C PE=3 SV=2	sp|Q8MXQ2|RB32C_DICDI	26 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204139 PE=1 SV=1	tr|Q54U38|Q54U38_DICDI	30 kDa		2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_G0289059 PE=4 SV=2	tr|Q54I22|Q54I22_DICDI	37 kDa		1
Porphobilinogen deaminase OS=Dictyostelium discoideum GN=hemC PE=3 SV=1	sp|Q54P93|HEM3_DICDI	36 kDa	TRUE	2
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Dictyostelium discoideum GN=ndufa12 PE=2 SV=2	sp|Q54MV7|NDUAC_DICDI	16 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0283481 PE=4 SV=1	tr|Q54QY8|Q54QY8_DICDI	65 kDa	TRUE	1
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0217691 PE=4 SV=1	tr|Q553C7|Q553C7_DICDI	33 kDa	TRUE	1
Proteasome assembly chaperone 2 OS=Dictyostelium discoideum GN=psmG2 PE=3 SV=1	sp|Q869S8|PSMG2_DICDI	31 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184280 PE=4 SV=1	rtr|Q54DJ7|Q54DJ7_DICDI	?		0
Putative uncharacterized protein (Fragment) OS=Dictyostelium discoideum GN=DDB_G0287257 PE=4 SV=1	tr|Q54KM5|Q54KM5_DICDI	56 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188200 PE=4 SV=1	tr|Q54I59|Q54I59_DICDI	80 kDa		2
WD repeat-containing protein 61 homolog OS=Dictyostelium discoideum GN=wdr61 PE=4 SV=1	sp|Q54S59|WDR61_DICDI	32 kDa		2
Uracil phosphoribosyltransferase OS=Dictyostelium discoideum GN=uprt PE=3 SV=1	sp|Q55GQ6|UPP_DICDI	24 kDa	TRUE	2
Proteasome subunit alpha type-3 OS=Dictyostelium discoideum GN=psmA3 PE=2 SV=2	sp|Q27563|PSA3_DICDI	27 kDa		2
Ras-related protein RabC OS=Dictyostelium discoideum GN=rabC PE=2 SV=2	sp|P34143|RABC_DICDI	22 kDa	TRUE	6
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204271 PE=3 SV=1	tr|Q54TA6|Q54TA6_DICDI	51 kDa	TRUE	11
Eukaryotic translation initiation factor 3 subunit J OS=Dictyostelium discoideum GN=eif3j PE=3 SV=1	sp|Q54KI0|EIF3J_DICDI	25 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167842 PE=4 SV=1	tr|Q86J14|Q86J14_DICDI	35 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218132 PE=4 SV=1	tr|Q54XJ3|Q54XJ3_DICDI	45 kDa	TRUE	0
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Dictyostelium discoideum GN=ndufa6 PE=3 SV=1	sp|Q54F42|NDUA6_DICDI	15 kDa		0
Stromal cell-derived factor 2-like protein OS=Dictyostelium discoideum GN=DDB_G0284847 PE=3 SV=1	sp|Q54P23|SDF2_DICDI	24 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168767 PE=4 SV=1	tr|Q75JT7|Q75JT7_DICDI	16 kDa		0
UPF0424 protein OS=Dictyostelium discoideum GN=DDB_G0277951 PE=3 SV=1	sp|Q54Z24|U424_DICDI	23 kDa		2
Putative uncharacterized protein HBS1 OS=Dictyostelium discoideum GN=HBS1 PE=4 SV=1	tr|Q54QJ0|Q54QJ0_DICDI	82 kDa	TRUE	4
Ribonucleoside-diphosphate reductase small subunit OS=Dictyostelium discoideum GN=rnrB-1 PE=2 SV=2	sp|P42521|RIR2_DICDI	39 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189492 PE=4 SV=1	tr|Q55GC9|Q55GC9_DICDI	26 kDa		2
Isocitrate dehydrogenase [NADP] (EC 1.1.	sp|P08200|IDH_ECOLI	46 kDa	TRUE	2
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0205958 PE=4 SV=1	tr|Q54WI0|Q54WI0_DICDI	146 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168996 PE=4 SV=1	tr|Q86L27|Q86L27_DICDI	44 kDa		3
Uncharacterized transmembrane protein DDB_G0281067 OS=Dictyostelium discoideum GN=DDB_G0281067 PE=1 SV=1	sp|Q54UI0|Y3989_DICDI	32 kDa		1
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI	66 kDa		3
UPF0405 protein C3orf75 homolog OS=Dictyostelium discoideum GN=DDB_G0268624 PE=3 SV=1	sp|Q9GPT6|CC075_DICDI	38 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219436 PE=1 SV=1	tr|Q54HJ0|Q54HJ0_DICDI	15 kDa	TRUE	1
Bacterial transferase hexapeptide repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218053 PE=4 SV=1	tr|Q54YS4|Q54YS4_DICDI	31 kDa		0
Proteasome activator 28 OS=Dictyostelium discoideum GN=psmE3 PE=1 SV=1	sp|Q967U1|PSME_DICDI	26 kDa		1
DCN1-like protein 1 OS=Dictyostelium discoideum GN=DDB_G0290025 PE=3 SV=1	sp|Q54GP1|DCN1L_DICDI	29 kDa	TRUE	1
Glutathione S-transferase domain-containing protein DDB_G0274705 OS=Dictyostelium discoideum GN=DDB_G0274705 PE=3 SV=3	sp|Q555N6|Y4705_DICDI	30 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184090 PE=4 SV=1	tr|Q54E30|Q54E30_DICDI	36 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204127 PE=4 SV=1	tr|Q54U48|Q54U48_DICDI	74 kDa		0
Enolase (EC 4.2.1.11) (2-phosphoglycerat	sp|P0A6P9|ENO_ECOLI	46 kDa		0
Maltose/maltodextrin import ATP-binding	sp|P68187|MALK_ECOLI	41 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218284 PE=4 SV=1	tr|Q54UC5|Q54UC5_DICDI	22 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188678 PE=4 SV=1	tr|Q54GQ2|Q54GQ2_DICDI	33 kDa		2
Uridine-cytidine kinase D OS=Dictyostelium discoideum GN=udkD PE=2 SV=1	sp|Q9GNF0|UCKD_DICDI	56 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185950 PE=4 SV=1	tr|Q54PU3|Q54PU3_DICDI	84 kDa		4
HTH-type transcriptional regulator malT	sp|P06993|MALT_ECOLI	103 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0269740 PE=4 SV=1	tr|Q55D91|Q55D91_DICDI	84 kDa		1
Folic acid synthesis protein FOL1 OS=Dictyostelium discoideum GN=fol1 PE=3 SV=1	sp|Q54YD9|FOL1_DICDI	74 kDa	TRUE	3
Probable serine/threonine-protein kinase kinX OS=Dictyostelium discoideum GN=kinX PE=3 SV=2	sp|Q23915|KINX_DICDI	127 kDa		3
Developmentally-regulated GTP-binding protein 1 homolog OS=Dictyostelium discoideum GN=drg1 PE=3 SV=1	sp|Q54HP3|DRG1_DICDI	41 kDa	TRUE	2
Tubulin-specific chaperone B OS=Dictyostelium discoideum GN=tbcb PE=3 SV=1	sp|Q54Z01|TBCB_DICDI	30 kDa	TRUE	1
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0217341 PE=4 SV=1	tr|Q556S5|Q556S5_DICDI	34 kDa	TRUE	3
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_G0286669 PE=4 SV=2	tr|Q54LF1|Q54LF1_DICDI	75 kDa		1
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa		0
DNAJ heat shock N-terminal domain-containing protein OS=Dictyostelium discoideum GN=DDB_0189699 PE=4 SV=1	tr|Q55FR3|Q55FR3_DICDI	46 kDa		1
Squalene synthetase OS=Dictyostelium discoideum GN=fdfT PE=3 SV=1	sp|Q54DR1|FDFT_DICDI	48 kDa	TRUE	0
Citrate synthase OS=Dictyostelium discoideum GN=gltA PE=3 SV=1	sp|Q86AV6|CISYC_DICDI	58 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202949 PE=4 SV=1	tr|Q551A9|Q551A9_DICDI	88 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217774 PE=4 SV=1	tr|Q551X5|Q551X5_DICDI	91 kDa	TRUE	5
30S ribosomal protein S6 [Contains: 30S	sp|P02358|RS6_ECOLI	16 kDa		1
Protein dcd1A OS=Dictyostelium discoideum GN=dcd1A PE=2 SV=1	sp|Q55BZ5|DCD1A_DICDI	49 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189263 PE=4 SV=1	tr|Q54F29|Q54F29_DICDI	44 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	5
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0203006 PE=4 SV=1	tr|Q556M2|Q556M2_DICDI	159 kDa		2
ABC transporter A family member 1 OS=Dictyostelium discoideum GN=abcA1 PE=2 SV=1	sp|Q8T5Z7|ABCA1_DICDI	97 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187101 PE=4 SV=1	tr|Q54LD3|Q54LD3_DICDI	133 kDa	TRUE	0
COMM domain-containing protein 7 OS=Dictyostelium discoideum GN=commd7 PE=4 SV=1	sp|Q86I14|COMD7_DICDI	24 kDa		1
Rho GTPase-activating protein gacY OS=Dictyostelium discoideum GN=gacY PE=3 SV=1	sp|Q54TH9|GACY_DICDI	81 kDa	TRUE	1
U box domain-containing protein OS=Dictyostelium discoideum GN=nosA PE=2 SV=1	tr|O44007|O44007_DICDI	125 kDa	TRUE	1
Regulator of chromosome condensation domain-containing protein OS=Dictyostelium discoideum GN=DDB_0192103 PE=4 SV=1	tr|Q54BC4|Q54BC4_DICDI	126 kDa	TRUE	4
Small heat shock protein ibpB (16 kDa he	sp|P0C058|IBPB_ECOLI	16 kDa	TRUE	1
Rho GTPase-activating protein gacJJ OS=Dictyostelium discoideum GN=gacJJ PE=3 SV=1	sp|Q54FG5|GACJJ_DICDI	97 kDa	TRUE	3
UDP-glucose 4-epimerase OS=Dictyostelium discoideum GN=galE PE=1 SV=1	sp|Q553X7|GALE_DICDI	38 kDa		1
Probable prefoldin subunit 3 OS=Dictyostelium discoideum GN=pfdn3 PE=3 SV=1	sp|Q54LS2|PFD3_DICDI	23 kDa	TRUE	1
Serine hydrolase-like protein DDB_G0286239 OS=Dictyostelium discoideum GN=DDB_G0286239 PE=3 SV=2	sp|Q54M29|Y6239_DICDI	40 kDa		1
Probable adenosine deaminase OS=Dictyostelium discoideum GN=ada PE=3 SV=1	sp|Q54KF3|ADA_DICDI	88 kDa	TRUE	3
Hypothetical protein yiaF.	sp|P0ADK0|YIAF_ECOLI	30 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217100 PE=4 SV=1	tr|Q556I5|Q556I5_DICDI	147 kDa	TRUE	5
DUF814 family protein OS=Dictyostelium discoideum GN=DDB_0188474 PE=4 SV=1	tr|Q54HA7|Q54HA7_DICDI	146 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204639 PE=4 SV=1	tr|Q54TI0|Q54TI0_DICDI	33 kDa		1
Glycine dehydrogenase [decarboxylating]	sp|P33195|GCSP_ECOLI	104 kDa		6
Probable cytochrome P450 513C1 OS=Dictyostelium discoideum GN=cyp513c1 PE=3 SV=1	sp|Q54F47|C513C_DICDI	57 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190788 PE=4 SV=1	tr|Q55CF6|Q55CF6_DICDI	58 kDa		0
Exportin-T OS=Dictyostelium discoideum GN=xpot PE=3 SV=1	sp|Q54RI9|XPOT_DICDI	125 kDa	TRUE	3
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188867 PE=4 SV=1	tr|Q54G54|Q54G54_DICDI	45 kDa	TRUE	3
Probable 2-hydroxyacyl-CoA lyase 1 OS=Dictyostelium discoideum GN=hacl1 PE=3 SV=1	sp|Q54DA9|HACL1_DICDI	63 kDa	TRUE	0
Phospholipase D Z OS=Dictyostelium discoideum GN=pldZ PE=3 SV=1	sp|Q54SA1|PLDZ_DICDI	47 kDa	TRUE	0
RNA polymerase III subunit OS=Dictyostelium discoideum GN=rpc5 PE=4 SV=1	tr|Q86JI9|Q86JI9_DICDI	76 kDa	TRUE	3
