Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Putative uncharacterized protein sec24l OS=Dictyostelium discoideum GN=sec24l PE=4 SV=2	tr|Q54Z72|Q54Z72_DICDI	128 kDa		0
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa	TRUE	6
NADH-ubiquinone oxidoreductase 49 kDa subunit OS=Dictyostelium discoideum GN=nad7 PE=1 SV=1	sp|Q23883|NDUS2_DICDI	47 kDa		2
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191714 PE=4 SV=1	tr|Q54CF7|Q54CF7_DICDI	55 kDa		0
Putative uncharacterized protein gaa OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	tr|Q55D50|Q55D50_DICDI	96 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169400 PE=4 SV=1	tr|Q86KR5|Q86KR5_DICDI	14 kDa	TRUE	4
SH3 and FCH domain-containing protein DDB_G0274695 OS=Dictyostelium discoideum GN=DDB_G0274695 PE=4 SV=1	sp|Q555L8|Y4695_DICDI	44 kDa		7
Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1	sp|Q54TR1|CFAD_DICDI	59 kDa	TRUE	2
Alcohol dehydrogenase class-3 OS=Dictyostelium discoideum GN=adh5 PE=3 SV=1	sp|Q54TC2|ADHX_DICDI	41 kDa		2
Dihydropteridine reductase OS=Dictyostelium discoideum GN=qdpr PE=1 SV=1	sp|Q86A17|DHPR_DICDI	25 kDa		0
Methenyl tetrahydrofolate cyclohydrolase / NADP-dependent methylene H4F dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283121 PE=3 SV=1	tr|Q54RI8|Q54RI8_DICDI	32 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	tr|Q86J04|Q86J04_DICDI	64 kDa		0
Flavohemoprotein B OS=Dictyostelium discoideum GN=fhbB PE=1 SV=1	sp|Q54D73|FHBB_DICDI	48 kDa		10
40S ribosomal protein S15a OS=Dictyostelium discoideum GN=rps15a PE=2 SV=3	sp|P46793|RS15A_DICDI	15 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205008 PE=4 SV=1	tr|Q54RW1|Q54RW1_DICDI	48 kDa		3
Dihydropyrimidinase OS=Dictyostelium discoideum GN=pyd2 PE=1 SV=1	sp|Q55DL0|DPYS_DICDI	56 kDa		0
Hisactophilin-1 OS=Dictyostelium discoideum GN=hatA PE=1 SV=3	sp|P13231|HATA_DICDI	13 kDa		0
Xanthine dehydrogenase OS=Dictyostelium discoideum GN=xdh PE=3 SV=1	sp|Q54FB7|XDH_DICDI	150 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218308 PE=4 SV=1	tr|Q54TY9|Q54TY9_DICDI	41 kDa		3
Probable transcription-associated protein 1 OS=Dictyostelium discoideum GN=tra1 PE=3 SV=2	rsp|Q54T85|TRA1_DICDI	515 kDa	TRUE	0
Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI	135 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203824 PE=4 SV=1	tr|Q551R4|Q551R4_DICDI	231 kDa	TRUE	0
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa	TRUE	0
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	sp|Q54HL0|COPG_DICDI	102 kDa	TRUE	0
Nucleoporin 210 OS=Dictyostelium discoideum GN=nup210 PE=4 SV=1	tr|Q54IS9|Q54IS9_DICDI	213 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218292 PE=4 SV=1	tr|Q54U95|Q54U95_DICDI	58 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	tr|Q54I73|Q54I73_DICDI	172 kDa	TRUE	0
40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI	14 kDa		6
Nascent polypeptide-associated complex subunit beta OS=Dictyostelium discoideum GN=nacB PE=3 SV=1	sp|Q54TR8|NACB_DICDI	15 kDa		12
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa		12
Farnesyl diphosphate synthase OS=Dictyostelium discoideum GN=Dfps PE=2 SV=1	tr|Q9NH03|Q9NH03_DICDI	44 kDa	TRUE	5
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		0
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit homolog OS=Dictyostelium discoideum GN=ddost PE=3 SV=1	sp|Q54E62|OST48_DICDI	48 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204089 PE=4 SV=1	tr|Q54U83|Q54U83_DICDI	43 kDa		6
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa		6
Crystal protein OS=Dictyostelium discoideum GN=cryS PE=1 SV=1	sp|P21837|CRYS_DICDI	61 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI	26 kDa		10
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	sp|Q54JM3|ULA1_DICDI	59 kDa	TRUE	0
Endothelial monocyte-activating polypeptide II pro-EMAP II family protein OS=Dictyostelium discoideum GN=DDB_G0291926 PE=4 SV=1	tr|Q54DX3|Q54DX3_DICDI	41 kDa		3
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa		4
Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI	21 kDa		6
"Glutaryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gcdh PE=3 SV=1"	sp|Q54R47|GCDH_DICDI	46 kDa		0
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa	TRUE	4
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299 kDa		0
"Tryptophan 2,3-dioxygenase OS=Dictyostelium discoideum GN=tdo PE=1 SV=1"	sp|Q55DB4|T23O_DICDI	47 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190536 PE=4 SV=1	tr|Q55D72|Q55D72_DICDI	96 kDa		8
Translation initiation factor IF-2.	sp|P0A705|IF2_ECOLI	97 kDa		15
Aldose reductase B OS=Dictyostelium discoideum GN=alrB PE=3 SV=2	sp|Q54NZ7|ALRB_DICDI	35 kDa	TRUE	4
GDP-L-fucose synthetase OS=Dictyostelium discoideum GN=ger PE=3 SV=1	sp|Q55C77|FCL_DICDI	36 kDa	TRUE	2
Phenylalanine-4-hydroxylase OS=Dictyostelium discoideum GN=pah PE=1 SV=1	sp|Q54XS1|PH4H_DICDI	50 kDa		8
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa	TRUE	0
Dihydrodipicolinate reductase (EC 1.3.1.	sp|P04036|DAPB_ECOLI	29 kDa		19
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206474 PE=4 SV=2	tr|Q54VL9|Q54VL9_DICDI	59 kDa		12
60S acidic ribosomal protein P2 OS=Dictyostelium discoideum GN=rplp2 PE=1 SV=3	sp|P22683|RLA2_DICDI	11 kDa	TRUE	13
Eukaryotic translation initiation factor 3 subunit A OS=Dictyostelium discoideum GN=eif3a PE=1 SV=1	sp|Q86B20|EIF3A_DICDI	120 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit C OS=Dictyostelium discoideum GN=eif3c PE=3 SV=1	sp|Q54X97|EIF3C_DICDI	107 kDa		0
NAD+ transhydrogenase OS=Dictyostelium discoideum GN=DDB_G0269046 PE=4 SV=1	tr|Q55F30|Q55F30_DICDI	123 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191671 PE=4 SV=1	tr|Q54CK4|Q54CK4_DICDI	39 kDa		6
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Dictyostelium discoideum GN=ost1 PE=2 SV=1	sp|Q54C27|OST1_DICDI	52 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188436 PE=3 SV=1	tr|Q54HG8|Q54HG8_DICDI	71 kDa	TRUE	6
Coatomer subunit alpha OS=Dictyostelium discoideum GN=copa PE=3 SV=1	sp|Q55FR9|COPA_DICDI	139 kDa	TRUE	0
Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1	sp|Q54XK2|SC61A_DICDI	52 kDa		5
Maleylacetoacetate isomerase OS=Dictyostelium discoideum GN=mai PE=3 SV=1	sp|Q54YN2|MAAI_DICDI	25 kDa		7
Glyoxylase B2 OS=Dictyostelium discoideum GN=gloB2 PE=3 SV=1	sp|Q54EJ5|GLOB2_DICDI	33 kDa	TRUE	4
DJ-1/ThiJ/PfpI family protein OS=Dictyostelium discoideum GN=PFP1 PE=4 SV=1	tr|Q869N4|Q869N4_DICDI	21 kDa	TRUE	5
Cytochrome b OS=Dictyostelium discoideum GN=cytB PE=3 SV=1	sp|Q37311|CYB_DICDI	44 kDa	TRUE	0
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67 kDa		4
Lysosome membrane protein 2-B OS=Dictyostelium discoideum GN=lmpB PE=1 SV=1	sp|Q9BKJ9|LMPB_DICDI	83 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219914 PE=3 SV=1	tr|Q54B24|Q54B24_DICDI	497 kDa	TRUE	0
Talin-A OS=Dictyostelium discoideum GN=talA PE=1 SV=3	sp|P54633|TALA_DICDI	268 kDa	TRUE	5
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0279613 PE=3 SV=1	tr|Q54WJ9|Q54WJ9_DICDI	65 kDa	TRUE	0
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa		0
Rho-related protein racB OS=Dictyostelium discoideum GN=racB PE=1 SV=1	sp|P34148|RACB_DICDI	22 kDa	TRUE	9
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_G0291029 PE=1 SV=1	tr|Q54F74|Q54F74_DICDI	66 kDa	TRUE	8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204282 PE=4 SV=1	tr|Q54T96|Q54T96_DICDI	70 kDa		4
Kynureninase OS=Dictyostelium discoideum GN=kynu PE=3 SV=1	sp|Q54Q04|KYNU_DICDI	51 kDa		3
60S ribosomal protein L22 2 OS=Dictyostelium discoideum GN=rpl22a PE=3 SV=1	sp|Q54GK6|RL222_DICDI	13 kDa	TRUE	9
Transformer-2 protein homolog OS=Dictyostelium discoideum GN=tra2 PE=3 SV=1	sp|Q54Y98|TRA2_DICDI	37 kDa		7
60S ribosomal protein L32 OS=Dictyostelium discoideum GN=rpl32 PE=3 SV=1	sp|Q55AB5|RL32_DICDI	15 kDa		9
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa	TRUE	13
"Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1"	tr|Q54JV0|Q54JV0_DICDI	183 kDa		3
Transmembrane emp24 domain-containing protein B OS=Dictyostelium discoideum GN=empB PE=3 SV=1	sp|Q54BN0|TMEDB_DICDI	24 kDa		6
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184083 PE=4 SV=1	tr|Q54E40|Q54E40_DICDI	37 kDa		3
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa	TRUE	12
Proteasome subunit beta type-3 OS=Dictyostelium discoideum GN=psmB3 PE=3 SV=1	sp|Q55D66|PSB3_DICDI	23 kDa		6
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		3
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		8
Kynurenine--oxoglutarate transaminase OS=Dictyostelium discoideum GN=ccbl PE=3 SV=1	sp|Q54KM6|KAT_DICDI	49 kDa		0
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		5
Guanine nucleotide-binding protein alpha-12 subunit OS=Dictyostelium discoideum GN=gpaL PE=3 SV=1	sp|Q54VG1|GPA12_DICDI	41 kDa		5
Putative uncharacterized protein adprt3 OS=Dictyostelium discoideum GN=adprt3 PE=4 SV=1	rtr|Q54E42|Q54E42_DICDI (+1)	284 kDa	TRUE	0
Cysteine proteinase 7 OS=Dictyostelium discoideum GN=cprG PE=1 SV=1	sp|Q94504|CYSP7_DICDI	47 kDa	TRUE	0
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=dhx57 PE=4 SV=1	tr|Q55GT9|Q55GT9_DICDI	164 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	tr|Q55FM2|Q55FM2_DICDI	72 kDa	TRUE	3
Probable serine/threonine-protein kinase kinX OS=Dictyostelium discoideum GN=kinX PE=3 SV=2	sp|Q23915|KINX_DICDI	127 kDa		0
V-type proton ATPase subunit H OS=Dictyostelium discoideum GN=vatH PE=1 SV=1	sp|Q8MML6|VATH_DICDI	51 kDa		0
5-oxoprolinase OS=Dictyostelium discoideum GN=oplah PE=3 SV=2	sp|Q54NW6|OPLA_DICDI	139 kDa	TRUE	0
Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI	114 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190808 PE=4 SV=1	tr|Q55CD5|Q55CD5_DICDI	107 kDa		0
"Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"	sp|Q86KU2|SYVC_DICDI	123 kDa		4
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa		6
Diphosphomevalonate decarboxylase OS=Dictyostelium discoideum GN=mvd PE=3 SV=1	sp|Q54YQ9|ERG19_DICDI	43 kDa	TRUE	7
Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	sp|Q55AW9|SAC1_DICDI	67 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188399 PE=4 SV=1	tr|Q54HK5|Q54HK5_DICDI	43 kDa		2
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	0
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186893 PE=1 SV=1	tr|Q54M12|Q54M12_DICDI	122 kDa		0
T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI	59 kDa	TRUE	8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41 kDa		5
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=gnpda1 PE=3 SV=1	sp|Q54XK9|GNPI_DICDI	31 kDa	TRUE	2
Integrin beta-like protein A OS=Dictyostelium discoideum GN=sibA PE=1 SV=2	sp|Q54KF7|SIBA_DICDI	208 kDa	TRUE	0
Aldehyde dehydrogenase family 3 comG OS=Dictyostelium discoideum GN=comG PE=3 SV=1	sp|Q54DG1|ALDH3_DICDI	53 kDa	TRUE	2
UTP--glucose-1-phosphate uridylyltransferase 2 OS=Dictyostelium discoideum GN=ugpB PE=2 SV=1	sp|Q54YZ0|UGPA2_DICDI	56 kDa	TRUE	2
Ras-like protein rasS OS=Dictyostelium discoideum GN=rasS PE=2 SV=1	sp|P32254|RASS_DICDI	22 kDa		9
Probable ethanolamine kinase A OS=Dictyostelium discoideum GN=etnkA PE=3 SV=1	sp|Q869T9|EKIA_DICDI	41 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281967 PE=4 SV=1	tr|Q54T73|Q54T73_DICDI	78 kDa		0
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203201 PE=4 SV=1	tr|Q555B4|Q555B4_DICDI	189 kDa	TRUE	0
Lysine-sensitive aspartokinase III (EC 2	sp|P08660|AK3_ECOLI	49 kDa		6
Mitochondrial substrate carrier family protein Q OS=Dictyostelium discoideum GN=mcfQ PE=2 SV=1	sp|Q76P23|PM34_DICDI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa	TRUE	0
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa	TRUE	2
Vacuolar protein sorting-associated protein 29 OS=Dictyostelium discoideum GN=vps29 PE=3 SV=1	sp|Q54IF7|VPS29_DICDI	20 kDa		0
Alpha amylase domain-containing protein OS=Dictyostelium discoideum GN=gtr2 PE=4 SV=1	tr|Q75JH8|Q75JH8_DICDI	275 kDa	TRUE	0
Rho-related protein racE OS=Dictyostelium discoideum GN=racE PE=1 SV=1	sp|Q23862|RACE_DICDI	24 kDa	TRUE	4
T-complex protein 1 subunit gamma OS=Dictyostelium discoideum GN=cct3 PE=1 SV=1	sp|Q54TH8|TCPG_DICDI	59 kDa		3
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2"	sp|Q8T2J9|MCCB_DICDI	64 kDa	TRUE	2
Spermidine synthase OS=Dictyostelium discoideum GN=spsA PE=3 SV=2	sp|Q9XY92|SPEE_DICDI	32 kDa		3
Cullin-5 OS=Dictyostelium discoideum GN=culE PE=3 SV=1	sp|Q54XF7|CUL5_DICDI	87 kDa		2
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		2
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa		0
Aminotransferase class-III OS=Dictyostelium discoideum GN=DDB_G0290721 PE=3 SV=1	tr|Q1ZXC3|Q1ZXC3_DICDI	55 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0275039 PE=4 SV=1	tr|Q86I62|Q86I62_DICDI	80 kDa	TRUE	0
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa	TRUE	0
Protein pkiA OS=Dictyostelium discoideum GN=pkiA PE=1 SV=2	sp|Q23921|PKIA_DICDI	14 kDa	TRUE	9
Beta-hexosaminidase subunit A1 OS=Dictyostelium discoideum GN=hexa1 PE=1 SV=1	sp|P13723|HEXA1_DICDI	60 kDa		0
Serine/threonine-protein phosphatase 2A catalytic subunit A OS=Dictyostelium discoideum GN=pho2A PE=1 SV=1	sp|Q9XZE5|PP2AA_DICDI	35 kDa	TRUE	4
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35 kDa	TRUE	12
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0286305 PE=4 SV=1	tr|Q54LY4|Q54LY4_DICDI	37 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189883 PE=4 SV=1	tr|Q55F70|Q55F70_DICDI	61 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168194 PE=4 SV=1	tr|Q557I4|Q557I4_DICDI	116 kDa		0
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		0
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		2
Dephospho-CoA kinase OS=Dictyostelium discoideum GN=DDB_G0285525 PE=4 SV=1	tr|Q54N39|Q54N39_DICDI	24 kDa		0
Probable imidazolonepropionase OS=Dictyostelium discoideum GN=amdhd1 PE=3 SV=1	sp|Q55CY3|HUTI_DICDI	47 kDa		0
Integrin beta-like protein C OS=Dictyostelium discoideum GN=sibC PE=1 SV=1	sp|Q54JA5|SIBC_DICDI	208 kDa	TRUE	0
Eukaryotic translation initiation factor 5B OS=Dictyostelium discoideum GN=eif5b PE=3 SV=1	sp|Q54XP6|IF2P_DICDI	116 kDa	TRUE	6
FACT complex subunit SPT16 OS=Dictyostelium discoideum GN=spt16 PE=3 SV=1	sp|Q54S43|SPT16_DICDI	121 kDa	TRUE	0
Protein NIF3 homolog OS=Dictyostelium discoideum GN=nif3 PE=2 SV=1	sp|Q55E83|NIF3_DICDI	39 kDa		0
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216934 PE=4 SV=1	tr|Q869N7|Q869N7_DICDI	36 kDa		8
UPF0160 protein OS=Dictyostelium discoideum GN=DDB_G0267768 PE=3 SV=1	sp|Q55G91|U160_DICDI	38 kDa		0
"Aminomethyltransferase, mitochondrial OS=Dictyostelium discoideum GN=gcvT PE=3 SV=1"	sp|Q54DD3|GCST_DICDI	44 kDa		0
Electron transfer flavoprotein subunit beta OS=Dictyostelium discoideum GN=etfb PE=3 SV=1	sp|Q54YZ4|ETFB_DICDI	27 kDa		7
COP9 signalosome complex subunit 4 OS=Dictyostelium discoideum GN=csn4 PE=2 SV=1	sp|Q54B82|CSN4_DICDI	45 kDa		6
Myosin IB heavy chain OS=Dictyostelium discoideum GN=myoB PE=1 SV=2	sp|P34092|MYOB_DICDI	124 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204291 PE=3 SV=1	tr|Q54T87|Q54T87_DICDI	64 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189379 PE=4 SV=1	tr|Q55GP7|Q55GP7_DICDI	67 kDa		0
Coiled-coil domain-containing protein 22 homolog OS=Dictyostelium discoideum GN=DDB_G0285813 PE=3 SV=1	sp|Q54MP2|CCD22_DICDI	74 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	tr|Q54N71|Q54N71_DICDI	53 kDa		0
Probable acid phosphatase DDB_G0284755 OS=Dictyostelium discoideum GN=DDB_G0284755 PE=3 SV=2	sp|Q54P71|Y4755_DICDI	55 kDa		3
26S protease regulatory subunit 6A homolog OS=Dictyostelium discoideum GN=psmC3 PE=1 SV=1	sp|Q54PN7|PRS6A_DICDI	47 kDa	TRUE	5
"Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1"	sp|Q54JD9|SCOT_DICDI	55 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188987 PE=4 SV=1	tr|Q54FT2|Q54FT2_DICDI	69 kDa	TRUE	2
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		6
Porphobilinogen deaminase OS=Dictyostelium discoideum GN=hemC PE=3 SV=1	sp|Q54P93|HEM3_DICDI	36 kDa		3
26S proteasome non-ATPase regulatory subunit 10 OS=Dictyostelium discoideum GN=psmD10 PE=2 SV=1	sp|Q54HW1|PSD10_DICDI	25 kDa		2
Stromal cell-derived factor 2-like protein OS=Dictyostelium discoideum GN=DDB_G0284847 PE=3 SV=1	sp|Q54P23|SDF2_DICDI	24 kDa	TRUE	4
Probable 6-phosphogluconolactonase OS=Dictyostelium discoideum GN=pgl PE=3 SV=1	sp|Q54CJ3|6PGL_DICDI	27 kDa		0
Profilin-1 OS=Dictyostelium discoideum GN=proA PE=2 SV=1	sp|P26199|PROF1_DICDI	13 kDa	TRUE	8
BTB/POZ domain-containing protein OS=Dictyostelium discoideum GN=kctd9 PE=4 SV=1	tr|Q54EU5|Q54EU5_DICDI	53 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188839 PE=4 SV=1	rtr|Q54G81|Q54G81_DICDI	281 kDa	TRUE	2
DNA-dependent protein kinase catalytic subunit OS=Dictyostelium discoideum GN=dnapkcs PE=3 SV=2	rsp|Q54UC0|PRKDC_DICDI	494 kDa	TRUE	2
Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI	159 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188011 PE=3 SV=1	tr|Q54IQ3|Q54IQ3_DICDI	32 kDa		0
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	sp|Q54T59|SEC23_DICDI	85 kDa		0
Mitochondrial import inner membrane translocase subunit tim50 OS=Dictyostelium discoideum GN=timm50 PE=3 SV=1	sp|Q55C70|TIM50_DICDI	44 kDa		0
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188629 PE=4 SV=1	tr|Q54GV4|Q54GV4_DICDI	167 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215290 PE=4 SV=1	tr|Q54XF3|Q54XF3_DICDI	34 kDa	TRUE	3
Ras-related protein Rab-1D OS=Dictyostelium discoideum GN=rab1D PE=1 SV=1	sp|Q54NU2|RAB1D_DICDI	23 kDa	TRUE	9
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0203006 PE=4 SV=1	tr|Q556M2|Q556M2_DICDI	159 kDa	TRUE	0
