Identified Proteins (942)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	GST-GppNHp
PTS system beta-glucoside-specific EIIBCA component OS=Escherichia coli GN=bglF PE=4 SV=1	tr|E2QHR0|E2QHR0_ECOLX	66 kDa	TRUE	0
Protein-export membrane protein SecF OS=Escherichia coli GN=secF PE=3 SV=1	tr|C3TM72|C3TM72_ECOLX	35 kDa		0
Rho guanine nucleotide exchange factor 6 OS=Homo sapiens GN=ARHGEF6 PE=2 SV=1	tr|B7Z3C7|B7Z3C7_HUMAN	73 kDa	TRUE	0
Alpha-galactosidase OS=Escherichia coli GN=melA PE=4 SV=1	tr|E2QK11|E2QK11_ECOLX	51 kDa		4
Diacylglycerol kinase OS=Escherichia coli GN=dgkA PE=4 SV=1	tr|E2QJ71|E2QJ71_ECOLX	13 kDa		0
Uncharacterized protein yfhB OS=Escherichia coli GN=yfhB PE=4 SV=1	tr|E2QQ20|E2QQ20_ECOLX	24 kDa		0
Structural maintenance of chromosomes protein OS=Homo sapiens GN=SMC4 PE=3 SV=1	tr|E9PD53|E9PD53_HUMAN	144 kDa		0
ATP synthase subunit delta OS=Escherichia coli GN=atpH PE=3 SV=1	tr|C3SL92|C3SL92_ECOLX	19 kDa		0
Methionine synthase OS=Escherichia coli GN=metH PE=3 SV=1	REVtr|E2QJ40|E2QJ40_ECOLX	136 kDa	TRUE	0
Meteorin OS=Homo sapiens GN=METRN PE=4 SV=1	tr|H3BUM1|H3BUM1_HUMAN	17 kDa		0
Kinase suppressor of Ras 1 OS=Homo sapiens GN=KSR1 PE=4 SV=1	tr|F8WEA9|F8WEA9_HUMAN	102 kDa		0
26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=3 SV=1	tr|E9PM69|E9PM69_HUMAN	44 kDa	TRUE	7
Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli GN=borD PE=4 SV=1	tr|E2QKQ1|E2QKQ1_ECOLX	10 kDa		0
Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1 PE=4 SV=1	tr|E9PGZ2|E9PGZ2_HUMAN	73 kDa	TRUE	3
Molybdopterin-guanine dinucleotide biosynthesis protein B OS=Escherichia coli GN=hemG PE=4 SV=1	tr|C3SJW2|C3SJW2_ECOLX	21 kDa		0
Isocitrate dehydrogenase [NADP] OS=Homo sapiens GN=IDH2 PE=2 SV=1	tr|B4DFL2|B4DFL2_HUMAN	45 kDa	TRUE	0
Thioredoxin 1 OS=Escherichia coli GN=trxA PE=4 SV=1	tr|Q14F07|Q14F07_ECOLX	16 kDa		6
50S ribosomal protein L30 OS=Escherichia coli GN=rpmD PE=3 SV=1	tr|C3SR32|C3SR32_ECOLX	7 kDa		0
Protein tolQ OS=Escherichia coli GN=tolQ PE=3 SV=1	tr|E2QIB0|E2QIB0_ECOLX	26 kDa	TRUE	0
Methionine import ATP-binding protein metN OS=Escherichia coli GN=metN PE=3 SV=1	tr|E2QFC7|E2QFC7_ECOLX	38 kDa		0
Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=2 SV=1	tr|B4DP21|B4DP21_HUMAN	15 kDa		0
Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP15 PE=3 SV=2	tr|E9PCQ3|E9PCQ3_HUMAN	110 kDa	TRUE	2
Mannose permease IID component OS=Escherichia coli GN=manZ PE=4 SV=1	tr|C3T6C2|C3T6C2_ECOLX	31 kDa		0
Elongation factor Ts OS=Escherichia coli GN=tsf PE=3 SV=1	tr|C3TPM7|C3TPM7_ECOLX	30 kDa		0
Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens GN=PPP1R12C PE=4 SV=2	tr|B5MEC7|B5MEC7_HUMAN	78 kDa		4
Kinesin heavy chain isoform 5C OS=Homo sapiens GN=KIF5C PE=3 SV=2	tr|E9PET8|E9PET8_HUMAN	99 kDa		3
PTS system mannitol-specific EIICBA component OS=Escherichia coli GN=mtlA PE=4 SV=1	tr|E2QGV5|E2QGV5_ECOLX	68 kDa		0
Lipid-A-disaccharide synthase OS=Escherichia coli GN=lpxB PE=3 SV=1	tr|E2QFA9|E2QFA9_ECOLX	42 kDa		0
26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=2 SV=1	tr|A8K3Z3|A8K3Z3_HUMAN	45 kDa	TRUE	3
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=2 SV=1	tr|B7Z3E2|B7Z3E2_HUMAN	18 kDa		0
"40S ribosomal protein S4, Y isoform 1 (Fragment) OS=Homo sapiens GN=RPS4Y1 PE=4 SV=1"	tr|C9JEH7|C9JEH7_HUMAN	29 kDa	TRUE	0
14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=2 SV=1	tr|B0AZS6|B0AZS6_HUMAN	19 kDa	TRUE	0
30S ribosomal protein S8 OS=Escherichia coli GN=rpsH PE=3 SV=1	tr|C3SR12|C3SR12_ECOLX	14 kDa		0
UPF0283 membrane protein YcjF OS=Escherichia coli GN=ycjF PE=3 SV=1	tr|E2QLT1|E2QLT1_ECOLX	39 kDa		0
Calpain-9 OS=Homo sapiens GN=CAPN9 PE=4 SV=1	REVtr|E7ESS6|E7ESS6_HUMAN	72 kDa		0
Protein Wnt OS=Homo sapiens GN=WNT11 PE=3 SV=1	REVtr|E9PJL6|E9PJL6_HUMAN	27 kDa		0
Uncharacterized chaperone protein yegD OS=Escherichia coli GN=yegD PE=4 SV=1	tr|E2QNU0|E2QNU0_ECOLX	49 kDa		0
B-cell CLL/lymphoma 9-like protein (Fragment) OS=Homo sapiens GN=BCL9L PE=4 SV=2	tr|E9PIW0|E9PIW0_HUMAN	79 kDa	TRUE	2
"Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=3 SV=1"	REVtr|F8VZY9|F8VZY9_HUMAN	44 kDa		0
Annexin OS=Homo sapiens GN=ANXA7 PE=2 SV=1	tr|B4DT77|B4DT77_HUMAN	38 kDa	TRUE	6
Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=4 SV=1	tr|F8VXU5|F8VXU5_HUMAN	24 kDa		2
ING2 splice variant 1 OS=Homo sapiens GN=ING2b PE=2 SV=1	tr|B6ZDS1|B6ZDS1_HUMAN (+1)	28 kDa		0
RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=4 SV=1	tr|E1P5S2|E1P5S2_HUMAN	41 kDa	TRUE	0
"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (Fragment) OS=Homo sapiens GN=INPP5D PE=4 SV=1"	tr|H0Y5Q9|H0Y5Q9_HUMAN	91 kDa	TRUE	3
"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=4 SV=1"	tr|E9PGM4|E9PGM4_HUMAN	76 kDa	TRUE	3
Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens GN=PRPS2 PE=4 SV=1	tr|D3YTJ7|D3YTJ7_HUMAN	22 kDa	TRUE	0
Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli GN=sucD PE=3 SV=1	tr|C3TIK7|C3TIK7_ECOLX	30 kDa		0
HTH-type transcriptional regulator hexR OS=Escherichia coli GN=yebK PE=4 SV=1	tr|E2QN57|E2QN57_ECOLX	32 kDa		0
U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=4 SV=2	tr|C9JAQ9|C9JAQ9_HUMAN	71 kDa	TRUE	0
Glutamate 5-kinase OS=Escherichia coli GN=proB PE=3 SV=1	tr|C3TNT2|C3TNT2_ECOLX	39 kDa		0
Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=4 SV=1	tr|F8VTY8|F8VTY8_HUMAN	42 kDa		8
Cell division protein ZapD OS=Escherichia coli GN=yacF PE=3 SV=1	tr|E2QF29|E2QF29_ECOLX	28 kDa		0
40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=4 SV=1	tr|E5RH77|E5RH77_HUMAN	14 kDa		0
30S ribosomal protein S16 OS=Escherichia coli GN=rpsP PE=3 SV=1	tr|C3SYP2|C3SYP2_ECOLX	9 kDa		0
Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=4 SV=1	tr|E5RFJ0|E5RFJ0_HUMAN	119 kDa	TRUE	0
3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli GN=fabF PE=3 SV=1	tr|C3TDX2|C3TDX2_ECOLX	43 kDa		0
Arachidonate 15-lipoxygenase OS=Homo sapiens GN=ALOX15 PE=2 SV=1	tr|B7ZA11|B7ZA11_HUMAN (+1)	70 kDa	TRUE	4
"ADP-ribosylation factor-like 8B, isoform CRA_a OS=Homo sapiens GN=ARL8B PE=2 SV=1"	tr|B4DI85|B4DI85_HUMAN	19 kDa		0
Myelin oligodendrocyte glycoprotein OS=Homo sapiens GN=MOG PE=4 SV=1	REVtr|B0UZR7|B0UZR7_HUMAN	34 kDa		0
Rod shape-determining protein mreC OS=Escherichia coli GN=mreC PE=4 SV=1	tr|E2QES5|E2QES5_ECOLX	40 kDa		0
Heat shock 70 kDa protein 4L OS=Homo sapiens GN=HSPA4L PE=3 SV=2	tr|E7ES43|E7ES43_HUMAN	98 kDa	TRUE	0
COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=4 SV=1	tr|D6RAX7|D6RAX7_HUMAN	48 kDa		4
Regulator of G-protein-signaling 3 OS=Homo sapiens GN=RGS3 PE=2 SV=1	tr|B3KUB2|B3KUB2_HUMAN	66 kDa	TRUE	0
Fermitin family homolog 3 (Fragment) OS=Homo sapiens GN=FERMT3 PE=4 SV=1	tr|H0YFT5|H0YFT5_HUMAN	20 kDa		3
4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=2 SV=1	tr|B4DXY7|B4DXY7_HUMAN	46 kDa	TRUE	6
AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=4 SV=1	tr|E9PJJ7|E9PJJ7_HUMAN	75 kDa	TRUE	0
Uncharacterized protein ybjX OS=Escherichia coli GN=ybjX PE=4 SV=1	tr|E2QIP3|E2QIP3_ECOLX	38 kDa	TRUE	0
NadP-dependent malic enzyme OS=Escherichia coli GN=maeB PE=3 SV=1	tr|E2QPT7|E2QPT7_ECOLX	82 kDa		0
"Tubulin tyrosine ligase-like family, member 12 OS=Homo sapiens GN=TTLL12 PE=4 SV=1"	tr|B1AH89|B1AH89_HUMAN	74 kDa	TRUE	2
Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens GN=LUC7L2 PE=2 SV=1	tr|B7Z4Q3|B7Z4Q3_HUMAN	54 kDa	TRUE	0
Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=4 SV=1	tr|D6RBZ0|D6RBZ0_HUMAN	36 kDa		3
5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens GN=PRKAG1 PE=2 SV=1	tr|B4DDT7|B4DDT7_HUMAN (+1)	34 kDa	TRUE	0
AP-1 complex subunit beta-1 (Fragment) OS=Homo sapiens GN=AP1B1 PE=4 SV=1	tr|C9J1E7|C9J1E7_HUMAN	65 kDa	TRUE	0
Regulator of G-protein-signaling 14 (Fragment) OS=Homo sapiens GN=RGS14 PE=4 SV=1	tr|H0Y8W3|H0Y8W3_HUMAN	47 kDa	TRUE	0
Protein tolR OS=Escherichia coli GN=tolR PE=3 SV=1	tr|C3TIH7|C3TIH7_ECOLX	15 kDa		0
Copine-3 (Fragment) OS=Homo sapiens GN=CPNE3 PE=4 SV=1	tr|E5RG68|E5RG68_HUMAN	27 kDa		11
Protein visC OS=Escherichia coli GN=visC PE=4 SV=1	tr|E2QDP4|E2QDP4_ECOLX	44 kDa		0
Cytosolic purine 5'-nucleotidase OS=Homo sapiens GN=NT5C2 PE=2 SV=1	tr|B7Z382|B7Z382_HUMAN	61 kDa		5
"Formate dehydrogenase-O, iron-sulfur subunit OS=Escherichia coli GN=fdoH PE=4 SV=1"	tr|E2QIS4|E2QIS4_ECOLX	33 kDa	TRUE	0
Protein-export protein SecB OS=Escherichia coli GN=secB PE=3 SV=1	tr|E2QGW7|E2QGW7_ECOLX	17 kDa		0
pre-mRNA 3' end-processing protein WDR33 (Fragment) OS=Homo sapiens GN=WDR33 PE=4 SV=1	tr|B9A053|B9A053_HUMAN	14 kDa		0
NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli GN=nuoC PE=3 SV=1	tr|E2QPE7|E2QPE7_ECOLX	68 kDa	TRUE	0
Calpain-3 OS=Homo sapiens GN=CAPN3 PE=4 SV=1	tr|F8W8F5|F8W8F5_HUMAN	94 kDa		0
Leucine-rich repeat serine/threonine-protein kinase 2 OS=Homo sapiens GN=LRRK2 PE=4 SV=1	tr|E9PC85|E9PC85_HUMAN	143 kDa		0
Sodium channel protein type 3 subunit alpha (Fragment) OS=Homo sapiens GN=SCN3A PE=4 SV=1	tr|E7EUE6|E7EUE6_HUMAN	154 kDa	TRUE	2
Protease degQ OS=Escherichia coli GN=degQ PE=4 SV=1	tr|E2QER0|E2QER0_ECOLX	47 kDa	TRUE	0
Putative ATP-binding component of a transport system OS=Escherichia coli GN=lptB PE=3 SV=1	tr|C3SS87|C3SS87_ECOLX	27 kDa		0
Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=2 SV=1	tr|B7ZA04|B7ZA04_HUMAN (+1)	70 kDa	TRUE	3
"Myosin, heavy chain 9, non-muscle (Fragment) OS=Homo sapiens GN=MYH9 PE=4 SV=1"	tr|B1AH99|B1AH99_HUMAN	12 kDa	TRUE	2
Succinate dehydrogenase cytochrome b556 subunit OS=Escherichia coli GN=sdhC PE=4 SV=1	tr|E2QI95|E2QI95_ECOLX	14 kDa		0
SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=2 SV=1	tr|B7Z6E8|B7Z6E8_HUMAN	44 kDa		2
NadH-quinone oxidoreductase subunit L OS=Escherichia coli GN=nuoL PE=3 SV=1	tr|E2QPD9|E2QPD9_ECOLX	66 kDa		0
RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens GN=RAF1 PE=2 SV=1	tr|B4E0X2|B4E0X2_HUMAN (+1)	64 kDa		0
ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=2 SV=1	tr|B4DWW1|B4DWW1_HUMAN (+1)	19 kDa		0
Uncharacterized protein OS=Escherichia coli GN=yrbD PE=4 SV=1	tr|C3SSC7|C3SSC7_ECOLX	20 kDa		0
Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3EIP PE=4 SV=1	tr|B0QY89|B0QY89_HUMAN	71 kDa	TRUE	5
Sorcin OS=Homo sapiens GN=SRI PE=4 SV=2	tr|A8MTH6|A8MTH6_HUMAN (+2)	20 kDa		0
Striatin-4 OS=Homo sapiens GN=STRN4 PE=4 SV=1	tr|F8VYA6|F8VYA6_HUMAN	81 kDa		0
40S ribosomal protein S27 OS=Homo sapiens GN=RPS27L PE=3 SV=1	tr|H0YMV8|H0YMV8_HUMAN	11 kDa		0
50S ribosomal protein L27 OS=Escherichia coli GN=rpmA PE=3 SV=1	tr|C3SSG7|C3SSG7_ECOLX	9 kDa		0
Transgelin (Fragment) OS=Homo sapiens GN=TAGLN PE=4 SV=1	tr|H0YCU9|H0YCU9_HUMAN	17 kDa		3
T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=2 SV=1	tr|B7ZAR1|B7ZAR1_HUMAN (+1)	55 kDa	TRUE	6
Transcriptional regulatory protein phoP OS=Escherichia coli GN=phoP PE=4 SV=1	tr|E2QKL3|E2QKL3_ECOLX	26 kDa	TRUE	0
Fructose repressor OS=Escherichia coli GN=fruR PE=4 SV=1	tr|C3TQS7|C3TQS7_ECOLX	38 kDa		0
"D-tagatose-1,6-bisphosphate aldolase subunit GatZ OS=Escherichia coli GN=gatZ PE=3 SV=1"	tr|E2QNW3|E2QNW3_ECOLX	47 kDa	TRUE	0
NadH-quinone oxidoreductase subunit M OS=Escherichia coli GN=nuoM PE=3 SV=1	tr|E2QPD8|E2QPD8_ECOLX	57 kDa		0
Iron-sulfur cluster insertion protein ErpA OS=Escherichia coli GN=yadR PE=3 SV=1	tr|C3TPT7|C3TPT7_ECOLX	12 kDa		0
Disrupted in schizophrenia 1 isoform 14 OS=Homo sapiens GN=DISC1 PE=2 SV=1	REVtr|C4P093|C4P093_HUMAN (+1)	59 kDa		0
Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=3 SV=1	tr|F8W1H5|F8W1H5_HUMAN	27 kDa	TRUE	0
Drebrin-like protein OS=Homo sapiens GN=DBNL PE=2 SV=1	tr|B4DDD6|B4DDD6_HUMAN	46 kDa	TRUE	4
Proto-oncogene vav OS=Homo sapiens GN=VAV1 PE=4 SV=1	tr|F5H5P4|F5H5P4_HUMAN	87 kDa	TRUE	0
Putative uncharacterized protein OS=Escherichia coli GN=LF82_315 PE=4 SV=1	tr|E2QNJ6|E2QNJ6_ECOLX	150 kDa	TRUE	2
Rho guanine nucleotide exchange factor (GEF) 7 OS=Homo sapiens GN=ARHGEF7 PE=4 SV=1	tr|B1ALK7|B1ALK7_HUMAN	80 kDa	TRUE	0
Galactokinase OS=Homo sapiens GN=GALK1 PE=2 SV=1	tr|B4E1G6|B4E1G6_HUMAN	45 kDa	TRUE	5
DNA polymerase I OS=Escherichia coli GN=polA PE=3 SV=1	tr|E2QI51|E2QI51_ECOLX	103 kDa		0
Exportin-1 (Fragment) OS=Homo sapiens GN=XPO1 PE=4 SV=1	tr|C9JKM9|C9JKM9_HUMAN	21 kDa		0
RAS guanyl releasing protein 4 variant 6 OS=Homo sapiens GN=RASGRP4 PE=2 SV=1	tr|C0LTP3|C0LTP3_HUMAN	67 kDa		0
Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=2 SV=1	tr|B4DNJ6|B4DNJ6_HUMAN	40 kDa		3
Rho-associated protein kinase 2 OS=Homo sapiens GN=ROCK2 PE=4 SV=1	tr|D6REE7|D6REE7_HUMAN	51 kDa	TRUE	0
Cytoskeleton-associated protein 5 (Fragment) OS=Homo sapiens GN=CKAP5 PE=4 SV=1	tr|H0YDX5|H0YDX5_HUMAN	23 kDa		0
60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=4 SV=1	tr|C9JNW5|C9JNW5_HUMAN (+1)	18 kDa		0
"Stress-70 protein, mitochondrial (Fragment) OS=Homo sapiens GN=HSPA9 PE=3 SV=1"	tr|D6RJI2|D6RJI2_HUMAN	10 kDa		0
Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=4 SV=1	tr|A8MV37|A8MV37_HUMAN (+1)	34 kDa		0
Lipoprotein OS=Escherichia coli GN=ecfH PE=4 SV=1	tr|Q548B5|Q548B5_ECOLX	20 kDa		0
Cytoplasmic dynein 1 heavy chain 1 (Fragment) OS=Homo sapiens GN=DYNC1H1 PE=4 SV=1	tr|H0YJ21|H0YJ21_HUMAN	21 kDa		0
Septin-1 (Fragment) OS=Homo sapiens GN=SEPT1 PE=4 SV=1	tr|H3BS52|H3BS52_HUMAN	29 kDa		0
WD repeat- and FYVE domain-containing protein 4 OS=Homo sapiens GN=WDFY4 PE=4 SV=1	tr|F8WCU4|F8WCU4_HUMAN	115 kDa	TRUE	0
Protease sohB OS=Escherichia coli GN=sohB PE=4 SV=1	tr|E2QLN1|E2QLN1_ECOLX	39 kDa		0
Cytokine receptor-like factor 3 OS=Homo sapiens GN=CRLF3 PE=2 SV=1	tr|B4DJU5|B4DJU5_HUMAN	36 kDa		5
Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A PE=3 SV=1	tr|E9PB70|E9PB70_HUMAN	78 kDa		2
Mannose permease IIC component OS=Escherichia coli GN=manY PE=4 SV=1	tr|C3T6C7|C3T6C7_ECOLX	28 kDa		0
Glycerol-3-phosphate acyltransferase OS=Escherichia coli GN=plsB PE=3 SV=1	tr|E2QJ70|E2QJ70_ECOLX	94 kDa	TRUE	0
FAD-AMP lyase (cyclizing) (Fragment) OS=Homo sapiens GN=DAK PE=4 SV=1	tr|H0YCY6|H0YCY6_HUMAN	55 kDa		4
Aerobic respiration control sensor protein arcB OS=Escherichia coli GN=arcB PE=4 SV=1	tr|C3SS42|C3SS42_ECOLX	88 kDa		0
Leucine-responsive regulatory protein OS=Escherichia coli GN=lrp PE=4 SV=1	tr|C3TGK7|C3TGK7_ECOLX	19 kDa		0
30S ribosomal protein S4 OS=Escherichia coli GN=rpsD PE=3 SV=1	tr|C3SR62|C3SR62_ECOLX	23 kDa		0
DBIRD complex subunit KIAA1967 (Fragment) OS=Homo sapiens GN=KIAA1967 PE=4 SV=1	tr|H0YB24|H0YB24_HUMAN	69 kDa		0
26S protease regulatory subunit 10B (Fragment) OS=Homo sapiens GN=PSMC6 PE=4 SV=1	tr|H0YJC0|H0YJC0_HUMAN	30 kDa		0
Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli GN=gatD PE=3 SV=1	tr|E2QNV9|E2QNV9_ECOLX	37 kDa		0
14-3-3 protein eta (Fragment) OS=Homo sapiens GN=YWHAH PE=4 SV=1	tr|A2IDB2|A2IDB2_HUMAN	19 kDa	TRUE	3
Uncharacterized protein yciR OS=Escherichia coli GN=gmr PE=4 SV=1	tr|E2QLP7|E2QLP7_ECOLX	75 kDa		0
Fibulin 1 OS=Homo sapiens GN=FBLN1 PE=4 SV=1	tr|B1AHL2|B1AHL2_HUMAN	78 kDa		0
Lipoprotein-releasing system transmembrane protein lolC OS=Escherichia coli GN=lolC PE=4 SV=1	tr|C3TDL7|C3TDL7_ECOLX	43 kDa		0
Protein CNPPD1 (Fragment) OS=Homo sapiens GN=CNPPD1 PE=4 SV=1	tr|C9JF31|C9JF31_HUMAN	34 kDa		0
Isoform 3 of EF-hand calcium-binding domain-containing protein 5 OS=Homo sapiens GN=EFCAB5	sp|A4FU69-3|EFCB5_HUMAN (+1)	159 kDa		0
PAP-associated domain-containing protein 5 OS=Homo sapiens GN=PAPD5 PE=2 SV=1	tr|B4DV38|B4DV38_HUMAN	76 kDa		0
Multidrug resistance protein A OS=Escherichia coli GN=emrA PE=4 SV=1	tr|E2QQD9|E2QQD9_ECOLX	43 kDa		0
LIM and calponin homology domains-containing protein 1 OS=Homo sapiens GN=LIMCH1 PE=4 SV=1	tr|G5EA03|G5EA03_HUMAN	164 kDa	TRUE	2
Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=2 SV=1	tr|B4DVY1|B4DVY1_HUMAN	58 kDa	TRUE	3
Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=2 SV=1	tr|B4DJP7|B4DJP7_HUMAN	13 kDa		0
Rare lipoprotein A OS=Escherichia coli GN=rlpA PE=3 SV=1	tr|E2QHJ3|E2QHJ3_ECOLX	38 kDa		0
Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens GN=KCNAB2 PE=4 SV=2	tr|E7ESI4|E7ESI4_HUMAN	18 kDa		3
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol OS=Escherichia coli GN=ubiF PE=4 SV=1"	tr|E2QHL5|E2QHL5_ECOLX	43 kDa		0
Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=4 SV=1	tr|B7Z4S1|B7Z4S1_HUMAN	13 kDa		3
Phosphate acetyltransferase OS=Escherichia coli GN=pta PE=3 SV=1	tr|E2QPF8|E2QPF8_ECOLX	77 kDa		0
Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=2 SV=1	tr|B3KSH1|B3KSH1_HUMAN	39 kDa		3
ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli GN=clpP PE=3 SV=1	tr|C3TLT2|C3TLT2_ECOLX	23 kDa		0
Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=4 SV=1	tr|F8VQ10|F8VQ10_HUMAN	51 kDa	TRUE	4
Protein SET OS=Homo sapiens GN=SET PE=3 SV=1	tr|B2REB8|B2REB8_HUMAN	31 kDa		6
1-phosphofructokinase OS=Escherichia coli GN=fruK PE=4 SV=1	tr|C3T3R2|C3T3R2_ECOLX	34 kDa		0
PTS system glucose-specific EIICB component OS=Escherichia coli GN=ptsG PE=4 SV=1	tr|C3TDU2|C3TDU2_ECOLX	51 kDa		0
Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=2 SV=1	tr|B4DDM6|B4DDM6_HUMAN	28 kDa		4
30S ribosomal protein S18 OS=Escherichia coli GN=rpsR PE=3 SV=1	tr|C3SFP7|C3SFP7_ECOLX	9 kDa		0
10 kDa chaperonin OS=Escherichia coli GN=mopB PE=3 SV=1	tr|Q7BGE6|Q7BGE6_ECOLX	10 kDa		0
Cell division protein ZipA homolog OS=Escherichia coli GN=zipA PE=3 SV=1	tr|E2QPP8|E2QPP8_ECOLX	37 kDa		0
Putative ATP-binding component of a transport system OS=Escherichia coli GN=yrbF PE=3 SV=1	tr|C3SSB7|C3SSB7_ECOLX	29 kDa		0
DENN domain-containing protein 4B (Fragment) OS=Homo sapiens GN=DENND4B PE=4 SV=1	tr|E9PAK5|E9PAK5_HUMAN	133 kDa	TRUE	0
Chaperone protein HscA OS=Escherichia coli GN=hscA PE=3 SV=1	tr|E2QPZ2|E2QPZ2_ECOLX	66 kDa		0
Protein tolA OS=Escherichia coli GN=tolA PE=4 SV=1	tr|E2QIB2|E2QIB2_ECOLX	43 kDa		0
DnaJ homolog subfamily A member 2 (Fragment) OS=Homo sapiens GN=DNAJA2 PE=4 SV=1	tr|H3BMW5|H3BMW5_HUMAN	15 kDa		0
Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Homo sapiens GN=PPIH PE=3 SV=1	tr|C9JQD4|C9JQD4_HUMAN	16 kDa		0
4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli GN=dapB PE=3 SV=1	tr|E2QEW0|E2QEW0_ECOLX	29 kDa		6
Nuclear receptor-binding protein OS=Homo sapiens GN=NRBP1 PE=4 SV=1	tr|F8W6G1|F8W6G1_HUMAN	61 kDa		2
"Protein phosphatase 2A activator, regulatory subunit 4 OS=Homo sapiens GN=PPP2R4 PE=4 SV=1"	tr|A6PVN5|A6PVN5_HUMAN	37 kDa	TRUE	3
Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=4 SV=1	tr|E9PD68|E9PD68_HUMAN	62 kDa	TRUE	5
TonB-dependent receptor yncD OS=Escherichia coli GN=yncD PE=3 SV=1	tr|E2QM02|E2QM02_ECOLX	77 kDa		0
Maltose regulon regulatory protein malI OS=Escherichia coli GN=malI PE=4 SV=1	tr|E2QMI3|E2QMI3_ECOLX	37 kDa		0
Sulfate adenylyltransferase subunit 2 OS=Escherichia coli GN=cysD PE=3 SV=1	tr|E2QQK4|E2QQK4_ECOLX	35 kDa		0
ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=4 SV=1	tr|D6R9I9|D6R9I9_HUMAN	47 kDa		4
Cytochrome d ubiquinol oxidase subunit III OS=Escherichia coli GN=yhcB PE=4 SV=1	tr|E2QEQ9|E2QEQ9_ECOLX	15 kDa		0
DNA polymerase III subunit delta' OS=Escherichia coli GN=holB PE=4 SV=1	tr|E2QKI3|E2QKI3_ECOLX	37 kDa		0
RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=4 SV=1	tr|E7ETR0|E7ETR0_HUMAN	35 kDa		3
