Identified Proteins (998)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasC-GST-PO
Sphingosine-1-phosphate lyase OS=Dictyostelium discoideum GN=sglA PE=2 SV=1	sp|Q54RV9|SGPL_DICDI	58 kDa	TRUE	3
Seryl-tRNA synthetase (EC 6.1.1.11) (Ser	sp|P0A8L1|SYS_ECOLI	48 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa		2
Phenylalanyl-tRNA synthetase alpha chain OS=Dictyostelium discoideum GN=pheSA PE=3 SV=1	sp|Q54KS8|SYFA_DICDI	56 kDa		4
AP-2 complex subunit alpha-2 OS=Dictyostelium discoideum GN=ap2a1-1 PE=3 SV=1	sp|Q86KI1|AP2A2_DICDI	111 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169413 PE=4 SV=1	tr|Q7KWR1|Q7KWR1_DICDI	41 kDa	TRUE	2
Superoxide dismutase [Fe] (EC 1.15.1.1).	sp|P0AGD3|SODF_ECOLI	21 kDa		4
C2 calcium/lipid-binding region-containing protein OS=Dictyostelium discoideum GN=DDB_0202870 PE=1 SV=1	tr|Q55BH2|Q55BH2_DICDI	172 kDa		4
FK506-binding protein 5 OS=Dictyostelium discoideum GN=fkbp5 PE=3 SV=1	sp|Q54G21|FKBP5_DICDI	182 kDa		5
Cell division protein ftsH (EC 3.4.24.-)	sp|P0AAI3|FTSH_ECOLI	71 kDa		3
Hypothetical protein yraM.	sp|P45464|YRAM_ECOLI	73 kDa		2
UTP--glucose-1-phosphate uridylyltransferase 2 OS=Dictyostelium discoideum GN=ugpB PE=2 SV=1	sp|Q54YZ0|UGPA2_DICDI	56 kDa	TRUE	4
Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	sp|Q9U1M8|MYOI_DICDI	268 kDa	TRUE	4
"1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1"	sp|Q555Q9|GLGB_DICDI	79 kDa	TRUE	4
Beta-ureidopropionase OS=Dictyostelium discoideum GN=pyd3 PE=1 SV=1	sp|Q964D8|BUP1_DICDI	44 kDa		4
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	sp|Q54J34|PUR8_DICDI	53 kDa		3
Xaa-Pro dipeptidase (EC 3.4.13.9) (X-Pro	sp|P21165|PEPQ_ECOLI	50 kDa		4
SNF2-related domain-containing protein OS=Dictyostelium discoideum GN=DDB_0186863 PE=4 SV=1	tr|Q54M42|Q54M42_DICDI	228 kDa		3
Aminoacyl-histidine dipeptidase (EC 3.4.	sp|P15288|PEPD_ECOLI	53 kDa		3
Small glutamine-rich tetratricopeptide repeat-containing protein OS=Dictyostelium discoideum GN=sgt PE=1 SV=1	sp|Q54VG4|SGT_DICDI	37 kDa		4
Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	sp|Q54UQ2|PGM2_DICDI	68 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI	129 kDa		5
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88 kDa		6
Protein-export membrane protein secD.	sp|P0AG90|SECD_ECOLI	67 kDa		6
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32 kDa		6
GTP-binding protein typA/BipA (Tyrosine	sp|P32132|TYPA_ECOLI	67 kDa		4
Zipper-like domain-containing protein OS=Dictyostelium discoideum GN=zipA PE=4 SV=1	tr|Q54L07|Q54L07_DICDI	116 kDa		4
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		6
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		5
Protein disulfide-isomerase 2 OS=Dictyostelium discoideum GN=pdi2 PE=3 SV=1	sp|Q54EN4|PDI2_DICDI	58 kDa		4
AP-1 complex subunit beta OS=Dictyostelium discoideum GN=ap1b1 PE=3 SV=1	sp|Q54X82|AP1B_DICDI	107 kDa		4
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		5
Cycloartenol synthase OS=Dictyostelium discoideum GN=cas1 PE=1 SV=1	sp|Q55D85|CAS1_DICDI	81 kDa	TRUE	4
Dihydropyrimidine dehydrogenase [NADP+] OS=Dictyostelium discoideum GN=pyd1 PE=2 SV=1	sp|Q55FT1|DPYD_DICDI	110 kDa		4
Fructose-bisphosphate aldolase class II	sp|P0AB71|ALF_ECOLI	39 kDa		6
Transketolase 1 (EC 2.2.1.1) (TK 1).	sp|P27302|TKT1_ECOLI	72 kDa		4
Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI	22 kDa		5
Triosephosphate isomerase (EC 5.3.1.1) (	sp|P0A858|TPIS_ECOLI	27 kDa		4
Succinyl-CoA synthetase alpha chain (EC	sp|P0AGE9|SUCD_ECOLI	30 kDa		5
26S proteasome non-ATPase regulatory subunit 6 OS=Dictyostelium discoideum GN=psmD6 PE=2 SV=1	sp|Q55C75|PSMD6_DICDI	44 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189501 PE=1 SV=1	tr|Q55GC0|Q55GC0_DICDI	33 kDa		2
Aspartyl-tRNA synthetase (EC 6.1.1.12) (	sp|P21889|SYD_ECOLI	66 kDa		4
RapGAP/RanGAP domain-containing protein OS=Dictyostelium discoideum GN=DDB_0186216 PE=4 SV=1	tr|Q54P30|Q54P30_DICDI	186 kDa		3
6-phosphofructokinase isozyme I (EC 2.7.	sp|P0A796|K6PF1_ECOLI	35 kDa		4
Glycogen phosphorylase 1 OS=Dictyostelium discoideum GN=glpV PE=1 SV=3	sp|Q00766|PHS1_DICDI	98 kDa		2
40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI	16 kDa	TRUE	4
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa		3
Probable 2-hydroxyacyl-CoA lyase 1 OS=Dictyostelium discoideum GN=hacl1 PE=3 SV=1	sp|Q54DA9|HACL1_DICDI	63 kDa		2
Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum GN=smt1 PE=1 SV=1	sp|Q54I98|SMT1_DICDI	40 kDa		2
Outer membrane lipoprotein slyB precurso	sp|P0A905|SLYB_ECOLI	16 kDa		5
ADP-ribosylation factor 1 OS=Dictyostelium discoideum GN=arfA PE=1 SV=3	sp|O00909|ARF1_DICDI	21 kDa		5
Outer membrane protein X precursor.	sp|P0A917|OMPX_ECOLI	19 kDa		5
10 kDa chaperonin (Protein Cpn10) (groES	sp|P0A6F9|CH10_ECOLI	10 kDa		5
Hisactophilin-1 OS=Dictyostelium discoideum GN=hatA PE=1 SV=3	sp|P13231|HATA_DICDI	13 kDa		2
Major outer membrane lipoprotein precurs	sp|P69776|LPP_ECOLI	8 kDa		5
Rab GDP dissociation inhibitor alpha OS=Dictyostelium discoideum GN=DDB_G0268034 PE=4 SV=1	tr|Q55FM7|Q55FM7_DICDI	51 kDa		4
PH domain-containing rcdII OS=Dictyostelium discoideum GN=rcdII PE=2 SV=1	sp|Q54Q72|RDCII_DICDI	52 kDa		4
Serine hydroxymethyltransferase (EC 2.1.	sp|P0A825|GLYA_ECOLI	45 kDa		5
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187721 PE=4 SV=1	tr|Q54JK8|Q54JK8_DICDI	34 kDa		3
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa		3
Probable serine/threonine-protein kinase DDB_G0272092 OS=Dictyostelium discoideum GN=DDB_G0272092 PE=2 SV=1	sp|Q55A55|Y9848_DICDI	110 kDa	TRUE	4
Eukaryotic translation initiation factor 3 subunit C OS=Dictyostelium discoideum GN=eif3c PE=3 SV=1	sp|Q54X97|EIF3C_DICDI	107 kDa		3
ATP-dependent Clp protease ATP-binding s	sp|P0A6H1|CLPX_ECOLI	46 kDa		5
60S ribosomal protein L15 OS=Dictyostelium discoideum GN=rpl15-1 PE=1 SV=1	sp|Q86K01|RL15_DICDI	24 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206489 PE=4 SV=1	tr|Q54VK5|Q54VK5_DICDI	70 kDa		5
Cell division protein ftsA.	sp|P0ABH0|FTSA_ECOLI	45 kDa		4
"Fumarate hydratase class I, aerobic (EC"	sp|P0AC33|FUMA_ECOLI	60 kDa		4
Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1	sp|Q9NGQ2|KIF1_DICDI	248 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205217 PE=4 SV=1	tr|Q54VB8|Q54VB8_DICDI	33 kDa		5
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		5
Vacuolar protein sorting-associated protein 4 OS=Dictyostelium discoideum GN=vps4 PE=3 SV=1	sp|Q54PT2|VPS4_DICDI	50 kDa		4
UDP-sugar-dependent glycosyltransferase 52 OS=Dictyostelium discoideum GN=ugt52 PE=2 SV=1	sp|Q54IL5|UGT52_DICDI	191 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa		3
Proteasome subunit beta type-1 OS=Dictyostelium discoideum GN=psmB1 PE=3 SV=1	sp|Q86A21|PSB1_DICDI	26 kDa		4
Cytoplasmic dynein 1 light intermediate chain 1 OS=Dictyostelium discoideum GN=dync1li1 PE=3 SV=1	sp|Q54CI8|DC1L1_DICDI	57 kDa		4
Cytoplasmic tRNA 2-thiolation protein 2 OS=Dictyostelium discoideum GN=ctu2 PE=3 SV=1	sp|Q55EX7|CTU2_DICDI	59 kDa		3
Biotin carboxylase (EC 6.3.4.14) (A subu	sp|P24182|ACCC_ECOLI	49 kDa		3
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27 kDa		4
Protein pmbA (Protein tldE).	sp|P0AFK0|PMBA_ECOLI	48 kDa		3
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205282 PE=4 SV=1	tr|Q54ST5|Q54ST5_DICDI	64 kDa	TRUE	4
Probable caffeoyl-CoA O-methyltransferase 2 OS=Dictyostelium discoideum GN=omt6 PE=1 SV=1	sp|Q86IC8|CAMT2_DICDI (+1)	26 kDa		3
Probable ATP-dependent RNA helicase ddx27 OS=Dictyostelium discoideum GN=ddx27 PE=3 SV=1	sp|Q54TJ4|DDX27_DICDI	90 kDa	TRUE	3
Putative tagatose 6-phosphate kinase gat	sp|P37191|GATZ_ECOLI	47 kDa		4
Beta-galactosidase (EC 3.2.1.23) (Lactas	sp|P00722|BGAL_ECOLI	116 kDa		2
Probable GH family 25 lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274181 PE=3 SV=1	sp|Q86KC1|LYSG2_DICDI	23 kDa		3
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	sp|Q86IV4|Y4775_DICDI	51 kDa		3
Adenylate kinase (EC 2.7.4.3) (ATP-AMP t	sp|P69441|KAD_ECOLI	24 kDa		4
Dynamin-like protein B OS=Dictyostelium discoideum GN=dlpB PE=2 SV=1	sp|Q54MH8|DLPB_DICDI	93 kDa		2
Rho-related protein racC OS=Dictyostelium discoideum GN=racC PE=1 SV=1	sp|P34149|RACC_DICDI	22 kDa	TRUE	3
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa		3
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI	153 kDa		3
Aldose reductase A OS=Dictyostelium discoideum GN=alrA PE=2 SV=1	sp|Q6IMN8|ALRA_DICDI	34 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191770 PE=4 SV=1	tr|Q54CA5|Q54CA5_DICDI	231 kDa		3
Outer membrane protein tolC precursor.	sp|P02930|TOLC_ECOLI	54 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167176 PE=4 SV=1	tr|Q86IC6|Q86IC6_DICDI	127 kDa		3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188841 PE=3 SV=1	tr|Q54G79|Q54G79_DICDI	34 kDa		5
PI-PLC X-box domain-containing protein DDB_G0293730 OS=Dictyostelium discoideum GN=DDB_G0293730 PE=4 SV=2	sp|Q54BH5|Y3730_DICDI	84 kDa		5
26S protease regulatory subunit 7 OS=Dictyostelium discoideum GN=psmC2 PE=1 SV=1	sp|Q86JA1|PRS7_DICDI	47 kDa	TRUE	5
Calcium up-regulated protein B OS=Dictyostelium discoideum GN=cupB PE=2 SV=1	sp|Q7Z203|CUPB_DICDI	86 kDa	TRUE	2
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		3
Mevalonate kinase OS=Dictyostelium discoideum GN=mvk PE=3 SV=1	sp|Q86AG7|KIME_DICDI	43 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa		3
PH domain-containing protein DDB_G0287875 OS=Dictyostelium discoideum GN=DDB_G0287875 PE=2 SV=1	sp|Q1ZXE2|Y7875_DICDI	137 kDa	TRUE	3
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		3
SH3 domain-containing protein OS=Dictyostelium discoideum GN=docA PE=4 SV=1	tr|Q54DS6|Q54DS6_DICDI	248 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187732 PE=4 SV=1	tr|Q54JJ7|Q54JJ7_DICDI	212 kDa	TRUE	2
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa		3
Branched-chain-amino-acid aminotransferase OS=Dictyostelium discoideum GN=bcaA PE=3 SV=1	sp|Q54N47|BCAT_DICDI	42 kDa		4
Protein phosphatase 2C OS=Dictyostelium discoideum GN=DDB_0205493 PE=3 SV=1	tr|Q54Y00|Q54Y00_DICDI	33 kDa		4
Arginyl-tRNA synthetase (EC 6.1.1.19) (A	sp|P11875|SYR_ECOLI	65 kDa		2
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa	TRUE	4
AP-3 complex subunit beta OS=Dictyostelium discoideum GN=ap3b-1 PE=3 SV=1	sp|Q556J8|AP3B_DICDI	127 kDa		2
HEAT repeat-containing protein 1 homolog OS=Dictyostelium discoideum GN=heatr1 PE=3 SV=1	sp|Q54ML4|HEAT1_DICDI	254 kDa	TRUE	4
1-phosphofructokinase (EC 2.7.1.56) (Fru	sp|P0AEW9|K1PF_ECOLI	34 kDa		3
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60 kDa		4
Ran-specific GTPase-activating protein homolog OS=Dictyostelium discoideum GN=ranbp1 PE=1 SV=1	sp|Q54KD9|RANG_DICDI	22 kDa		5
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		5
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217007 PE=4 SV=1	tr|Q75JT6|Q75JT6_DICDI	36 kDa		5
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67 kDa		4
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0188965 PE=4 SV=1	tr|Q54FV6|Q54FV6_DICDI	53 kDa		4
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		4
Thimet-like oligopeptidase OS=Dictyostelium discoideum GN=DDB_G0292362 PE=3 SV=1	sp|Q54DD2|THOPL_DICDI	78 kDa	TRUE	4
Protease do precursor (EC 3.4.21.-).	sp|P0C0V0|DEGP_ECOLI	49 kDa		4
D-methionine-binding lipoprotein metQ pr	sp|P28635|METQ_ECOLI	29 kDa		4
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI	149 kDa		3
Probable glycerol kinase OS=Dictyostelium discoideum GN=gk PE=3 SV=1	sp|Q54VT8|GLPK_DICDI	60 kDa	TRUE	4
SCF ubiquitin ligase complex protein SKP1a OS=Dictyostelium discoideum GN=fpaA PE=1 SV=1	sp|P52285|SKP1A_DICDI (+1)	19 kDa	TRUE	3
DNA polymerase III alpha subunit (EC 2.7	sp|P10443|DPO3A_ECOLI	130 kDa		3
Putative HTH-type transcriptional regula	sp|P27434|YFGA_ECOLI	36 kDa		5
DNA-binding protein H-NS (Histone-like p	sp|P0ACF8|HNS_ECOLI	15 kDa		4
"Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"	sp|Q86KU2|SYVC_DICDI	123 kDa		4
Catabolite gene activator (cAMP receptor	sp|P0ACJ8|CRP_ECOLI	24 kDa		3
Phosphoheptose isomerase (EC 5.3.1.-) (S	sp|P63224|GMHA_ECOLI	21 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202577 PE=4 SV=1	tr|Q553T2|Q553T2_DICDI	76 kDa		4
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa		4
"UPF0551 protein, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0291852 PE=3 SV=1"	sp|Q54E48|U551_DICDI	41 kDa		5
Inorganic pyrophosphatase (EC 3.6.1.1) (	sp|P0A7A9|IPYR_ECOLI	20 kDa		5
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0275459 PE=4 SV=1	tr|Q75K16|Q75K16_DICDI	32 kDa		4
"Formate dehydrogenase-O, major subunit ("	sp|P32176|FDOG_ECOLI	113 kDa		3
50S ribosomal protein L24.	sp|P60624|RL24_ECOLI	11 kDa		4
DNA mismatch repair protein mutS.	sp|P23909|MUTS_ECOLI	95 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186336 PE=3 SV=1	tr|Q54NQ7|Q54NQ7_DICDI	28 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188978 PE=1 SV=1	tr|Q54FU0|Q54FU0_DICDI	16 kDa		5
Aconitate hydratase 1 (EC 4.2.1.3) (Citr	sp|P25516|ACON1_ECOLI	98 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189485 PE=4 SV=1	tr|Q55GD7|Q55GD7_DICDI	16 kDa		5
Penicillin-binding protein 6 precursor (	sp|P08506|DACC_ECOLI	44 kDa		5
3-oxoacyl-[acyl-carrier-protein] synthas	sp|P0AAI5|FABF_ECOLI	43 kDa		3
"Probable 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase OS=Dictyostelium discoideum GN=mfeB PE=2 SV=1"	sp|Q54XZ0|MFEB_DICDI	32 kDa		4
Translationally-controlled tumor protein homolog 1 OS=Dictyostelium discoideum GN=DDB_G0282853 PE=3 SV=1	sp|Q54RX6|TCTP1_DICDI	20 kDa	TRUE	3
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15 kDa		2
30S ribosomal protein S11.	sp|P0A7R9|RS11_ECOLI	14 kDa		4
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Dictyostelium discoideum GN=ndufs4 PE=3 SV=2"	sp|Q8T1V6|NDUS4_DICDI	22 kDa		4
Coproporphyrinogen-III oxidase OS=Dictyostelium discoideum GN=cpox PE=3 SV=1	sp|Q54IA7|HEM6_DICDI	38 kDa		4
Tyrosine aminotransferase OS=Dictyostelium discoideum GN=tat PE=3 SV=1	sp|Q54K95|ATTY_DICDI	46 kDa		4
Small-conductance mechanosensitive chann	sp|P0C0S1|MSCS_ECOLI	31 kDa		4
Protein dcrB precursor.	sp|P0AEE1|DCRB_ECOLI	20 kDa		3
Nascent polypeptide-associated complex subunit alpha OS=Dictyostelium discoideum GN=nacA PE=3 SV=1	sp|Q54U07|NACA_DICDI	17 kDa		4
Prolyl-tRNA synthetase (EC 6.1.1.15) (Pr	sp|P16659|SYP_ECOLI	64 kDa	TRUE	3
Oxygen-insensitive NAD(P)H nitroreductas	sp|P38489|NFNB_ECOLI	24 kDa		3
Isocitrate dehydrogenase [NADP] (EC 1.1.	sp|P08200|IDH_ECOLI	46 kDa		3
Squalene monooxygenase OS=Dictyostelium discoideum GN=sqle PE=4 SV=1	tr|Q54BK7|Q54BK7_DICDI	55 kDa		3
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	tr|Q75JS7|Q75JS7_DICDI	96 kDa		3
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		6
Eukaryotic translation initiation factor 3 subunit A OS=Dictyostelium discoideum GN=eif3a PE=1 SV=1	sp|Q86B20|EIF3A_DICDI	120 kDa	TRUE	3
Citrate synthase (EC 2.3.3.1).	sp|P0ABH7|CISY_ECOLI	48 kDa	TRUE	3
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa		3
Hypothetical UPF0063 protein yfgB.	sp|P36979|YFGB_ECOLI	43 kDa		3
"Peptidase S16, Lon protease family protein OS=Dictyostelium discoideum GN=DDB_0217928 PE=4 SV=1"	tr|Q550C8|Q550C8_DICDI	94 kDa	TRUE	3
Phosphopentomutase (EC 5.4.2.7) (Phospho	sp|P0A6K6|DEOB_ECOLI	44 kDa		4
"6-phosphogluconate dehydrogenase, decarb"	sp|P00350|6PGD_ECOLI	51 kDa		3
Topoisomerase IV subunit B (EC 5.99.1.-)	sp|P20083|PARE_ECOLI	70 kDa		4
Mitochondrial division protein fszA OS=Dictyostelium discoideum GN=fszA PE=3 SV=1	sp|Q54Z54|FTSZA_DICDI	57 kDa		3
AP-1 complex subunit mu OS=Dictyostelium discoideum GN=apm1 PE=1 SV=1	sp|Q54HS9|AP1M_DICDI	49 kDa		3
Methionyl-tRNA synthetase (EC 6.1.1.10)	sp|P00959|SYM_ECOLI	76 kDa		3
Amidase family protein OS=Dictyostelium discoideum GN=DDB_0203533 PE=4 SV=2	tr|Q8MMR8|Q8MMR8_DICDI	70 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167901 PE=3 SV=1	tr|Q86A74|Q86A74_DICDI	48 kDa		2
Acetate kinase (EC 2.7.2.1) (Acetokinase	sp|P0A6A3|ACKA_ECOLI	43 kDa		4
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	sp|Q54EW1|GLYC2_DICDI	54 kDa	TRUE	4
Exoribonuclease II (EC 3.1.13.1) (Ribonu	sp|P30850|RNB_ECOLI	72 kDa		2
Phosphoenolpyruvate carboxykinase [ATP]	sp|P22259|PPCK_ECOLI	60 kDa		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa		4
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa		2
Mannose-1-phosphate guanyltransferase alpha OS=Dictyostelium discoideum GN=gmppA PE=2 SV=1	sp|Q86HG0|GMPPA_DICDI	46 kDa		3
D-lactate dehydrogenase (EC 1.1.1.28) (R	sp|P06149|DLD_ECOLI	64 kDa		4
Chaperone protein hscA (Hsc66).	sp|P0A6Z1|HSCA_ECOLI	66 kDa		2
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204189 PE=4 SV=1	tr|Q54SN5|Q54SN5_DICDI	64 kDa		3
PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	tr|Q54GL5|Q54GL5_DICDI	84 kDa		2
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI	66 kDa		2
L-lactate dehydrogenase [cytochrome] (EC	sp|P33232|LLDD_ECOLI	43 kDa		3
Bifunctional putA protein [Includes: Pro	sp|P09546|PUTA_ECOLI	144 kDa		2
Dynamin-B OS=Dictyostelium discoideum GN=dymB PE=3 SV=1	sp|Q9U1M9|DYNB_DICDI	105 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184078 PE=4 SV=1	tr|Q54E45|Q54E45_DICDI	72 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167576 PE=4 SV=1	tr|Q8T2A6|Q8T2A6_DICDI	69 kDa		2
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0187780 PE=4 SV=1	tr|Q54JE9|Q54JE9_DICDI	205 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206474 PE=4 SV=2	tr|Q54VL9|Q54VL9_DICDI	59 kDa		2
Trehalose-6-phosphate hydrolase (EC 3.2.	sp|P28904|TREC_ECOLI	64 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	tr|Q55AN3|Q55AN3_DICDI	52 kDa		4
