Identified Proteins (993)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha1
Phospholipase B-like protein F OS=Dictyostelium discoideum GN=plbF PE=3 SV=1	sp|Q554H5|PLBLF_DICDI	65 kDa		7
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		5
Growth-differentiation transition protein 5 OS=Dictyostelium discoideum GN=gdt5 PE=3 SV=1	rsp|Q54MK0|GDT5_DICDI	?	TRUE	3
Alkyl hydroperoxide reductase subunit C	sp|P0AE08|AHPC_ECOLI	21 kDa		5
V-type proton ATPase subunit B OS=Dictyostelium discoideum GN=vatB PE=1 SV=1	sp|Q76NU1|VATB_DICDI	55 kDa		5
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Dictyostelium discoideum GN=ppp6c PE=2 SV=2	sp|Q9U9A3|PPP6_DICDI	35 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188719 PE=4 SV=1	tr|Q54GL1|Q54GL1_DICDI	175 kDa		4
Putative uncharacterized protein adprt3 OS=Dictyostelium discoideum GN=adprt3 PE=4 SV=1	tr|Q54E42|Q54E42_DICDI (+1)	284 kDa	TRUE	5
Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI	159 kDa		6
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		5
Small glutamine-rich tetratricopeptide repeat-containing protein OS=Dictyostelium discoideum GN=sgt PE=1 SV=1	sp|Q54VG4|SGT_DICDI	37 kDa	TRUE	6
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169101 PE=4 SV=1	tr|Q86K69|Q86K69_DICDI	14 kDa		4
30S ribosomal protein S10.	sp|P0A7R5|RS10_ECOLI	12 kDa		6
Proteasomal ubiquitin receptor ADRM1 homolog OS=Dictyostelium discoideum GN=adrm1-1 PE=1 SV=1	sp|Q556N5|ADRM1_DICDI	32 kDa		4
"Arginine biosynthesis bifunctional protein argJ, mitochondrial OS=Dictyostelium discoideum GN=argJ PE=3 SV=1"	sp|Q54DY1|ARGJ_DICDI	48 kDa		5
60S acidic ribosomal protein P2 OS=Dictyostelium discoideum GN=rplp2 PE=1 SV=3	sp|P22683|RLA2_DICDI	11 kDa	TRUE	7
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18 kDa		3
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0203006 PE=4 SV=1	tr|Q556M2|Q556M2_DICDI	159 kDa	TRUE	6
Farnesyl diphosphate synthase OS=Dictyostelium discoideum GN=Dfps PE=2 SV=1	tr|Q9NH03|Q9NH03_DICDI	44 kDa		7
cAMP-binding protein 1 OS=Dictyostelium discoideum GN=capA-1 PE=2 SV=2	sp|P19198|CAP1_DICDI (+1)	35 kDa		7
Putative uncharacterized protein dnajc13 OS=Dictyostelium discoideum GN=dnajc13 PE=4 SV=1	tr|Q54LZ3|Q54LZ3_DICDI	292 kDa	TRUE	5
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		6
cAMP-regulated D2 protein OS=Dictyostelium discoideum GN=D2 PE=2 SV=3	sp|P18142|D2_DICDI (+1)	60 kDa		7
Carboxymethylenebutenolidase homolog OS=Dictyostelium discoideum GN=cmbl PE=3 SV=1	sp|Q54MZ9|CMBL_DICDI	29 kDa		5
Myosin heavy chain kinase C OS=Dictyostelium discoideum GN=mhkC PE=1 SV=1	sp|Q8MY12|MHCKC_DICDI	86 kDa		5
Valyl-tRNA synthetase (EC 6.1.1.9) (Vali	sp|P07118|SYV_ECOLI	108 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190788 PE=4 SV=1	tr|Q55CF6|Q55CF6_DICDI	58 kDa	TRUE	5
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100 kDa		4
Peptidase M16 family protein OS=Dictyostelium discoideum GN=pitrm1 PE=3 SV=2	tr|Q8MP58|Q8MP58_DICDI	121 kDa		5
Succinyl-CoA synthetase beta chain (EC 6	sp|P0A836|SUCC_ECOLI	41 kDa		6
Porphobilinogen deaminase OS=Dictyostelium discoideum GN=hemC PE=3 SV=1	sp|Q54P93|HEM3_DICDI	36 kDa		7
Serine/threonine-protein phosphatase 2A catalytic subunit A OS=Dictyostelium discoideum GN=pho2A PE=1 SV=1	sp|Q9XZE5|PP2AA_DICDI	35 kDa		6
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	sp|Q54EW1|GLYC2_DICDI	54 kDa		5
Aminotransferase class-III OS=Dictyostelium discoideum GN=DDB_G0290721 PE=3 SV=1	tr|Q1ZXC3|Q1ZXC3_DICDI	55 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218308 PE=4 SV=1	tr|Q54TY9|Q54TY9_DICDI	41 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203213 PE=4 SV=1	tr|Q555E5|Q555E5_DICDI	55 kDa		5
Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI	51 kDa		5
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281151 PE=4 SV=1	tr|Q54UD1|Q54UD1_DICDI	87 kDa		6
Peroxisomal targeting signal 2 receptor OS=Dictyostelium discoideum GN=pex7 PE=3 SV=1	sp|Q54WA3|PEX7_DICDI	37 kDa		4
Acyl-CoA-binding protein OS=Dictyostelium discoideum GN=acbA PE=1 SV=1	sp|Q5FXM5|ACBP_DICDI	9 kDa		6
Dihydropyrimidinase OS=Dictyostelium discoideum GN=pyd2 PE=1 SV=1	sp|Q55DL0|DPYS_DICDI	56 kDa		5
40S ribosomal protein S28 OS=Dictyostelium discoideum GN=rps28 PE=3 SV=1	sp|Q54MZ5|RS28_DICDI	8 kDa		7
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15 kDa		6
"Peptidyl-prolyl cis-trans isomerase D, mitochondrial OS=Dictyostelium discoideum GN=cypD PE=1 SV=1"	sp|Q9UA41|PPID_DICDI	19 kDa		5
40S ribosomal protein S29 OS=Dictyostelium discoideum GN=rps29 PE=3 SV=1	sp|Q76P36|RS29_DICDI	7 kDa		3
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22 kDa		6
Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI	135 kDa		4
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219436 PE=1 SV=1	tr|Q54HJ0|Q54HJ0_DICDI	15 kDa	TRUE	23
Cathepsin Z OS=Dictyostelium discoideum GN=ctsZ PE=1 SV=1	tr|Q54R55|Q54R55_DICDI	33 kDa		4
Outer membrane protein X precursor.	sp|P0A917|OMPX_ECOLI	19 kDa		6
Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI	15 kDa		5
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Dictyostelium discoideum GN=ost1 PE=2 SV=1	sp|Q54C27|OST1_DICDI	52 kDa		4
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0201846 PE=1 SV=1	tr|Q55D63|Q55D63_DICDI	43 kDa		3
Uncharacterized 4-hydroxyphenylpyruvate dioxygenase-like protein OS=Dictyostelium discoideum GN=hpdl-1 PE=3 SV=1	sp|Q557J8|HPDL_DICDI	57 kDa		6
Polyphosphate kinase OS=Dictyostelium discoideum GN=ppkA PE=1 SV=1	sp|Q54BM7|PPK_DICDI	118 kDa	TRUE	5
40S ribosomal protein S6 OS=Dictyostelium discoideum GN=rps6 PE=1 SV=1	sp|Q54UU3|RS6_DICDI	26 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217155 PE=4 SV=1	tr|Q557I5|Q557I5_DICDI	32 kDa		3
"2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1"	sp|Q54JE4|ODO1_DICDI	114 kDa		3
Probable 6-phosphogluconolactonase OS=Dictyostelium discoideum GN=pgl PE=3 SV=1	sp|Q54CJ3|6PGL_DICDI	27 kDa		5
Beta-xylosidase-like protein OS=Dictyostelium discoideum GN=DDB_0187875 PE=4 SV=1	tr|Q54J53|Q54J53_DICDI	56 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186893 PE=1 SV=1	tr|Q54M12|Q54M12_DICDI	122 kDa		6
Contact site B protein C OS=Dictyostelium discoideum GN=csbC PE=3 SV=1	sp|Q558X5|CSBC_DICDI	12 kDa		6
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0295683 PE=4 SV=1	tr|B0G198|B0G198_DICDI	187 kDa	TRUE	5
Calmodulin-like protein OS=Dictyostelium discoideum GN=calB PE=2 SV=1	sp|O00897|CALML_DICDI	17 kDa		3
NADH-quinone oxidoreductase chain C/D (E	sp|P33599|NUOCD_ECOLI	69 kDa	TRUE	6
FK506-binding protein 4 OS=Dictyostelium discoideum GN=fkbp4 PE=1 SV=1	sp|Q54NB6|FKBP4_DICDI	40 kDa		4
Gamma-glutamyl hydrolase A OS=Dictyostelium discoideum GN=gghA PE=3 SV=1	sp|Q54LN4|GGHA_DICDI	36 kDa		4
ATP-dependent protease hslV (EC 3.4.25.-	sp|P0A7B8|HSLV_ECOLI	19 kDa		3
NADPH oxidoreductase A OS=Dictyostelium discoideum GN=redA PE=2 SV=1	sp|Q54B10|REDA_DICDI	71 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187774 PE=4 SV=1	tr|Q54JF5|Q54JF5_DICDI	15 kDa		5
Proliferation-associated protein A OS=Dictyostelium discoideum GN=prlA PE=2 SV=1	sp|Q1ZXG4|PRLA_DICDI	42 kDa		3
Dihydrolipoyllysine-residue succinyltran	sp|P0AFG6|ODO2_ECOLI	44 kDa	TRUE	6
Oxysterol-binding protein 8 OS=Dictyostelium discoideum GN=osbH PE=1 SV=1	sp|Q54QP6|OSB8_DICDI	46 kDa		5
Putative uncharacterized protein gaa OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	tr|Q55D50|Q55D50_DICDI	96 kDa		5
Eukaryotic translation initiation factor 3 subunit C OS=Dictyostelium discoideum GN=eif3c PE=3 SV=1	sp|Q54X97|EIF3C_DICDI	107 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205008 PE=4 SV=1	tr|Q54RW1|Q54RW1_DICDI	48 kDa		2
"Tryptophan 2,3-dioxygenase OS=Dictyostelium discoideum GN=tdo PE=1 SV=1"	sp|Q55DB4|T23O_DICDI	47 kDa		3
Nuclear transport factor 2 OS=Dictyostelium discoideum GN=nutf2 PE=1 SV=1	sp|Q86HW7|NTF2_DICDI	14 kDa		3
Phospholipase D OS=Dictyostelium discoideum GN=DDB_0190786 PE=4 SV=1	tr|Q55CF8|Q55CF8_DICDI	48 kDa		4
Eukaryotic translation initiation factor 3 subunit D OS=Dictyostelium discoideum GN=eif3d PE=3 SV=1	sp|Q554U9|EIF3D_DICDI	60 kDa	TRUE	5
Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1	sp|Q54G05|LRRX1_DICDI	175 kDa		2
Autophagy-related protein 7 OS=Dictyostelium discoideum GN=atg7 PE=3 SV=1	sp|Q86CR9|ATG7_DICDI	80 kDa		3
"Probable 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase OS=Dictyostelium discoideum GN=mfeB PE=2 SV=1"	sp|Q54XZ0|MFEB_DICDI	32 kDa		6
DnaJ homolog subfamily C member 7 homolog OS=Dictyostelium discoideum GN=dnajc7 PE=1 SV=1	sp|Q54IP0|DNJC7_DICDI	60 kDa	TRUE	6
Mitogen-activated protein kinase organizer 1 homolog OS=Dictyostelium discoideum GN=morg1 PE=3 SV=1	sp|Q54H44|MORG1_DICDI	36 kDa		5
Probable short/branched chain specific acyl-CoA dehydrogenase OS=Dictyostelium discoideum GN=acadsb PE=3 SV=1	sp|Q54RR5|ACDSB_DICDI	45 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272476 PE=4 SV=1	tr|Q1ZXN5|Q1ZXN5_DICDI	15 kDa		5
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191676 PE=4 SV=1	tr|Q54CJ9|Q54CJ9_DICDI	13 kDa		5
Alcohol dehydrogenase class-3 OS=Dictyostelium discoideum GN=adh5 PE=3 SV=1	sp|Q54TC2|ADHX_DICDI	41 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219276 PE=4 SV=1	tr|Q54JS9|Q54JS9_DICDI	38 kDa		5
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa		6
Probable urocanate hydratase OS=Dictyostelium discoideum GN=uroc1 PE=3 SV=2	sp|Q86AX3|HUTU_DICDI	75 kDa		5
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Dictyostelium discoideum GN=bpnt1 PE=3 SV=1"	sp|Q869K3|BPNT1_DICDI	34 kDa	TRUE	4
50S ribosomal protein L18.	sp|P0C018|RL18_ECOLI	13 kDa		5
"Putative transferase caf17 homolog, mitochondrial OS=Dictyostelium discoideum GN=caf17 PE=3 SV=1"	sp|Q54NS1|CAF17_DICDI	46 kDa		4
Beta-hexosaminidase subunit A1 OS=Dictyostelium discoideum GN=hexa1 PE=1 SV=1	sp|P13723|HEXA1_DICDI	60 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185556 PE=4 SV=1	tr|Q54QX8|Q54QX8_DICDI	16 kDa		4
Aldose 1-epimerase family protein OS=Dictyostelium discoideum GN=DDB_0218007 PE=4 SV=1	tr|Q54ZC6|Q54ZC6_DICDI	38 kDa		4
Myotrophin homolog OS=Dictyostelium discoideum GN=mtpn PE=3 SV=1	sp|Q55FM5|MTPN_DICDI	13 kDa		5
"Probable glycine cleavage system H protein 1, mitochondrial OS=Dictyostelium discoideum GN=gcvH1 PE=3 SV=1"	sp|Q54JV8|GCSH1_DICDI	17 kDa		4
60S ribosomal protein L36 OS=Dictyostelium discoideum GN=rpl36 PE=3 SV=1	sp|Q55AQ9|RL36_DICDI	12 kDa		5
50S ribosomal protein L25.	sp|P68919|RL25_ECOLI	11 kDa		3
50S ribosomal protein L16.	sp|P0ADY7|RL16_ECOLI	15 kDa		4
40S ribosomal protein S21 OS=Dictyostelium discoideum GN=rps21 PE=3 SV=1	sp|Q54BN4|RS21_DICDI	9 kDa		6
Cullin-5 OS=Dictyostelium discoideum GN=culE PE=3 SV=1	sp|Q54XF7|CUL5_DICDI	87 kDa		5
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=DDB_0167152 PE=4 SV=1	tr|Q86IE2|Q86IE2_DICDI	127 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206299 PE=4 SV=1	tr|Q54W99|Q54W99_DICDI	70 kDa		4
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		4
FK506-binding protein 5 OS=Dictyostelium discoideum GN=fkbp5 PE=3 SV=1	sp|Q54G21|FKBP5_DICDI	182 kDa		5
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa		3
60S ribosomal protein L29 OS=Dictyostelium discoideum GN=rpl29 PE=3 SV=1	sp|Q54TW3|RL29_DICDI	10 kDa		3
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184083 PE=4 SV=1	tr|Q54E40|Q54E40_DICDI	37 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0271430 PE=4 SV=2	tr|Q55B61|Q55B61_DICDI	82 kDa	TRUE	4
GDP-L-fucose synthetase OS=Dictyostelium discoideum GN=ger PE=3 SV=1	sp|Q55C77|FCL_DICDI	36 kDa		5
Calcium up-regulated protein G OS=Dictyostelium discoideum GN=cupG PE=2 SV=1	sp|Q7Z1Z9|CUPG_DICDI	85 kDa	TRUE	11
PTS system mannitol-specific EIICBA comp	sp|P00550|PTM3C_ECOLI	68 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167483 PE=4 SV=1	tr|Q8T2U3|Q8T2U3_DICDI	50 kDa		5
Nuclear protein localization protein 4 homolog OS=Dictyostelium discoideum GN=nploc4 PE=3 SV=1	sp|Q54GD3|NPL4_DICDI	64 kDa		3
Aldose reductase B OS=Dictyostelium discoideum GN=alrB PE=3 SV=2	sp|Q54NZ7|ALRB_DICDI	35 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205814 PE=4 SV=1	tr|Q54WP6|Q54WP6_DICDI	67 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188003 PE=4 SV=1	tr|Q54IR0|Q54IR0_DICDI	14 kDa		3
ZZ-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0276057 PE=4 SV=1	tr|Q75JM6|Q75JM6_DICDI	60 kDa		3
Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1	sp|Q54XK2|SC61A_DICDI	52 kDa		3
AP-1 complex subunit beta OS=Dictyostelium discoideum GN=ap1b1 PE=3 SV=1	sp|Q54X82|AP1B_DICDI	107 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190960 PE=4 SV=1	tr|Q55BY3|Q55BY3_DICDI	9 kDa		5
Putative uncharacterized protein sumo OS=Dictyostelium discoideum GN=SUMO PE=4 SV=1	tr|Q8N0B4|Q8N0B4_DICDI	11 kDa		2
Protein SCAR OS=Dictyostelium discoideum GN=scrA PE=1 SV=1	sp|Q54NF8|SCAR_DICDI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0284705 PE=4 SV=1	tr|Q54P88|Q54P88_DICDI	50 kDa		5
Putative uncharacterized protein vilD OS=Dictyostelium discoideum GN=vilD PE=4 SV=1	tr|Q54S11|Q54S11_DICDI	201 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185543 PE=4 SV=1	tr|Q54QZ3|Q54QZ3_DICDI	269 kDa	TRUE	4
COP9 signalosome complex subunit 8 OS=Dictyostelium discoideum GN=csn8 PE=1 SV=1	sp|Q75K24|CSN8_DICDI	23 kDa	TRUE	4
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		3
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa		5
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0168737 PE=4 SV=1	tr|Q75JW6|Q75JW6_DICDI	35 kDa		5
Beta-galactosidase (EC 3.2.1.23) (Lactas	sp|P00722|BGAL_ECOLI	116 kDa		4
ATP synthase beta chain (EC 3.6.3.14).	sp|P0ABB4|ATPB_ECOLI	50 kDa		4
Proteasome subunit beta type-1 OS=Dictyostelium discoideum GN=psmB1 PE=3 SV=1	sp|Q86A21|PSB1_DICDI	26 kDa	TRUE	3
AP-3 complex subunit beta OS=Dictyostelium discoideum GN=ap3b-1 PE=3 SV=1	sp|Q556J8|AP3B_DICDI	127 kDa		2
50S ribosomal protein L21.	sp|P0AG48|RL21_ECOLI	12 kDa		3
Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	sp|Q54UQ2|PGM2_DICDI	68 kDa		3
WASH complex subunit 7 homolog OS=Dictyostelium discoideum GN=DDB_G0283355 PE=1 SV=1	sp|Q54R74|WAHS7_DICDI	132 kDa		3
Circularly permutated Ras protein 2 OS=Dictyostelium discoideum GN=cpras2 PE=3 SV=1	sp|Q54BW4|CPAS2_DICDI	443 kDa	TRUE	3
Signal recognition particle 72 kDa protein homolog OS=Dictyostelium discoideum GN=srp72 PE=3 SV=1	sp|Q54EP7|SRP72_DICDI	76 kDa		3
"HAD superfamily hydrolase-like, type 3 OS=Dictyostelium discoideum GN=DDB_0169374 PE=4 SV=1"	tr|Q86KT5|Q86KT5_DICDI	33 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203550 PE=4 SV=1	tr|Q552L7|Q552L7_DICDI	62 kDa		5
Penicillin-binding protein 5 precursor (	sp|P0AEB2|DACA_ECOLI	44 kDa		4
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	sp|Q54JM3|ULA1_DICDI	59 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218292 PE=4 SV=1	tr|Q54U95|Q54U95_DICDI	58 kDa		4
Kynureninase OS=Dictyostelium discoideum GN=kynu PE=3 SV=1	sp|Q54Q04|KYNU_DICDI	51 kDa		5
Probable 2-ketogluconate reductase OS=Dictyostelium discoideum GN=tkrA PE=3 SV=1	sp|Q54DP1|TKRA_DICDI	37 kDa		4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0219578 PE=1 SV=1	tr|Q54FW2|Q54FW2_DICDI	32 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204886 PE=4 SV=1	tr|Q54S68|Q54S68_DICDI	155 kDa	TRUE	3
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa		4
Lysosome membrane protein 2-B OS=Dictyostelium discoideum GN=lmpB PE=1 SV=1	sp|Q9BKJ9|LMPB_DICDI	83 kDa		2
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		5
UPF0553 protein OS=Dictyostelium discoideum GN=DDB_G0288723 PE=3 SV=1	sp|Q54II8|U553_DICDI	38 kDa		5
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218778 PE=4 SV=1	tr|Q54MF0|Q54MF0_DICDI	118 kDa		4
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290535 PE=3 SV=1	tr|Q54FY2|Q54FY2_DICDI	54 kDa	TRUE	8
Tail-specific protease precursor (EC 3.4	sp|P23865|PRC_ECOLI	77 kDa		5
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa		5
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		5
Glycoprotein 130 OS=Dictyostelium discoideum GN=gp130 PE=1 SV=1	tr|Q95US4|Q95US4_DICDI	85 kDa	TRUE	4
Prespore-specific protein OS=Dictyostelium discoideum GN=3B PE=4 SV=1	tr|Q9BI24|Q9BI24_DICDI	24 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191904 PE=4 SV=1	tr|Q54BW8|Q54BW8_DICDI	12 kDa		4
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32 kDa		4
Superoxide dismutase [Cu-Zn] 5 OS=Dictyostelium discoideum GN=sodE PE=3 SV=1	sp|Q54G70|SODC5_DICDI	16 kDa		4
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169464 PE=4 SV=1	tr|Q75JL8|Q75JL8_DICDI	70 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202360 PE=4 SV=1	tr|Q55EJ0|Q55EJ0_DICDI	40 kDa		4
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0286305 PE=4 SV=1	tr|Q54LY4|Q54LY4_DICDI	37 kDa		4
Probable E3 ubiquitin-protein ligase rbrA OS=Dictyostelium discoideum GN=rbrA PE=3 SV=1	sp|Q6T486|RBRA_DICDI	61 kDa		3
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215258 PE=4 SV=1	tr|Q54UN6|Q54UN6_DICDI	10 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190536 PE=4 SV=1	tr|Q55D72|Q55D72_DICDI	96 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167279 PE=4 SV=2	tr|Q8MXM8|Q8MXM8_DICDI	11 kDa		5
Sphingosine-1-phosphate lyase OS=Dictyostelium discoideum GN=sglA PE=2 SV=1	sp|Q54RV9|SGPL_DICDI	58 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186108 PE=4 SV=1	tr|Q54PD4|Q54PD4_DICDI	13 kDa	TRUE	14
Probable acid phosphatase DDB_G0284755 OS=Dictyostelium discoideum GN=DDB_G0284755 PE=3 SV=2	sp|Q54P71|Y4755_DICDI	55 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218733 PE=4 SV=1	tr|Q54MY6|Q54MY6_DICDI	159 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190830 PE=4 SV=1	tr|Q55CB3|Q55CB3_DICDI	17 kDa		3
Cytoplasmic dynein light chain OS=Dictyostelium discoideum GN=dlcC PE=4 SV=2	tr|Q54MM6|Q54MM6_DICDI	11 kDa		5
5-hydroxyisourate hydrolase OS=Dictyostelium discoideum GN=DDB_0187098 PE=3 SV=1	tr|Q54LD6|Q54LD6_DICDI	15 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202316 PE=4 SV=1	tr|Q55EU1|Q55EU1_DICDI	46 kDa		3
Electron transfer flavoprotein subunit beta OS=Dictyostelium discoideum GN=etfb PE=3 SV=1	sp|Q54YZ4|ETFB_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217677 PE=4 SV=2	tr|Q553I0|Q553I0_DICDI	13 kDa		4
