Identified Proteins (1228)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa	TRUE	3
NAD+ transhydrogenase OS=Dictyostelium discoideum GN=DDB_G0269046 PE=4 SV=1	tr|Q55F30|Q55F30_DICDI	123 kDa	TRUE	0
"ATP synthase subunit O, mitochondrial OS=Dictyostelium discoideum GN=atp5O PE=3 SV=1"	sp|Q54RA8|ATPO_DICDI	33 kDa		9
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=gnpda1 PE=3 SV=1	sp|Q54XK9|GNPI_DICDI	31 kDa		9
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa		4
"Aminomethyltransferase, mitochondrial OS=Dictyostelium discoideum GN=gcvT PE=3 SV=1"	sp|Q54DD3|GCST_DICDI	44 kDa		13
60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI	22 kDa		4
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa	TRUE	5
Cytochrome b OS=Dictyostelium discoideum GN=cytB PE=3 SV=1	sp|Q37311|CYB_DICDI	44 kDa	TRUE	8
Probable ethanolamine kinase A OS=Dictyostelium discoideum GN=etnkA PE=3 SV=1	sp|Q869T9|EKIA_DICDI	41 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188918 PE=4 SV=1	rtr|Q54G03|Q54G03_DICDI	82 kDa	TRUE	0
Alpha amylase domain-containing protein OS=Dictyostelium discoideum GN=gtr2 PE=4 SV=1	tr|Q75JH8|Q75JH8_DICDI	275 kDa	TRUE	0
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60 kDa	TRUE	5
"Tryptophan 2,3-dioxygenase OS=Dictyostelium discoideum GN=tdo PE=1 SV=1"	sp|Q55DB4|T23O_DICDI	47 kDa		2
FACT complex subunit SPT16 OS=Dictyostelium discoideum GN=spt16 PE=3 SV=1	sp|Q54S43|SPT16_DICDI	121 kDa	TRUE	5
Kynureninase OS=Dictyostelium discoideum GN=kynu PE=3 SV=1	sp|Q54Q04|KYNU_DICDI	51 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204089 PE=4 SV=1	tr|Q54U83|Q54U83_DICDI	43 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186893 PE=1 SV=1	tr|Q54M12|Q54M12_DICDI	122 kDa		6
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184078 PE=4 SV=1	tr|Q54E45|Q54E45_DICDI	72 kDa		7
DJ-1/ThiJ/PfpI family protein OS=Dictyostelium discoideum GN=PFP1 PE=4 SV=1	tr|Q869N4|Q869N4_DICDI	21 kDa	TRUE	6
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa	TRUE	0
Aldose reductase B OS=Dictyostelium discoideum GN=alrB PE=3 SV=2	sp|Q54NZ7|ALRB_DICDI	35 kDa	TRUE	8
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=etfa PE=3 SV=1"	sp|Q54FD7|ETFA_DICDI	38 kDa		4
Aldehyde dehydrogenase family 3 comG OS=Dictyostelium discoideum GN=comG PE=3 SV=1	sp|Q54DG1|ALDH3_DICDI	53 kDa		6
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184083 PE=4 SV=1	tr|Q54E40|Q54E40_DICDI	37 kDa		6
Cysteine proteinase 7 OS=Dictyostelium discoideum GN=cprG PE=1 SV=1	sp|Q94504|CYSP7_DICDI	47 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189379 PE=4 SV=1	tr|Q55GP7|Q55GP7_DICDI	67 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203201 PE=4 SV=1	tr|Q555B4|Q555B4_DICDI	189 kDa	TRUE	0
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa		0
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168194 PE=4 SV=1	tr|Q557I4|Q557I4_DICDI	116 kDa		7
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		0
Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1	sp|Q54XK2|SC61A_DICDI	52 kDa		3
Probable imidazolonepropionase OS=Dictyostelium discoideum GN=amdhd1 PE=3 SV=1	sp|Q55CY3|HUTI_DICDI	47 kDa		7
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa		9
UPF0160 protein OS=Dictyostelium discoideum GN=DDB_G0267768 PE=3 SV=1	sp|Q55G91|U160_DICDI	38 kDa		4
"3-hydroxybutyryl-CoA dehydratase-like protein, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0271866 PE=3 SV=1"	sp|Q869N6|CRTL_DICDI	33 kDa	TRUE	11
Farnesyl diphosphate synthase OS=Dictyostelium discoideum GN=Dfps PE=2 SV=1	tr|Q9NH03|Q9NH03_DICDI	44 kDa		12
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		0
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		6
Probable 6-phosphogluconolactonase OS=Dictyostelium discoideum GN=pgl PE=3 SV=1	sp|Q54CJ3|6PGL_DICDI	27 kDa		7
40S ribosomal protein S17 OS=Dictyostelium discoideum GN=rps17 PE=3 SV=2	sp|P42520|RS17_DICDI	16 kDa		0
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		6
Putative uncharacterized protein adprt3 OS=Dictyostelium discoideum GN=adprt3 PE=4 SV=1	rtr|Q54E42|Q54E42_DICDI (+1)	284 kDa	TRUE	0
V-type proton ATPase subunit H OS=Dictyostelium discoideum GN=vatH PE=1 SV=1	sp|Q8MML6|VATH_DICDI	51 kDa		0
Talin-A OS=Dictyostelium discoideum GN=talA PE=1 SV=3	sp|P54633|TALA_DICDI	268 kDa	TRUE	0
Probable serine/threonine-protein kinase kinX OS=Dictyostelium discoideum GN=kinX PE=3 SV=2	sp|Q23915|KINX_DICDI	127 kDa		0
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22 kDa		0
Coiled-coil domain-containing protein 22 homolog OS=Dictyostelium discoideum GN=DDB_G0285813 PE=3 SV=1	sp|Q54MP2|CCD22_DICDI	74 kDa		0
NADPH oxidoreductase A OS=Dictyostelium discoideum GN=redA PE=2 SV=1	sp|Q54B10|REDA_DICDI	71 kDa		7
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0203006 PE=4 SV=1	tr|Q556M2|Q556M2_DICDI	159 kDa	TRUE	8
Mitochondrial import inner membrane translocase subunit tim50 OS=Dictyostelium discoideum GN=timm50 PE=3 SV=1	sp|Q55C70|TIM50_DICDI	44 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	tr|Q54N71|Q54N71_DICDI	53 kDa		5
Eukaryotic translation initiation factor 3 subunit D OS=Dictyostelium discoideum GN=eif3d PE=3 SV=1	sp|Q554U9|EIF3D_DICDI	60 kDa	TRUE	0
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96 kDa	TRUE	0
Integrin beta-like protein C OS=Dictyostelium discoideum GN=sibC PE=1 SV=1	sp|Q54JA5|SIBC_DICDI	208 kDa	TRUE	10
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		0
DNA-directed RNA polymerase II subunit rpb1 OS=Dictyostelium discoideum GN=polr2a PE=2 SV=2	sp|P35084|RPB1_DICDI	193 kDa	TRUE	4
"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=acad8 PE=3 SV=1"	sp|Q54IM8|ACAD8_DICDI	46 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204282 PE=4 SV=1	tr|Q54T96|Q54T96_DICDI	70 kDa		2
Random slug protein 5 OS=Dictyostelium discoideum GN=rsc5 PE=2 SV=1	sp|Q55CU8|RSC5_DICDI	42 kDa		5
Aminotransferase class-III OS=Dictyostelium discoideum GN=DDB_G0290721 PE=3 SV=1	tr|Q1ZXC3|Q1ZXC3_DICDI	55 kDa		11
Phospholipase D OS=Dictyostelium discoideum GN=DDB_0190786 PE=4 SV=1	tr|Q55CF8|Q55CF8_DICDI	48 kDa		10
V-type proton ATPase subunit E OS=Dictyostelium discoideum GN=vatE PE=1 SV=1	sp|O00780|VATE_DICDI	27 kDa		0
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67 kDa		0
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Dictyostelium discoideum GN=ppp6c PE=2 SV=2	sp|Q9U9A3|PPP6_DICDI	35 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186139 PE=4 SV=1	tr|Q54PA2|Q54PA2_DICDI	26 kDa	TRUE	0
Guanine nucleotide-binding protein alpha-12 subunit OS=Dictyostelium discoideum GN=gpaL PE=3 SV=1	sp|Q54VG1|GPA12_DICDI	41 kDa		7
Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI	135 kDa		0
Mitochondrial substrate carrier family protein Q OS=Dictyostelium discoideum GN=mcfQ PE=2 SV=1	sp|Q76P23|PM34_DICDI	36 kDa		0
Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1	sp|Q54G05|LRRX1_DICDI	175 kDa		0
Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI	159 kDa		2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188011 PE=3 SV=1	tr|Q54IQ3|Q54IQ3_DICDI	32 kDa		3
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa		3
Proteasome subunit beta type-4 OS=Dictyostelium discoideum GN=psmB4-1 PE=3 SV=1	sp|Q556Q0|PSB4_DICDI	29 kDa		8
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa		5
Putative phagocytic receptor 1a OS=Dictyostelium discoideum GN=phg1a PE=2 SV=1	sp|Q55FP0|PHG1A_DICDI	73 kDa		7
"Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"	sp|Q86KU2|SYVC_DICDI	123 kDa		0
Carbonic anhydrase OS=Dictyostelium discoideum GN=DDB_0203193 PE=3 SV=1	tr|Q555A3|Q555A3_DICDI	31 kDa		7
Cullin-5 OS=Dictyostelium discoideum GN=culE PE=3 SV=1	sp|Q54XF7|CUL5_DICDI	87 kDa		0
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	10
Coactosin OS=Dictyostelium discoideum GN=coaA PE=1 SV=1	sp|P34121|COAA_DICDI	16 kDa	TRUE	6
Dephospho-CoA kinase OS=Dictyostelium discoideum GN=DDB_G0285525 PE=4 SV=1	tr|Q54N39|Q54N39_DICDI	24 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41 kDa		9
Eukaryotic translation initiation factor 3 subunit F OS=Dictyostelium discoideum GN=eif3f PE=3 SV=1	sp|Q54C49|EIF3F_DICDI	32 kDa		10
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2"	sp|Q8T2J9|MCCB_DICDI	64 kDa	TRUE	4
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		2
Spermidine synthase OS=Dictyostelium discoideum GN=spsA PE=3 SV=2	sp|Q9XY92|SPEE_DICDI	32 kDa		7
DNA-directed RNA polymerase beta chain (	sp|P0A8V2|RPOB_ECOLI	151 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188399 PE=4 SV=1	tr|Q54HK5|Q54HK5_DICDI	43 kDa		11
Probable nucleosome assembly protein OS=Dictyostelium discoideum GN=nap1 PE=2 SV=1	sp|Q55ED1|NAP1_DICDI	37 kDa		10
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169073 PE=1 SV=1	tr|Q86K89|Q86K89_DICDI	27 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	tr|Q55AN3|Q55AN3_DICDI	52 kDa		0
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa	TRUE	2
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa		9
UTP--glucose-1-phosphate uridylyltransferase 2 OS=Dictyostelium discoideum GN=ugpB PE=2 SV=1	sp|Q54YZ0|UGPA2_DICDI	56 kDa	TRUE	2
26S proteasome non-ATPase regulatory subunit 10 OS=Dictyostelium discoideum GN=psmD10 PE=2 SV=1	sp|Q54HW1|PSD10_DICDI	25 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203550 PE=4 SV=1	tr|Q552L7|Q552L7_DICDI	62 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268600 PE=1 SV=2	tr|Q55F82|Q55F82_DICDI	19 kDa		6
Proteasome subunit beta type-3 OS=Dictyostelium discoideum GN=psmB3 PE=3 SV=1	sp|Q55D66|PSB3_DICDI	23 kDa		9
Extracellular superoxide dismutase [Cu-Zn] 3 OS=Dictyostelium discoideum GN=sodC PE=2 SV=1	sp|Q54RQ1|SODC3_DICDI	44 kDa		9
"Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1"	tr|Q54JV0|Q54JV0_DICDI	183 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188987 PE=4 SV=1	tr|Q54FT2|Q54FT2_DICDI	69 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202037 PE=4 SV=1	tr|Q55BQ4|Q55BQ4_DICDI	62 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	tr|Q55FM2|Q55FM2_DICDI	72 kDa		3
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsC PE=3 SV=1"	sp|Q55AI5|SUCB1_DICDI	48 kDa		0
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0284853 PE=4 SV=2	tr|Q54P29|Q54P29_DICDI	469 kDa	TRUE	0
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	sp|Q54YD8|COPB2_DICDI	113 kDa		3
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa	TRUE	0
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_0217656 PE=3 SV=1	tr|Q553T4|Q553T4_DICDI	343 kDa	TRUE	0
Myosin IC heavy chain OS=Dictyostelium discoideum GN=myoC PE=4 SV=2	sp|P42522|MYOC_DICDI	133 kDa	TRUE	2
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190536 PE=4 SV=1	tr|Q55D72|Q55D72_DICDI	96 kDa		0
40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI	14 kDa		0
T-complex protein 1 subunit gamma OS=Dictyostelium discoideum GN=cct3 PE=1 SV=1	sp|Q54TH8|TCPG_DICDI	59 kDa		0
Ras-like protein rasS OS=Dictyostelium discoideum GN=rasS PE=2 SV=1	sp|P32254|RASS_DICDI	22 kDa		2
"Aspartyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=maspS PE=3 SV=1"	sp|Q55C99|SYDM_DICDI	79 kDa		0
Putative uncharacterized protein empD OS=Dictyostelium discoideum GN=empD PE=2 SV=1	tr|Q769F6|Q769F6_DICDI	25 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191671 PE=4 SV=1	tr|Q54CK4|Q54CK4_DICDI	39 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205814 PE=4 SV=1	tr|Q54WP6|Q54WP6_DICDI	67 kDa	TRUE	8
Probable acid phosphatase DDB_G0284755 OS=Dictyostelium discoideum GN=DDB_G0284755 PE=3 SV=2	sp|Q54P71|Y4755_DICDI	55 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191799 PE=4 SV=1	tr|Q54C73|Q54C73_DICDI	26 kDa		6
Probable elongator complex protein 2 OS=Dictyostelium discoideum GN=elp2 PE=3 SV=1	sp|Q86H45|ELP2_DICDI	101 kDa		5
Protein NIF3 homolog OS=Dictyostelium discoideum GN=nif3 PE=2 SV=1	sp|Q55E83|NIF3_DICDI	39 kDa		7
Methenyl tetrahydrofolate cyclohydrolase / NADP-dependent methylene H4F dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283121 PE=3 SV=1	tr|Q54RI8|Q54RI8_DICDI	32 kDa		0
V-type proton ATPase subunit d OS=Dictyostelium discoideum GN=vatD-1 PE=1 SV=2	sp|P54641|VA0D_DICDI	41 kDa		10
Thiamine pyrophosphate-binding enzyme family protein OS=Dictyostelium discoideum GN=ilvB PE=3 SV=1	tr|B0G117|B0G117_DICDI	71 kDa		9
Citrate synthase OS=Dictyostelium discoideum GN=gltA PE=3 SV=1	sp|Q86AV6|CISYC_DICDI	58 kDa		6
ABC transporter G family member 9 OS=Dictyostelium discoideum GN=abcG9 PE=3 SV=1	sp|Q8T683|ABCG9_DICDI	164 kDa	TRUE	0
Ras-related protein Rab-8A OS=Dictyostelium discoideum GN=rab8A PE=3 SV=1	sp|P20790|RAB8A_DICDI	23 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219514 PE=4 SV=1	tr|Q54GN0|Q54GN0_DICDI	151 kDa	TRUE	0
Membrane bound O-acyl transferase family protein OS=Dictyostelium discoideum GN=DDB_0205522 PE=4 SV=1	tr|Q54XX2|Q54XX2_DICDI	54 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169005 PE=3 SV=1	tr|Q86L18|Q86L18_DICDI	60 kDa	TRUE	2
Peptidase M16 family protein OS=Dictyostelium discoideum GN=pitrm1 PE=3 SV=2	tr|Q8MP58|Q8MP58_DICDI	121 kDa	TRUE	7
UPF0553 protein OS=Dictyostelium discoideum GN=DDB_G0288723 PE=3 SV=1	sp|Q54II8|U553_DICDI	38 kDa	TRUE	4
Eukaryotic translation initiation factor 5B OS=Dictyostelium discoideum GN=eif5b PE=3 SV=1	sp|Q54XP6|IF2P_DICDI	116 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188436 PE=3 SV=1	tr|Q54HG8|Q54HG8_DICDI	71 kDa	TRUE	0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=pksB PE=2 SV=1	tr|O15744|O15744_DICDI	29 kDa		7
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa		6
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0282095 PE=4 SV=1	tr|C7G020|C7G020_DICDI	103 kDa		7
Glyoxylase B2 OS=Dictyostelium discoideum GN=gloB2 PE=3 SV=1	sp|Q54EJ5|GLOB2_DICDI	33 kDa		2
Maleylacetoacetate isomerase OS=Dictyostelium discoideum GN=mai PE=3 SV=1	sp|Q54YN2|MAAI_DICDI	25 kDa		0
Eukaryotic translation initiation factor 3 subunit L OS=Dictyostelium discoideum GN=eif3l PE=3 SV=1	sp|Q86LA2|EIF3L_DICDI	71 kDa		7
Proteasome subunit beta type-7 OS=Dictyostelium discoideum GN=psmB7 PE=3 SV=1	sp|Q54QR2|PSB7_DICDI	29 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185787 PE=4 SV=1	tr|Q54QA4|Q54QA4_DICDI	84 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI	26 kDa		2
Cofilin-1 OS=Dictyostelium discoideum GN=cofA PE=1 SV=1	sp|P54706|COF1_DICDI	15 kDa		0
Porphobilinogen deaminase OS=Dictyostelium discoideum GN=hemC PE=3 SV=1	sp|Q54P93|HEM3_DICDI	36 kDa		8
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		0
Phospholipase B-like protein E OS=Dictyostelium discoideum GN=plbE PE=3 SV=1	sp|Q54ZI6|PLBLE_DICDI	64 kDa	TRUE	12
Oxysterol-binding protein 6 OS=Dictyostelium discoideum GN=osbF PE=3 SV=1	sp|Q86HV4|OSB6_DICDI	50 kDa		3
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		3
Transmembrane emp24 domain-containing protein B OS=Dictyostelium discoideum GN=empB PE=3 SV=1	sp|Q54BN0|TMEDB_DICDI	24 kDa		10
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	sp|Q54DD0|AMPD_DICDI	91 kDa		3
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0286305 PE=4 SV=1	tr|Q54LY4|Q54LY4_DICDI	37 kDa		8
von Willebrand factor A domain-containing protein DDB_G0286969 OS=Dictyostelium discoideum GN=DDB_G0286969 PE=4 SV=1	sp|C7G046|Y6969_DICDI	228 kDa	TRUE	0
Putative uncharacterized protein mipA OS=Dictyostelium discoideum GN=mipA PE=4 SV=1	tr|Q54CK5|Q54CK5_DICDI	157 kDa		4
Myosin IB heavy chain OS=Dictyostelium discoideum GN=myoB PE=1 SV=2	sp|P34092|MYOB_DICDI	124 kDa	TRUE	0
Putative uncharacterized protein dlrA OS=Dictyostelium discoideum GN=dlrA PE=4 SV=1	tr|Q54FR1|Q54FR1_DICDI	90 kDa		6
Nucleoporin 133 OS=Dictyostelium discoideum GN=nup133 PE=4 SV=1	tr|Q54KA3|Q54KA3_DICDI	138 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187993 PE=3 SV=1	tr|Q54IS1|Q54IS1_DICDI	34 kDa		7
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 OS=Dictyostelium discoideum GN=stt3 PE=3 SV=1	sp|Q54NM9|STT3_DICDI	81 kDa	TRUE	2
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_G0293770 PE=3 SV=1	tr|B0G199|B0G199_DICDI (+1)	116 kDa		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290535 PE=3 SV=1	tr|Q54FY2|Q54FY2_DICDI	54 kDa	TRUE	4
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	tr|O96455|O96455_DICDI (+1)	46 kDa		0
Hydroxyacylglutathione hydrolase OS=Dictyostelium discoideum GN=hagh PE=3 SV=1	sp|Q54MR1|GLO2_DICDI	30 kDa	TRUE	0
Prohibitin-2 OS=Dictyostelium discoideum GN=phbB PE=3 SV=1	sp|Q54Q31|PHB2_DICDI	33 kDa		0
"Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168392 PE=4 SV=1"	tr|Q86AE2|Q86AE2_DICDI	66 kDa	TRUE	6
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	sp|Q54T59|SEC23_DICDI	85 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0219578 PE=1 SV=1	tr|Q54FW2|Q54FW2_DICDI	32 kDa	TRUE	6
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa		0
Aldo-keto reductase OS=Dictyostelium discoideum GN=alrE PE=4 SV=1	tr|Q54NR1|Q54NR1_DICDI	33 kDa		6
Probable lanosterol 14-alpha demethylase OS=Dictyostelium discoideum GN=cyp51 PE=3 SV=1	sp|Q1ZXH9|CP51_DICDI	53 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190384 PE=3 SV=1	tr|Q55DN6|Q55DN6_DICDI	43 kDa	TRUE	4
40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI	18 kDa		0
Aldose 1-epimerase family protein OS=Dictyostelium discoideum GN=DDB_0218007 PE=4 SV=1	tr|Q54ZC6|Q54ZC6_DICDI	38 kDa		0
Signal recognition particle 72 kDa protein homolog OS=Dictyostelium discoideum GN=srp72 PE=3 SV=1	sp|Q54EP7|SRP72_DICDI	76 kDa		2
