Identified Proteins (808)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasB
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa		3
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Dictyostelium discoideum GN=uppA PE=2 SV=2	sp|P08800|UGPA1_DICDI	58 kDa		4
3-oxoacyl-[acyl-carrier-protein] reducta	sp|P0AEK2|FABG_ECOLI	26 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204670 PE=4 SV=1	tr|Q54TF2|Q54TF2_DICDI	89 kDa		3
Threonine dehydratase biosynthetic (EC 4	sp|P04968|THD1_ECOLI	56 kDa		4
Ribonuclease R (EC 3.1.-.-) (RNase R) (P	sp|P21499|RNR_ECOLI	92 kDa		2
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Dictyostelium discoideum GN=ndufs7 PE=3 SV=1"	sp|Q54NI6|NDUS7_DICDI	20 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204927 PE=4 SV=1	tr|Q54S30|Q54S30_DICDI	74 kDa		5
Beta-ureidopropionase OS=Dictyostelium discoideum GN=pyd3 PE=1 SV=1	sp|Q964D8|BUP1_DICDI	44 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	tr|Q75JS7|Q75JS7_DICDI	96 kDa		4
Probable ornithine decarboxylase OS=Dictyostelium discoideum GN=odc PE=3 SV=1	sp|Q54UF3|DCOR_DICDI	52 kDa		5
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88 kDa		4
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=uap56 PE=4 SV=1	tr|Q55CR6|Q55CR6_DICDI	48 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	tr|Q55FM2|Q55FM2_DICDI	72 kDa	TRUE	5
26S protease regulatory subunit 4 homolog OS=Dictyostelium discoideum GN=psmC1 PE=1 SV=1	sp|Q55BV5|PRS4_DICDI	49 kDa		4
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22 kDa		4
Ras GTPase-activating-like protein gapA OS=Dictyostelium discoideum GN=gapA PE=1 SV=1	sp|O00899|GAPA_DICDI	99 kDa	TRUE	2
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	sp|Q54T59|SEC23_DICDI	85 kDa		2
ABC transporter ATP-binding protein yjjK	sp|P0A9W3|YJJK_ECOLI	62 kDa		3
Probable thymidylate synthase thy1 OS=Dictyostelium discoideum GN=thyA PE=3 SV=2	sp|P15808|THY1_DICDI	35 kDa		2
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	sp|Q54YD8|COPB2_DICDI	113 kDa		2
Bacterial transferase hexapeptide repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218053 PE=4 SV=1	tr|Q54YS4|Q54YS4_DICDI	31 kDa		2
Serine/threonine-protein kinase pakA OS=Dictyostelium discoideum GN=pakA PE=1 SV=1	rsp|Q55D99|PAKA_DICDI	135 kDa		2
50S ribosomal protein L10 (50S ribosomal	sp|P0A7J3|RL10_ECOLI	18 kDa		2
Glycerol kinase (EC 2.7.1.30) (ATP:glyce	sp|P0A6F3|GLPK_ECOLI	56 kDa		2
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18 kDa		2
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa		2
UPF0027 protein OS=Dictyostelium discoideum GN=DDB_G0278481 PE=3 SV=1	sp|Q54Y09|U027_DICDI	56 kDa		3
RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI	43 kDa		5
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI	66 kDa		2
Hypothetical symporter ydjN.	sp|P77529|YDJN_ECOLI	49 kDa		2
RNase P protein subunit OS=Dictyostelium discoideum GN=drpp25 PE=4 SV=1	tr|Q54U04|Q54U04_DICDI	39 kDa		3
Probable GH family 25 lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274181 PE=3 SV=1	sp|Q86KC1|LYSG2_DICDI	23 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0295739 PE=4 SV=1	tr|C7G071|C7G071_DICDI	38 kDa		2
Citrate synthase (EC 2.3.3.1).	sp|P0ABH7|CISY_ECOLI	48 kDa		3
Endoplasmic reticulum transmembrane protein YET-like OS=Dictyostelium discoideum GN=DDB_G0287543 PE=3 SV=2	sp|Q54K74|YETL_DICDI	24 kDa		4
ABC transporter F family member 2 OS=Dictyostelium discoideum GN=abcF2 PE=3 SV=1	sp|Q8T6B7|ABCF2_DICDI	67 kDa		4
50S ribosomal protein L24.	sp|P60624|RL24_ECOLI	11 kDa		3
Enoyl-[acyl-carrier-protein] reductase [	sp|P0AEK4|FABI_ECOLI	28 kDa		3
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa		2
Adenylate kinase (EC 2.7.4.3) (ATP-AMP t	sp|P69441|KAD_ECOLI	24 kDa		3
Phosphoenolpyruvate carboxykinase [ATP]	sp|P22259|PPCK_ECOLI	60 kDa		3
SAP DNA-binding domain-containing protein OS=Dictyostelium discoideum GN=PNKP PE=4 SV=1	tr|Q54U78|Q54U78_DICDI	61 kDa		2
Glucans biosynthesis protein G precursor	sp|P33136|OPGG_ECOLI	58 kDa		2
Arginyl-tRNA synthetase (EC 6.1.1.19) (A	sp|P11875|SYR_ECOLI	65 kDa		2
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189206 PE=4 SV=1	tr|Q54F90|Q54F90_DICDI	96 kDa	TRUE	4
PhoH-like protein.	sp|P0A9K3|PHOL_ECOLI	41 kDa		4
Purine nucleoside phosphorylase deoD-typ	sp|P0ABP8|DEOD_ECOLI	26 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205795 PE=4 SV=1	tr|Q54WR3|Q54WR3_DICDI	155 kDa	TRUE	3
"Glycine dehydrogenase [decarboxylating], mitochondrial OS=Dictyostelium discoideum GN=gcvP PE=3 SV=1"	sp|Q54KM7|GCSP_DICDI	110 kDa		4
Putative uncharacterized protein cnxA OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	tr|Q55BA8|Q55BA8_DICDI	61 kDa		3
3-ketodihydrosphingosine reductase OS=Dictyostelium discoideum GN=ksrA-1 PE=3 SV=1	sp|Q556J2|KDSR_DICDI	36 kDa		3
FKBP-type 22 kDa peptidyl-prolyl cis-tra	sp|P0A9L3|FKBB_ECOLI	22 kDa		3
Cytochrome d ubiquinol oxidase subunit I	sp|P0ABJ9|CYDA_ECOLI	58 kDa		4
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		4
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa		4
Ran-specific GTPase-activating protein homolog OS=Dictyostelium discoideum GN=ranbp1 PE=1 SV=1	sp|Q54KD9|RANG_DICDI	22 kDa		4
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190011 PE=4 SV=1	tr|Q55ET7|Q55ET7_DICDI	44 kDa		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290537 PE=3 SV=1	tr|Q54FY1|Q54FY1_DICDI	54 kDa	TRUE	8
CTP synthase (EC 6.3.4.2) (UTP--ammonia	sp|P0A7E5|PYRG_ECOLI	60 kDa		2
Autocrine proliferation repressor protein A OS=Dictyostelium discoideum GN=aprA PE=1 SV=1	sp|Q5XM24|APRA_DICDI	55 kDa		3
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0286305 PE=4 SV=1	tr|Q54LY4|Q54LY4_DICDI	37 kDa		3
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa		3
Peptidyl-prolyl cis-trans isomerase A pr	sp|P0AFL3|PPIA_ECOLI	20 kDa		2
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=1 SV=1	sp|Q54K67|MANG_DICDI	124 kDa		2
60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI	33 kDa		2
Oxygen-insensitive NAD(P)H nitroreductas	sp|P38489|NFNB_ECOLI	24 kDa		2
SNF2-related domain-containing protein OS=Dictyostelium discoideum GN=DDB_0217572 PE=4 SV=1	tr|Q554U4|Q554U4_DICDI	160 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217219 PE=3 SV=1	tr|Q557E6|Q557E6_DICDI	39 kDa		2
Ras-related protein Rab-5A OS=Dictyostelium discoideum GN=rab5A PE=3 SV=1	sp|Q86JP3|RAB5A_DICDI	22 kDa		2
40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI	18 kDa		2
Probable polyketide synthase 37 OS=Dictyostelium discoideum GN=stlB PE=2 SV=1	rsp|Q54FI3|PKS37_DICDI	330 kDa	TRUE	2
Transmembrane and coiled-coil domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=tmco1 PE=2 SV=1	sp|Q54TU8|TMCO1_DICDI	21 kDa		3
Chain length determinant protein (Polysa	sp|P76372|WZZB_ECOLI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186283 PE=4 SV=1	tr|Q54NV9|Q54NV9_DICDI	46 kDa		3
Transmembrane emp24 domain-containing protein B OS=Dictyostelium discoideum GN=empB PE=3 SV=1	sp|Q54BN0|TMEDB_DICDI	24 kDa		3
Acetyl-coenzyme A synthetase OS=Dictyostelium discoideum GN=acsA PE=3 SV=1	sp|Q54Z60|ACSA_DICDI	76 kDa		2
Protein ais.	sp|P45565|AIS_ECOLI	22 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0271892 PE=4 SV=1	tr|Q869Z5|Q869Z5_DICDI	26 kDa		2
Dolichol-phosphate mannosyltransferase OS=Dictyostelium discoideum GN=dpm1 PE=3 SV=1	sp|Q54LP3|DPM1_DICDI	29 kDa		2
Inositol-1-monophosphatase (EC 3.1.3.25)	sp|P0ADG4|SUHB_ECOLI	29 kDa		3
"OB fold-containing protein, nucleic acid binding OS=Dictyostelium discoideum GN=DDB_G0279755 PE=4 SV=1"	tr|Q54WC8|Q54WC8_DICDI	62 kDa		2
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa		3
Glutathione S-transferase domain-containing protein DDB_G0274705 OS=Dictyostelium discoideum GN=DDB_G0274705 PE=3 SV=3	sp|Q555N6|Y4705_DICDI	30 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI	26 kDa		2
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60 kDa	TRUE	2
Cell division protein ftsY.	sp|P10121|FTSY_ECOLI	55 kDa		2
Sec1 family domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=scfd1 PE=3 SV=2	sp|Q54IJ1|SCFD1_DICDI	76 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187764 PE=4 SV=1	tr|Q54JG6|Q54JG6_DICDI	233 kDa	TRUE	2
tRNA pseudouridine synthase B (EC 5.4.99	sp|P60340|TRUB_ECOLI	35 kDa		3
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa		3
Transcription-repair coupling factor (EC	sp|P30958|MFD_ECOLI	130 kDa		2
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa		3
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa		3
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0167441 PE=4 SV=1	tr|Q869X1|Q869X1_DICDI	94 kDa	TRUE	2
Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI	135 kDa		3
Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum GN=prsA PE=1 SV=1	sp|Q54PA9|PRPSA_DICDI	34 kDa		2
Zinc finger protein ZPR1 homolog OS=Dictyostelium discoideum GN=zpr1 PE=3 SV=1	sp|Q55E13|ZPR1_DICDI	54 kDa		2
COP9 signalosome complex subunit 5 OS=Dictyostelium discoideum GN=csn5 PE=1 SV=1	sp|Q54PF3|CSN5_DICDI	38 kDa		2
"Fumarate hydratase class I, aerobic (EC"	sp|P0AC33|FUMA_ECOLI	60 kDa	TRUE	2
Exportin-1 OS=Dictyostelium discoideum GN=xpo1 PE=3 SV=2	sp|Q54EV7|XPO1_DICDI	122 kDa		2
Protein pmbA (Protein tldE).	sp|P0AFK0|PMBA_ECOLI	48 kDa		3
Transcription elongation factor greA (Tr	sp|P0A6W5|GREA_ECOLI	18 kDa		4
"Fructose-1,6-bisphosphatase class II glp"	sp|P0A9C9|GLPX_ECOLI	36 kDa		4
Protein arginine N-methyltransferase 1 OS=Dictyostelium discoideum GN=prmt1 PE=3 SV=1	sp|Q54EF2|ANM1_DICDI	39 kDa		2
"PTS-dependent dihydroxyacetone kinase, p"	sp|P37349|DHAM_ECOLI	52 kDa		2
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase OS=Dictyostelium discoideum GN=plc PE=2 SV=1"	sp|Q02158|PLC_DICDI	91 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186139 PE=4 SV=1	tr|Q54PA2|Q54PA2_DICDI	26 kDa		3
Tyrosine-tRNA ligase OS=Dictyostelium discoideum GN=tyrS PE=4 SV=1	tr|Q551A1|Q551A1_DICDI	44 kDa		3
tRNA pseudouridine synthase D (EC 5.4.99	sp|Q57261|TRUD_ECOLI	39 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184536 PE=4 SV=1	tr|Q54CQ7|Q54CQ7_DICDI	33 kDa		4
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0201846 PE=1 SV=1	tr|Q55D63|Q55D63_DICDI	43 kDa		3
"Apoptosis-inducing factor 1, mitochondrial OS=Dictyostelium discoideum GN=aif PE=2 SV=1"	sp|Q9GRX6|AIFM1_DICDI	60 kDa	TRUE	2
26S protease regulatory subunit 6B homolog OS=Dictyostelium discoideum GN=psmC4 PE=1 SV=1	sp|P34123|PRS6B_DICDI	46 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191799 PE=4 SV=1	tr|Q54C73|Q54C73_DICDI	26 kDa		2
Leucine-rich repeat protein lrrA OS=Dictyostelium discoideum GN=lrrA PE=1 SV=1	sp|Q54AX5|LRRA_DICDI	57 kDa	TRUE	2
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	sp|Q54JM3|ULA1_DICDI	59 kDa	TRUE	3
Putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0278295 OS=Dictyostelium discoideum GN=DDB_G0278295 PE=2 SV=1	sp|Q54YD2|Y8295_DICDI	15 kDa		4
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191736 PE=4 SV=1	tr|Q54CD7|Q54CD7_DICDI	35 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186144 PE=4 SV=1	rtr|Q54P97|Q54P97_DICDI	195 kDa		2
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17 kDa		2
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	2
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		2
AP-1 complex subunit mu OS=Dictyostelium discoideum GN=apm1 PE=1 SV=1	sp|Q54HS9|AP1M_DICDI	49 kDa		2
Tubulin-specific chaperone B OS=Dictyostelium discoideum GN=tbcb PE=3 SV=1	sp|Q54Z01|TBCB_DICDI	30 kDa		2
26S protease regulatory subunit 8 OS=Dictyostelium discoideum GN=psmC5 PE=1 SV=2	sp|P34124|PRS8_DICDI	45 kDa	TRUE	2
Phosphoheptose isomerase (EC 5.3.1.-) (S	sp|P63224|GMHA_ECOLI	21 kDa		2
FKBP-type peptidyl-prolyl cis-trans isom	sp|P0A9K9|SLYD_ECOLI	21 kDa		2
Mevalonate kinase OS=Dictyostelium discoideum GN=mvk PE=3 SV=1	sp|Q86AG7|KIME_DICDI	43 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183846 PE=4 SV=1	tr|Q54ES4|Q54ES4_DICDI	21 kDa		2
Hydrogenase-4 component F (EC 1.-.-.-).	rsp|P77437|HYFF_ECOLI	57 kDa		2
"ATP synthase subunit gamma, mitochondrial OS=Dictyostelium discoideum GN=atp5C1 PE=1 SV=1"	sp|Q54DF1|ATPG_DICDI	34 kDa		2
Anaerobic ribonucleoside-triphosphate re	sp|P28903|NRDD_ECOLI	80 kDa		2
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa		2
Sulfate adenylyltransferase subunit 2 (E	sp|P21156|CYSD_ECOLI	35 kDa		2
Probable splicing factor 3B subunit 3 OS=Dictyostelium discoideum GN=sf3b3 PE=3 SV=1	sp|Q54SA7|SF3B3_DICDI	140 kDa		2
Proliferation-associated protein A OS=Dictyostelium discoideum GN=prlA PE=2 SV=1	sp|Q1ZXG4|PRLA_DICDI	42 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184511 PE=4 SV=1	tr|Q54CW1|Q54CW1_DICDI	19 kDa		2
Cullin-3 OS=Dictyostelium discoideum GN=culC PE=3 SV=1	sp|Q54NZ5|CUL3_DICDI	89 kDa		2
Probable O-sialoglycoprotein endopeptidase OS=Dictyostelium discoideum GN=osgep PE=3 SV=1	sp|Q55GU1|OSGEP_DICDI	37 kDa		2
Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI	51 kDa		2
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	sp|Q9NKW1|MFEA_DICDI	46 kDa		2
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		3
"Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1"	sp|Q86AS6|SYHC_DICDI	54 kDa		3
Cysteine proteinase 4 OS=Dictyostelium discoideum GN=cprD PE=2 SV=2	sp|P54639|CYSP4_DICDI	46 kDa	TRUE	2
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa		2
Ecotin precursor.	sp|P23827|ECOT_ECOLI	18 kDa		3
Transcriptional regulatory protein phoP.	sp|P23836|PHOP_ECOLI	26 kDa		3
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa		2
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	sp|Q23892|GLUA_DICDI	89 kDa		3
Putative uncharacterized protein rfa1 OS=Dictyostelium discoideum GN=rfa1 PE=4 SV=1	tr|Q54HE3|Q54HE3_DICDI	76 kDa		2
Glutamine-fructose-6-phosphate transaminase OS=Dictyostelium discoideum GN=DDB_0187034 PE=4 SV=1	tr|Q54LK1|Q54LK1_DICDI	71 kDa		2
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa	TRUE	3
UPF0082 protein yebC.	sp|P0A8A0|YEBC_ECOLI	26 kDa		3
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa		2
tRNA pseudouridylate synthase OS=Dictyostelium discoideum GN=pus1 PE=4 SV=1	tr|Q54FA0|Q54FA0_DICDI	68 kDa		2
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		2
Lipoprotein yfgL precursor.	sp|P77774|YFGL_ECOLI	42 kDa		2
Serine palmitoyltransferase 1 OS=Dictyostelium discoideum GN=sptA PE=3 SV=1	sp|Q55FL5|SPTC1_DICDI	54 kDa		3
Uridine phosphorylase (EC 2.4.2.3) (UrdP	sp|P12758|UDP_ECOLI	27 kDa		2
Proteasome subunit beta type-2 OS=Dictyostelium discoideum GN=psmB2 PE=3 SV=1	sp|Q55DY7|PSB2_DICDI	22 kDa		3
"2,3-bisphosphoglycerate-dependent phosph"	sp|P62707|GPMA_ECOLI	28 kDa	TRUE	3
Extracellular superoxide dismutase [Cu-Zn] 3 OS=Dictyostelium discoideum GN=sodC PE=2 SV=1	sp|Q54RQ1|SODC3_DICDI	44 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa		2
Fatty acyl-CoA synthetase B OS=Dictyostelium discoideum GN=fcsB PE=2 SV=1	sp|Q1ZXQ4|FCSB_DICDI	76 kDa		2
Translocase of outer mitochondrial membrane OS=Dictyostelium discoideum GN=tom40 PE=4 SV=1	tr|Q76P15|Q76P15_DICDI	36 kDa		2
"Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1"	sp|Q54JD9|SCOT_DICDI	55 kDa		2
Endothelial monocyte-activating polypeptide II pro-EMAP II family protein OS=Dictyostelium discoideum GN=DDB_G0291926 PE=4 SV=1	tr|Q54DX3|Q54DX3_DICDI	41 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188987 PE=4 SV=1	tr|Q54FT2|Q54FT2_DICDI	69 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		2
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa		2
Peroxidase/catalase HPI (EC 1.11.1.6) (C	sp|P13029|CATA_ECOLI	80 kDa		2
Peptidase C53 family protein OS=Dictyostelium discoideum GN=DDB_G0275693 PE=2 SV=1	tr|Q95UC5|Q95UC5_DICDI	77 kDa		2
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		2
Uncharacterized protein DDB_G0288155 OS=Dictyostelium discoideum GN=DDB_G0288155 PE=1 SV=1	sp|Q54JC2|Y2881_DICDI	27 kDa		2
Hypothetical UPF0064 protein yccW.	sp|P75876|YCCW_ECOLI	44 kDa		2
Hypothetical GTP-binding protein yhbZ.	sp|P42641|YHBZ_ECOLI	43 kDa		2
COP9 signalosome complex subunit 4 OS=Dictyostelium discoideum GN=csn4 PE=2 SV=1	sp|Q54B82|CSN4_DICDI	45 kDa		2
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa		2
Stringent starvation protein A.	sp|P0ACA3|SSPA_ECOLI	24 kDa		2
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		2
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		2
Beta-xylosidase-like protein OS=Dictyostelium discoideum GN=DDB_0187875 PE=4 SV=1	tr|Q54J53|Q54J53_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217077 PE=4 SV=1	tr|Q558Z1|Q558Z1_DICDI	141 kDa		2
Guanine nucleotide-binding protein alpha-5 subunit OS=Dictyostelium discoideum GN=gpaE PE=3 SV=2	sp|P34043|GPA5_DICDI	40 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188640 PE=4 SV=1	tr|Q54GU2|Q54GU2_DICDI	142 kDa		2
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa	TRUE	2
