Identified Proteins (876)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Gbeta_2
Cathepsin Z OS=Dictyostelium discoideum GN=ctsZ PE=1 SV=1	tr|Q54R55|Q54R55_DICDI	33 kDa		3
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96 kDa	TRUE	3
"Probable histidyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=mhisS PE=3 SV=1"	sp|Q55D12|SYHM_DICDI	57 kDa		0
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa	TRUE	4
Succinyl-CoA synthetase beta chain (EC 6	sp|P0A836|SUCC_ECOLI	41 kDa		3
Group IV decarboxylase OS=Dictyostelium discoideum GN=ddcB PE=1 SV=1	tr|Q75JL7|Q75JL7_DICDI	48 kDa		4
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		4
Delta(14)-sterol reductase OS=Dictyostelium discoideum GN=erg24 PE=3 SV=1	sp|Q54PP1|ERG24_DICDI	54 kDa		2
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		4
Ras-like protein rasS OS=Dictyostelium discoideum GN=rasS PE=2 SV=1	sp|P32254|RASS_DICDI	22 kDa		7
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa	TRUE	4
Autocrine proliferation repressor protein A OS=Dictyostelium discoideum GN=aprA PE=1 SV=1	sp|Q5XM24|APRA_DICDI	55 kDa	TRUE	3
Proteasome subunit beta type-3 OS=Dictyostelium discoideum GN=psmB3 PE=3 SV=1	sp|Q55D66|PSB3_DICDI	23 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186336 PE=3 SV=1	tr|Q54NQ7|Q54NQ7_DICDI	28 kDa		6
Ras-related protein Rab-6 OS=Dictyostelium discoideum GN=rab6 PE=3 SV=1	sp|Q55FK2|RAB6_DICDI	23 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0295739 PE=4 SV=1	tr|C7G071|C7G071_DICDI	38 kDa		6
Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	sp|Q54UQ2|PGM2_DICDI	68 kDa		4
26S proteasome non-ATPase regulatory subunit 6 OS=Dictyostelium discoideum GN=psmD6 PE=2 SV=1	sp|Q55C75|PSMD6_DICDI	44 kDa		5
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa		6
Proteasome subunit beta type-7 OS=Dictyostelium discoideum GN=psmB7 PE=3 SV=1	sp|Q54QR2|PSB7_DICDI	29 kDa		11
"60S ribosomal protein L6, mitochondrial OS=Dictyostelium discoideum GN=mrpl6 PE=3 SV=1"	sp|O21037|RM06_DICDI	19 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188978 PE=1 SV=1	tr|Q54FU0|Q54FU0_DICDI	16 kDa		7
Inorganic pyrophosphatase OS=Dictyostelium discoideum GN=ppa1 PE=1 SV=1	sp|Q54PV8|IPYR_DICDI	31 kDa	TRUE	0
Probable 6-phosphogluconolactonase OS=Dictyostelium discoideum GN=pgl PE=3 SV=1	sp|Q54CJ3|6PGL_DICDI	27 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205217 PE=4 SV=1	tr|Q54VB8|Q54VB8_DICDI	33 kDa		0
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa		8
Glycogen debranching enzyme OS=Dictyostelium discoideum GN=agl PE=4 SV=1	rtr|Q54K94|Q54K94_DICDI	184 kDa	TRUE	0
UPF0553 protein OS=Dictyostelium discoideum GN=DDB_G0288723 PE=3 SV=1	sp|Q54II8|U553_DICDI	38 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205008 PE=4 SV=1	tr|Q54RW1|Q54RW1_DICDI	48 kDa		2
Endothelial monocyte-activating polypeptide II pro-EMAP II family protein OS=Dictyostelium discoideum GN=DDB_G0291926 PE=4 SV=1	tr|Q54DX3|Q54DX3_DICDI	41 kDa		9
GDP-L-fucose synthetase OS=Dictyostelium discoideum GN=ger PE=3 SV=1	sp|Q55C77|FCL_DICDI	36 kDa		4
Coproporphyrinogen-III oxidase OS=Dictyostelium discoideum GN=cpox PE=3 SV=1	sp|Q54IA7|HEM6_DICDI	38 kDa		5
"Probable 39S ribosomal protein L22, mitochondrial OS=Dictyostelium discoideum GN=mrpl22 PE=3 SV=1"	sp|Q54WP3|RM22_DICDI	27 kDa		4
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsC PE=3 SV=1"	sp|Q55AI5|SUCB1_DICDI	48 kDa		4
30S ribosomal protein S1.	sp|P0AG67|RS1_ECOLI	61 kDa	TRUE	0
Probable polyketide synthase 14 OS=Dictyostelium discoideum GN=pks14 PE=3 SV=2	sp|Q558Y6|PKS14_DICDI	341 kDa	TRUE	0
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Dictyostelium discoideum GN=ppp6c PE=2 SV=2	sp|Q9U9A3|PPP6_DICDI	35 kDa	TRUE	4
"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=acad8 PE=3 SV=1"	sp|Q54IM8|ACAD8_DICDI	46 kDa		4
"Arginine biosynthesis bifunctional protein argJ, mitochondrial OS=Dictyostelium discoideum GN=argJ PE=3 SV=1"	sp|Q54DY1|ARGJ_DICDI	48 kDa		4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0168497 PE=4 SV=1	tr|Q75JE7|Q75JE7_DICDI	38 kDa		6
Oxysterol-binding protein 7 OS=Dictyostelium discoideum GN=osbG PE=3 SV=1	sp|Q54RM1|OSB7_DICDI	47 kDa		4
Glycogen synthase kinase-3 OS=Dictyostelium discoideum GN=gskA PE=1 SV=2	sp|P51136|GSK3_DICDI	51 kDa		2
Coiled-coil domain-containing protein 124 homolog OS=Dictyostelium discoideum GN=DDB_G0289893 PE=3 SV=1	sp|Q54GW3|CC124_DICDI	29 kDa		7
Ethanolamine-phosphate cytidylyltransferase OS=Dictyostelium discoideum GN=pctA PE=1 SV=1	sp|Q55BZ4|PCY2_DICDI	40 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184469 PE=3 SV=1	tr|Q54D03|Q54D03_DICDI	32 kDa		0
Xaa-Pro dipeptidase OS=Dictyostelium discoideum GN=pepd PE=3 SV=1	sp|Q55E60|PEPD_DICDI	56 kDa		5
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		3
"Fructose-1,6-bisphosphatase OS=Dictyostelium discoideum GN=fbp PE=3 SV=1"	sp|Q6RYT0|F16P_DICDI	38 kDa		4
NEDD8-activating enzyme E1 catalytic subunit OS=Dictyostelium discoideum GN=uba3 PE=3 SV=1	sp|Q54QG9|UBA3_DICDI	49 kDa		2
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		8
Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI	21 kDa		7
Nicotinate phosphoribosyltransferase OS=Dictyostelium discoideum GN=naprt PE=2 SV=1	sp|Q55G10|PNCB_DICDI	66 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169073 PE=1 SV=1	tr|Q86K89|Q86K89_DICDI	27 kDa	TRUE	5
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa		10
Phenylalanine-4-hydroxylase OS=Dictyostelium discoideum GN=pah PE=1 SV=1	sp|Q54XS1|PH4H_DICDI	50 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185424 PE=4 SV=1	tr|Q54RB5|Q54RB5_DICDI	29 kDa		6
MaoC-like dehydratase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0294627 PE=4 SV=1	tr|B0G197|B0G197_DICDI	23 kDa		8
"Ribosomal protein L15, mitochondrial OS=Dictyostelium discoideum GN=mrpl15 PE=3 SV=1"	tr|Q54PP3|Q54PP3_DICDI	28 kDa		9
"Adenylate cyclase, germination specific OS=Dictyostelium discoideum GN=acgA PE=2 SV=2"	sp|Q03101|CYAG_DICDI	98 kDa		0
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa	TRUE	6
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Dictyostelium discoideum GN=ech1 PE=3 SV=1"	sp|Q54SS0|ECH1_DICDI	33 kDa		3
Serine/threonine-protein kinase 4 homolog B OS=Dictyostelium discoideum GN=krsB PE=3 SV=1	sp|Q55FS2|STK4L_DICDI	124 kDa		3
Eukaryotic translation initiation factor 3 subunit F OS=Dictyostelium discoideum GN=eif3f PE=3 SV=1	sp|Q54C49|EIF3F_DICDI	32 kDa		0
"Ribosomal protein L3, mitochondrial OS=Dictyostelium discoideum GN=mrpl3 PE=3 SV=1"	tr|Q54I61|Q54I61_DICDI	39 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	tr|Q86J04|Q86J04_DICDI	64 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219276 PE=4 SV=1	tr|Q54JS9|Q54JS9_DICDI	38 kDa		2
Eukaryotic translation initiation factor 3 subunit C OS=Dictyostelium discoideum GN=eif3c PE=3 SV=1	sp|Q54X97|EIF3C_DICDI	107 kDa		2
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		4
Protein transport protein SEC24 OS=Dictyostelium discoideum GN=sec24 PE=3 SV=1	sp|Q54U61|SEC24_DICDI	115 kDa		6
Probable ATP-dependent RNA helicase ddx1 OS=Dictyostelium discoideum GN=ddx1 PE=3 SV=1	sp|Q55CP6|DDX1_DICDI	85 kDa		2
Signal recognition particle protein (Fif	rsp|P0AGD7|SRP54_ECOLI	50 kDa		2
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	sp|Q54RX9|RAB5B_DICDI	23 kDa		3
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI	139 kDa	TRUE	2
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Dictyostelium discoideum GN=ndufs4 PE=3 SV=2"	sp|Q8T1V6|NDUS4_DICDI	22 kDa		4
NADH:flavin oxidoreductase/NADH oxidase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187621 PE=4 SV=1	tr|Q54JW3|Q54JW3_DICDI	49 kDa		2
Beta-xylosidase-like protein OS=Dictyostelium discoideum GN=DDB_0187875 PE=4 SV=1	tr|Q54J53|Q54J53_DICDI	56 kDa	TRUE	2
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa	TRUE	4
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa		4
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0167441 PE=4 SV=1	tr|Q869X1|Q869X1_DICDI	94 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205475 PE=4 SV=1	tr|Q54Y17|Q54Y17_DICDI	61 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0294631 PE=4 SV=1	tr|B0G156|B0G156_DICDI	28 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	tr|Q54W38|Q54W38_DICDI	102 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216934 PE=4 SV=1	tr|Q869N7|Q869N7_DICDI	36 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190749 PE=4 SV=1	tr|Q55CK0|Q55CK0_DICDI	31 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169413 PE=4 SV=1	tr|Q7KWR1|Q7KWR1_DICDI	41 kDa	TRUE	4
Flavohemoprotein B OS=Dictyostelium discoideum GN=fhbB PE=1 SV=1	sp|Q54D73|FHBB_DICDI	48 kDa		3
Uracil phosphoribosyltransferase OS=Dictyostelium discoideum GN=uprt PE=3 SV=1	sp|Q55GQ6|UPP_DICDI	24 kDa	TRUE	3
Phosphatidylserine decarboxylase OS=Dictyostelium discoideum GN=DDB_G0276503 PE=4 SV=1	tr|C7FZZ8|C7FZZ8_DICDI	45 kDa		3
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=acoA PE=4 SV=1	tr|Q54RB0|Q54RB0_DICDI	78 kDa		3
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		3
N-acetyl-D-glucosamine kinase OS=Dictyostelium discoideum GN=nagk PE=3 SV=1	sp|Q54PM7|NAGK_DICDI	35 kDa		4
Nuclear cap-binding protein subunit 1 OS=Dictyostelium discoideum GN=ncbp1 PE=3 SV=1	sp|Q55D17|NCBP1_DICDI	89 kDa	TRUE	7
Acyl-protein thioesterase 1 homolog 2 OS=Dictyostelium discoideum GN=DDB_G0268064 PE=2 SV=1	sp|Q55FK4|APT12_DICDI	25 kDa	TRUE	8
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		6
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		6
Ras-related protein RabG2 OS=Dictyostelium discoideum GN=rabG2 PE=3 SV=2	sp|Q54FL2|RABG2_DICDI	22 kDa	TRUE	11
Aldehyde dehydrogenase family 3 comG OS=Dictyostelium discoideum GN=comG PE=3 SV=1	sp|Q54DG1|ALDH3_DICDI	53 kDa		2
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=mproS PE=3 SV=1	tr|Q75JK9|Q75JK9_DICDI	77 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191671 PE=4 SV=1	tr|Q54CK4|Q54CK4_DICDI	39 kDa		0
COP9 signalosome complex subunit 5 OS=Dictyostelium discoideum GN=csn5 PE=1 SV=1	sp|Q54PF3|CSN5_DICDI	38 kDa		3
Adenylosuccinate synthetase OS=Dictyostelium discoideum GN=purA PE=1 SV=1	sp|P21900|PURA_DICDI	47 kDa		8
"2,3-bisphosphoglycerate-dependent phosph"	sp|P62707|GPMA_ECOLI	28 kDa		5
Electron transfer flavoprotein subunit beta OS=Dictyostelium discoideum GN=etfb PE=3 SV=1	sp|Q54YZ4|ETFB_DICDI	27 kDa		0
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa		0
Mitochondrial substrate carrier family protein G OS=Dictyostelium discoideum GN=mcfG PE=2 SV=1	sp|Q54BM3|MCFG_DICDI	32 kDa		0
Argonaut-like protein OS=Dictyostelium discoideum GN=agnB PE=4 SV=1	tr|Q54G64|Q54G64_DICDI	104 kDa	TRUE	2
Serine/threonine-protein phosphatase 2A regulatory subunit pppA OS=Dictyostelium discoideum GN=pppA PE=2 SV=1	sp|Q54QR9|2AAA_DICDI	65 kDa		3
Probable elongator complex protein 2 OS=Dictyostelium discoideum GN=elp2 PE=3 SV=1	sp|Q86H45|ELP2_DICDI	101 kDa		4
Guanine nucleotide-binding protein alpha-12 subunit OS=Dictyostelium discoideum GN=gpaL PE=3 SV=1	sp|Q54VG1|GPA12_DICDI	41 kDa	TRUE	2
Cytochrome c oxidase subunit 3 OS=Dictyostelium discoideum GN=cox3 PE=3 SV=1	sp|O21049|COX3_DICDI	50 kDa	TRUE	3
GCN5-related N-acetyltransferase OS=Dictyostelium discoideum GN=DDB_0219556 PE=4 SV=1	tr|Q54G61|Q54G61_DICDI	36 kDa	TRUE	3
T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI	59 kDa		4
Calcineurin subunit A OS=Dictyostelium discoideum GN=canA PE=1 SV=1	sp|Q7YSW8|PP2BA_DICDI	71 kDa	TRUE	4
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184511 PE=4 SV=1	tr|Q54CW1|Q54CW1_DICDI	19 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205566 PE=4 SV=1	tr|Q54U01|Q54U01_DICDI	93 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187764 PE=4 SV=1	tr|Q54JG6|Q54JG6_DICDI	233 kDa	TRUE	4
Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI	37 kDa		3
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa	TRUE	3
"Myosin, essential light chain OS=Dictyostelium discoideum GN=mlcE PE=1 SV=2"	sp|P09402|MLE_DICDI	16 kDa		5
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202949 PE=4 SV=1	tr|Q551A9|Q551A9_DICDI	88 kDa	TRUE	5
Translation initiation factor eIF-2B subunit alpha OS=Dictyostelium discoideum GN=eif2b1 PE=3 SV=1	sp|Q54I81|EI2BA_DICDI	36 kDa	TRUE	2
Cofilin-1 OS=Dictyostelium discoideum GN=cofA PE=1 SV=1	sp|P54706|COF1_DICDI	15 kDa		4
Eukaryotic translation initiation factor 1A OS=Dictyostelium discoideum GN=eif1a PE=3 SV=1	sp|Q54YJ6|IF1A_DICDI	16 kDa	TRUE	5
Dihydropteridine reductase OS=Dictyostelium discoideum GN=qdpr PE=1 SV=1	sp|Q86A17|DHPR_DICDI	25 kDa		5
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		7
Proteasome subunit alpha type-3 OS=Dictyostelium discoideum GN=psmA3 PE=2 SV=2	sp|Q27563|PSA3_DICDI	27 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186532 PE=4 SV=1	tr|Q54N53|Q54N53_DICDI	21 kDa		6
"Superoxide dismutase [Mn], mitochondrial OS=Dictyostelium discoideum GN=sod2 PE=3 SV=1"	sp|Q55BJ9|SODM_DICDI	25 kDa		8
Immunoglobulin E-set domain-containing protein OS=Dictyostelium discoideum GN=tgrK1 PE=4 SV=1	rtr|Q55AU2|Q55AU2_DICDI	99 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186704 PE=4 SV=1	tr|Q54MN4|Q54MN4_DICDI	38 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185703 PE=4 SV=1	tr|Q54QI3|Q54QI3_DICDI	56 kDa		6
Rac guanine nucleotide exchange factor JJ OS=Dictyostelium discoideum GN=gxcJJ PE=1 SV=1	sp|Q553D3|GXCJJ_DICDI	138 kDa	TRUE	2
Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI	71 kDa		3
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa		2
Sphingosine-1-phosphate lyase OS=Dictyostelium discoideum GN=sglA PE=2 SV=1	sp|Q54RV9|SGPL_DICDI	58 kDa		2
UPF0652 protein OS=Dictyostelium discoideum GN=DDB_G0293552 PE=3 SV=1	sp|Q54BM8|U652_DICDI	78 kDa		2
Mitochondrial substrate carrier family protein Q OS=Dictyostelium discoideum GN=mcfQ PE=2 SV=1	sp|Q76P23|PM34_DICDI	36 kDa		3
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		4
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0169112 PE=1 SV=1	tr|Q86AQ3|Q86AQ3_DICDI	37 kDa		3
Glucose-methanol-choline oxidoreductase OS=Dictyostelium discoideum GN=DDB_0184181 PE=4 SV=1	tr|Q54DT6|Q54DT6_DICDI	85 kDa	TRUE	2
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0275039 PE=4 SV=1	tr|Q86I62|Q86I62_DICDI	80 kDa		4
Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI	23 kDa		6
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	sp|Q54HL0|COPG_DICDI	102 kDa	TRUE	3
"Probable 39S ribosomal protein L17, mitochondrial OS=Dictyostelium discoideum GN=mrpl17 PE=3 SV=1"	sp|Q54TY5|RM17_DICDI	21 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191799 PE=4 SV=1	tr|Q54C73|Q54C73_DICDI	26 kDa	TRUE	7
Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1	sp|Q54XK2|SC61A_DICDI	52 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188673 PE=4 SV=1	tr|Q54GQ7|Q54GQ7_DICDI	46 kDa		3
N-acetyltransferase 5 homolog OS=Dictyostelium discoideum GN=nat5 PE=3 SV=2	sp|Q8SSN5|NAT5_DICDI	20 kDa		4
ORF425 OS=Dictyostelium discoideum PE=4 SV=1	tr|Q23890|Q23890_DICDI	52 kDa		4
Cytochrome b5 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0270752 PE=3 SV=2	tr|Q55C71|Q55C71_DICDI	21 kDa		7
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Dictyostelium discoideum GN=ost1 PE=2 SV=1	sp|Q54C27|OST1_DICDI	52 kDa		0
Alcohol dehydrogenase class-3 OS=Dictyostelium discoideum GN=adh5 PE=3 SV=1	sp|Q54TC2|ADHX_DICDI	41 kDa		4
Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3	sp|P02599|CALM_DICDI	17 kDa		4
"Ribosomal protein S8, mitochondrial OS=Dictyostelium discoideum GN=mrps8 PE=3 SV=1"	sp|O21036|RT08_DICDI	17 kDa	TRUE	4
Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI	15 kDa		6
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		5
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188270 PE=3 SV=1	tr|Q54HZ2|Q54HZ2_DICDI	32 kDa	TRUE	0
Triosephosphate isomerase OS=Dictyostelium discoideum GN=tpiA PE=3 SV=1	sp|Q869R8|TPIS_DICDI	28 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	4
Rho-related protein racC OS=Dictyostelium discoideum GN=racC PE=1 SV=1	sp|P34149|RACC_DICDI	22 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168344 PE=4 SV=2	tr|Q8T2R4|Q8T2R4_DICDI	17 kDa		8
"3-hydroxybutyryl-CoA dehydratase-like protein, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0271866 PE=3 SV=1"	sp|Q869N6|CRTL_DICDI	33 kDa	TRUE	0
"ATP synthase subunit gamma, mitochondrial OS=Dictyostelium discoideum GN=atp5C1 PE=1 SV=1"	sp|Q54DF1|ATPG_DICDI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169491 PE=4 SV=1	tr|Q75JJ3|Q75JJ3_DICDI	184 kDa	TRUE	2
Probable nucleosome assembly protein OS=Dictyostelium discoideum GN=nap1 PE=2 SV=1	sp|Q55ED1|NAP1_DICDI	37 kDa		3
Alpha adducin OS=Dictyostelium discoideum GN=ahhA PE=4 SV=1	tr|Q54T47|Q54T47_DICDI	30 kDa		0
tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit trm6 OS=Dictyostelium discoideum GN=trmt6 PE=3 SV=1	sp|Q54UB1|TRM6_DICDI	58 kDa		2
Protein SEY1 homolog OS=Dictyostelium discoideum GN=DDB_0206311 PE=3 SV=1	sp|Q54W90|SEY1_DICDI	104 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186283 PE=4 SV=1	tr|Q54NV9|Q54NV9_DICDI	46 kDa		13
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa		2
Fatty acyl-CoA synthetase B OS=Dictyostelium discoideum GN=fcsB PE=2 SV=1	sp|Q1ZXQ4|FCSB_DICDI	76 kDa		2
Probable ethanolamine kinase A OS=Dictyostelium discoideum GN=etnkA PE=3 SV=1	sp|Q869T9|EKIA_DICDI	41 kDa		3
Xylose transport system permease protein	sp|P0AGI4|XYLH_ECOLI	41 kDa		2
Probable coatomer subunit zeta-A OS=Dictyostelium discoideum GN=copza PE=3 SV=1	sp|Q54HD4|COPZA_DICDI	20 kDa		4
Probable acid phosphatase DDB_G0284755 OS=Dictyostelium discoideum GN=DDB_G0284755 PE=3 SV=2	sp|Q54P71|Y4755_DICDI	55 kDa	TRUE	6
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=etfa PE=3 SV=1"	sp|Q54FD7|ETFA_DICDI	38 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205001 PE=3 SV=1	tr|Q54RW8|Q54RW8_DICDI	41 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217810 PE=4 SV=1	tr|Q551Q1|Q551Q1_DICDI (+1)	28 kDa		2
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa	TRUE	4
Serine/threonine-protein phosphatase 4 catalytic subunit OS=Dictyostelium discoideum GN=ppp4c PE=1 SV=1	sp|Q9Y0B7|PP4C_DICDI	35 kDa	TRUE	4
TatD-related DNAse OS=Dictyostelium discoideum GN=DDB_0190416 PE=4 SV=2	tr|Q55DK1|Q55DK1_DICDI	39 kDa	TRUE	0
