Identified Proteins (670)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galphai_AluFl
Matrin-3 OS=Homo sapiens GN=MATR3 PE=4 SV=1	tr|A8MXP9|A8MXP9_HUMAN (+8)	100 kDa	TRUE	3
Uncharacterized protein yeiA OS=Escherichia coli GN=yeiA PE=4 SV=1	tr|E2QP13|E2QP13_ECOLX	45 kDa		0
Dihydrolipoyllysine-residue succinyltransferase component OS=Escherichia coli GN=sucB PE=3 SV=1	tr|E2QIA0|E2QIA0_ECOLX	44 kDa		2
NadH-quinone oxidoreductase subunit F OS=Escherichia coli GN=nuoF PE=4 SV=1	tr|E2QPE5|E2QPE5_ECOLX	49 kDa		0
"Fructose-1,6-bisphosphatase OS=Escherichia coli GN=glpX PE=3 SV=1"	tr|E2QIV2|E2QIV2_ECOLX	36 kDa	TRUE	2
ER degradation-enhancing alpha-mannosidase-like 3 (Fragment) OS=Homo sapiens GN=EDEM3 PE=4 SV=1	tr|H0Y498|H0Y498_HUMAN (+1)	42 kDa		2
Uncharacterized protein yhbW OS=Escherichia coli GN=yhbW PE=4 SV=1	tr|E2QEJ5|E2QEJ5_ECOLX	37 kDa		2
Calcium/calmodulin-dependent protein kinase type II subunit gamma (Fragment) OS=Homo sapiens GN=CAMK2G PE=4 SV=1	tr|H0Y6G2|H0Y6G2_HUMAN (+3)	37 kDa		0
DENN domain-containing protein 4B (Fragment) OS=Homo sapiens GN=DENND4B PE=4 SV=1	tr|E9PAK5|E9PAK5_HUMAN	133 kDa		2
Nuclear pore complex-interacting protein-like 3 OS=Homo sapiens GN=NPIPL3 PE=4 SV=1	tr|F5H7B8|F5H7B8_HUMAN	117 kDa		0
Fibroblast growth factor receptor OS=Homo sapiens GN=FGFR3 PE=3 SV=1	tr|F8W9L4|F8W9L4_HUMAN	85 kDa	TRUE	2
Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens GN=IQGAP2 PE=4 SV=1	tr|F5H7S7|F5H7S7_HUMAN (+3)	124 kDa		23
Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli GN=gatD PE=3 SV=1	tr|E2QNV9|E2QNV9_ECOLX	37 kDa		0
Coronin OS=Homo sapiens GN=CORO1B PE=3 SV=1	tr|E7EW44|E7EW44_HUMAN (+2)	32 kDa		0
Nuclear factor NF-kappa-B p105 subunit (Fragment) OS=Homo sapiens GN=NFKB1 PE=4 SV=1	tr|D6RF93|D6RF93_HUMAN	21 kDa		0
"Splicing factor, proline- and glutamine-rich (Fragment) OS=Homo sapiens GN=SFPQ PE=4 SV=1"	tr|H0Y9K7|H0Y9K7_HUMAN (+1)	26 kDa		0
Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP15 PE=3 SV=2	tr|E9PCQ3|E9PCQ3_HUMAN	110 kDa	TRUE	3
Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=2 SV=1	tr|B4DSU6|B4DSU6_HUMAN (+12)	16 kDa		2
WD repeat-containing protein 61 OS=Homo sapiens GN=WDR61 PE=4 SV=1	tr|H0YMF9|H0YMF9_HUMAN (+3)	21 kDa		3
Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Homo sapiens GN=ARFGEF1 PE=4 SV=1	tr|E5RIF2|E5RIF2_HUMAN (+1)	143 kDa		0
4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=2 SV=1	tr|B4DXY7|B4DXY7_HUMAN	46 kDa		0
AMP deaminase 3 OS=Homo sapiens GN=AMPD3 PE=4 SV=1	tr|E9PKC5|E9PKC5_HUMAN (+4)	78 kDa		2
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=2 SV=1	tr|B7Z3E2|B7Z3E2_HUMAN	18 kDa		0
Cullin-associated NEDD8-dissociated protein 1 (Fragment) OS=Homo sapiens GN=CAND1 PE=4 SV=1	tr|H0YH27|H0YH27_HUMAN	50 kDa		0
30S ribosomal protein S2 OS=Escherichia coli GN=rpsB PE=3 SV=1	tr|C3TPN2|C3TPN2_ECOLX	27 kDa		0
Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=2 SV=1	tr|B7Z7P8|B7Z7P8_HUMAN	47 kDa		0
Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=2 SV=1	tr|B4DUR9|B4DUR9_HUMAN (+2)	32 kDa		3
"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (Fragment) OS=Homo sapiens GN=INPP5D PE=4 SV=1"	tr|H0Y5Q9|H0Y5Q9_HUMAN	91 kDa		4
Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=4 SV=1	tr|F5H4D6|F5H4D6_HUMAN	31 kDa		4
DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Homo sapiens GN=APEX1 PE=4 SV=1	tr|G3V359|G3V359_HUMAN (+4)	19 kDa		3
COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=4 SV=1	tr|E7EM64|E7EM64_HUMAN	36 kDa		0
Proteasome subunit beta type OS=Homo sapiens GN=PSMB9 PE=3 SV=1	tr|A2ACR1|A2ACR1_HUMAN (+1)	21 kDa		3
Sulfate adenylyltransferase subunit 1 OS=Escherichia coli GN=cysN PE=3 SV=1	tr|E2QQK3|E2QQK3_ECOLX	53 kDa		0
"Sorting nexin 6, isoform CRA_e OS=Homo sapiens GN=SNX6 PE=2 SV=1"	tr|B4DJS7|B4DJS7_HUMAN	34 kDa	TRUE	0
Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=4 SV=1	tr|E9PLK3|E9PLK3_HUMAN	103 kDa		0
DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 OS=Homo sapiens GN=DDX58 PE=4 SV=1	tr|A2A376|A2A376_HUMAN (+2)	83 kDa		2
Regulator of chromosome condensation (Fragment) OS=Homo sapiens GN=RCC1 PE=4 SV=1	tr|C9JW69|C9JW69_HUMAN (+4)	40 kDa		2
WD repeat-containing protein 44 OS=Homo sapiens GN=WDR44 PE=4 SV=1	tr|F8W913|F8W913_HUMAN (+1)	91 kDa		0
Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1	tr|H0YHG0|H0YHG0_HUMAN	59 kDa	TRUE	2
40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=4 SV=1	tr|E9PL45|E9PL45_HUMAN (+11)	18 kDa	TRUE	3
"Formate dehydrogenase-O, iron-sulfur subunit OS=Escherichia coli GN=fdoH PE=4 SV=1"	tr|E2QIS4|E2QIS4_ECOLX	33 kDa		2
DNA replication and repair protein RecF OS=Escherichia coli GN=recF PE=3 SV=1	tr|C3SLM7|C3SLM7_ECOLX (+1)	41 kDa		0
Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=4 SV=1	tr|D6REL8|D6REL8_HUMAN	31 kDa		0
Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=4 SV=1	tr|F5GXS2|F5GXS2_HUMAN	60 kDa		65
Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=4 SV=1	tr|F8W9B4|F8W9B4_HUMAN (+3)	29 kDa	TRUE	3
Copine I OS=Homo sapiens GN=CPNE1 PE=4 SV=1	tr|A6PVH9|A6PVH9_HUMAN (+4)	53 kDa		0
Endoplasmin (Fragment) OS=Homo sapiens GN=HSP90B1 PE=4 SV=1	tr|H0YIV0|H0YIV0_HUMAN	17 kDa		0
Ribosomal protein S6 kinase alpha-3 OS=Homo sapiens GN=RPS6KA3 PE=2 SV=1	tr|B4DG22|B4DG22_HUMAN (+4)	81 kDa		0
PTS system trehalose-specific EIIBC component OS=Escherichia coli GN=treB PE=4 SV=1	tr|E2QL31|E2QL31_ECOLX	51 kDa		0
Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens GN=RAP1GDS1 PE=4 SV=1	tr|E9PH06|E9PH06_HUMAN (+3)	57 kDa		0
26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Homo sapiens GN=PSMD4 PE=4 SV=1	tr|H0Y3Y9|H0Y3Y9_HUMAN (+1)	21 kDa		0
Phospholipase A-2-activating protein OS=Homo sapiens GN=PLAA PE=4 SV=1	tr|E5RIM3|E5RIM3_HUMAN	67 kDa	TRUE	2
Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 PE=2 SV=1	tr|B3KNX7|B3KNX7_HUMAN (+2)	58 kDa		0
Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=4 SV=2	tr|A6NJG9|A6NJG9_HUMAN (+2)	29 kDa		0
14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=2 SV=1	tr|B0AZS6|B0AZS6_HUMAN (+4)	19 kDa	TRUE	0
tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=C22orf28 PE=4 SV=2	tr|E7EQS9|E7EQS9_HUMAN	19 kDa		0
"Actinin, alpha 2, isoform CRA_b OS=Homo sapiens GN=ACTN2 PE=2 SV=1"	tr|B2RCS5|B2RCS5_HUMAN (+1)	104 kDa		25
"Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=4 SV=1"	tr|D6REN6|D6REN6_HUMAN (+5)	55 kDa		0
Annexin OS=Homo sapiens GN=ANXA5 PE=3 SV=1	tr|D6RBE9|D6RBE9_HUMAN (+3)	25 kDa		3
Actin-related protein 10 OS=Homo sapiens GN=ACTR10 PE=4 SV=1	tr|F6S9Y6|F6S9Y6_HUMAN (+3)	21 kDa	TRUE	0
50S ribosomal protein L15 OS=Escherichia coli GN=rplO PE=3 SV=1	tr|C3SR37|C3SR37_ECOLX	15 kDa		4
"40S ribosomal protein S4, Y isoform 1 (Fragment) OS=Homo sapiens GN=RPS4Y1 PE=4 SV=1"	tr|C9JEH7|C9JEH7_HUMAN	29 kDa		4
Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	sp|B9A064|IGLL5_HUMAN (+1)	23 kDa		0
40S ribosomal protein S3a (Fragment) OS=Homo sapiens GN=RPS3A PE=3 SV=1	tr|D6RG13|D6RG13_HUMAN (+11)	26 kDa		0
Abl interactor 1 OS=Homo sapiens GN=ABI1 PE=4 SV=2	tr|A6NFN2|A6NFN2_HUMAN (+3)	55 kDa		0
tRNA pseudouridine synthase OS=Homo sapiens GN=PUS1 PE=3 SV=1	tr|F5H1S9|F5H1S9_HUMAN (+1)	42 kDa		2
Transcription termination factor Rho OS=Escherichia coli GN=rho PE=3 SV=1	tr|C3SKQ2|C3SKQ2_ECOLX (+3)	47 kDa		0
Coiled-coil domain-containing protein 93 OS=Homo sapiens GN=CCDC93 PE=4 SV=1	tr|F8W9X7|F8W9X7_HUMAN	73 kDa		0
Myelin expression factor 2 (Fragment) OS=Homo sapiens GN=MYEF2 PE=4 SV=1	tr|H0YN19|H0YN19_HUMAN	31 kDa		0
"ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H, isoform CRA_c OS=Homo sapiens GN=ATP6V1H PE=4 SV=1"	tr|G3V126|G3V126_HUMAN	52 kDa		2
Serine/threonine-protein kinase 3 36kDa subunit OS=Homo sapiens GN=STK3 PE=2 SV=1	tr|B3KYA7|B3KYA7_HUMAN (+2)	59 kDa		0
GRB2-related adapter protein 2 (Fragment) OS=Homo sapiens GN=GRAP2 PE=4 SV=1	tr|B1AH86|B1AH86_HUMAN (+1)	11 kDa		0
Coronin OS=Homo sapiens GN=CORO1C PE=2 SV=1	tr|A7MAP1|A7MAP1_HUMAN (+7)	59 kDa	TRUE	0
50S ribosomal protein L9 OS=Escherichia coli GN=rplI PE=3 SV=1	tr|C3SFP2|C3SFP2_ECOLX	16 kDa		3
Eukaryotic translation initiation factor 3 subunit D (Fragment) OS=Homo sapiens GN=EIF3D PE=4 SV=1	tr|B0QYA3|B0QYA3_HUMAN (+2)	20 kDa		0
"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=2 SV=1"	tr|B4DN60|B4DN60_HUMAN (+1)	35 kDa		0
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens GN=ETFA PE=4 SV=1"	REVtr|H0YK49|H0YK49_HUMAN (+4)	24 kDa		0
Exportin-1 (Fragment) OS=Homo sapiens GN=XPO1 PE=4 SV=1	tr|C9JKM9|C9JKM9_HUMAN (+5)	21 kDa		0
Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=3 SV=1	tr|E9PAV2|E9PAV2_HUMAN	18 kDa		0
S-adenosylmethionine synthase OS=Homo sapiens GN=MAT2A PE=2 SV=1	tr|B4DN45|B4DN45_HUMAN	33 kDa		0
Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=2 SV=1	tr|B7Z7Q0|B7Z7Q0_HUMAN	32 kDa	TRUE	2
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (Fragment) OS=Homo sapiens GN=PPP2CB PE=4 SV=1	tr|H0YC23|H0YC23_HUMAN	14 kDa		0
T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=3 SV=1	tr|F5GZK5|F5GZK5_HUMAN	49 kDa		0
Nuclear factor NF-kappa-B p105 subunit (Fragment) OS=Homo sapiens GN=NFKB1 PE=4 SV=1	tr|D6RH30|D6RH30_HUMAN (+1)	22 kDa		0
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens GN=PPP2R1B PE=4 SV=2	tr|A8MY67|A8MY67_HUMAN (+1)	52 kDa		2
Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens GN=PPP1R12C PE=4 SV=2	tr|B5MEC7|B5MEC7_HUMAN	78 kDa		0
V-type proton ATPase subunit D OS=Homo sapiens GN=ATP6V1D PE=4 SV=1	tr|G3V559|G3V559_HUMAN (+5)	20 kDa		0
Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=4 SV=1	tr|F5H425|F5H425_HUMAN (+1)	23 kDa		2
30S ribosomal protein S9 OS=Escherichia coli GN=rpsI PE=3 SV=1	tr|C3SRY2|C3SRY2_ECOLX	15 kDa		4
Arachidonate 15-lipoxygenase OS=Homo sapiens GN=ALOX15 PE=2 SV=1	tr|B7ZA11|B7ZA11_HUMAN (+1)	70 kDa		0
26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Homo sapiens GN=PSMD4 PE=4 SV=1	tr|A6PVX3|A6PVX3_HUMAN	22 kDa		0
Extracellular matrix protein FRAS1 OS=Homo sapiens GN=FRAS1 PE=4 SV=1	tr|E9PHH6|E9PHH6_HUMAN	444 kDa		0
Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=4 SV=1	REVtr|E9PCV6|E9PCV6_HUMAN	322 kDa		0
Protein FRG1 (Fragment) OS=Homo sapiens GN=FRG1 PE=4 SV=1	tr|E9PRR7|E9PRR7_HUMAN (+1)	13 kDa		2
Regulation of nuclear pre-mRNA domain containing 1B (Fragment) OS=Homo sapiens GN=RPRD1B PE=4 SV=1	tr|A2A2M0|A2A2M0_HUMAN	22 kDa		0
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (Fragment) OS=Homo sapiens GN=PLCG2 PE=4 SV=1"	tr|H3BPZ3|H3BPZ3_HUMAN	21 kDa		2
Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens GN=ARHGAP1 PE=4 SV=1	tr|H0YE29|H0YE29_HUMAN	38 kDa		0
Glutathione synthetase OS=Homo sapiens GN=GSS PE=2 SV=1	tr|B7Z514|B7Z514_HUMAN (+1)	38 kDa		0
Uncharacterized protein OS=Homo sapiens PE=4 SV=1	tr|E5RGS7|E5RGS7_HUMAN (+2)	14 kDa		3
Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=4 SV=1	tr|E9PPJ0|E9PPJ0_HUMAN (+3)	98 kDa		0
DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=2 SV=1	tr|B7Z5C0|B7Z5C0_HUMAN	28 kDa		0
Iron-sulfur cluster insertion protein ErpA OS=Escherichia coli GN=yadR PE=3 SV=1	tr|C3TPT7|C3TPT7_ECOLX	12 kDa		0
50S ribosomal protein L11 OS=Escherichia coli GN=rplK PE=3 SV=1	tr|C3SIC7|C3SIC7_ECOLX	15 kDa		3
Cleavage and polyadenylation-specificity factor subunit 5 (Fragment) OS=Homo sapiens GN=NUDT21 PE=4 SV=1	tr|H3BND3|H3BND3_HUMAN	17 kDa		0
Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens GN=GMPPA PE=4 SV=1	tr|F8WD54|F8WD54_HUMAN (+2)	32 kDa		0
Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment) OS=Homo sapiens GN=IDH1 PE=3 SV=1	tr|C9J4N6|C9J4N6_HUMAN	18 kDa		0
Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=4 SV=1	tr|F5H6C4|F5H6C4_HUMAN (+2)	74 kDa		0
50S ribosomal protein L17 OS=Escherichia coli GN=rplQ PE=3 SV=1	tr|C3SR72|C3SR72_ECOLX	14 kDa		2
Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=3 SV=1	tr|G3V5I3|G3V5I3_HUMAN (+12)	51 kDa		0
Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP14 PE=3 SV=2	tr|A6NJA2|A6NJA2_HUMAN (+1)	51 kDa		0
Transcriptional regulatory protein phoP OS=Escherichia coli GN=phoP PE=4 SV=1	tr|E2QKL3|E2QKL3_ECOLX	26 kDa		0
Heat shock cognate 71 kDa protein (Fragment) OS=Homo sapiens GN=HSPA8 PE=3 SV=1	tr|E9PI65|E9PI65_HUMAN (+4)	18 kDa	TRUE	0
Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Homo sapiens GN=FKBP4 PE=4 SV=1	tr|F5H1U3|F5H1U3_HUMAN	10 kDa		0
"GDP dissociation inhibitor 1, isoform CRA_a OS=Homo sapiens GN=GDI1 PE=4 SV=1"	tr|G5E9U5|G5E9U5_HUMAN	16 kDa		0
Guanine nucleotide-binding protein subunit beta-2-like 1 (Fragment) OS=Homo sapiens GN=GNB2L1 PE=4 SV=1	tr|H0Y8W2|H0Y8W2_HUMAN (+1)	30 kDa		0
Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens GN=PPP5C PE=3 SV=1	tr|H0YDU8|H0YDU8_HUMAN	55 kDa		0
Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens GN=GNPDA1 PE=3 SV=1	tr|D6R9P4|D6R9P4_HUMAN (+1)	31 kDa	TRUE	0
Zinc finger protein 207 OS=Homo sapiens GN=ZNF207 PE=4 SV=1	tr|E1P660|E1P660_HUMAN	53 kDa		0
BRCA1-A complex subunit BRE (Fragment) OS=Homo sapiens GN=BRE PE=4 SV=1	tr|C9J2G0|C9J2G0_HUMAN (+1)	17 kDa		0
DNA polymerase beta OS=Homo sapiens GN=POLB PE=4 SV=1	tr|E5RIJ0|E5RIJ0_HUMAN (+2)	22 kDa		2
Neurobeachin-like protein 2 (Fragment) OS=Homo sapiens GN=NBEAL2 PE=4 SV=1	tr|H0Y764|H0Y764_HUMAN	224 kDa		0
Small nuclear ribonucleoprotein-associated protein OS=Homo sapiens GN=SNRPN PE=2 SV=1	tr|B3KVR1|B3KVR1_HUMAN	25 kDa		0
Plectin (Fragment) OS=Homo sapiens GN=PLEC PE=4 SV=1	tr|H0YDN1|H0YDN1_HUMAN	24 kDa		3
Glycogen synthase kinase-3 alpha OS=Homo sapiens GN=GSK3A PE=4 SV=2	tr|A8MT37|A8MT37_HUMAN	45 kDa		0
Rho guanine nucleotide exchange factor 10 OS=Homo sapiens GN=ARHGEF10 PE=4 SV=1	tr|E9PB39|E9PB39_HUMAN (+1)	68 kDa		0
Lymphocyte antigen 6K OS=Homo sapiens GN=LY6K PE=4 SV=2	tr|E5RGJ8|E5RGJ8_HUMAN (+2)	11 kDa		2
General transcription factor 3C polypeptide 5 OS=Homo sapiens GN=GTF3C5 PE=4 SV=1	REVtr|H7BY84|H7BY84_HUMAN	58 kDa	TRUE	2
Phosphatidylinositol 3-kinase regulatory subunit alpha (Fragment) OS=Homo sapiens GN=PIK3R1 PE=4 SV=1	tr|H0YBC2|H0YBC2_HUMAN	22 kDa		0
UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=4 SV=1	tr|C9J7I2|C9J7I2_HUMAN (+4)	93 kDa		0
Target of Myb protein 1 OS=Homo sapiens GN=TOM1 PE=4 SV=1	tr|E7EPD0|E7EPD0_HUMAN	50 kDa		0
30S ribosomal protein S4 OS=Escherichia coli GN=rpsD PE=3 SV=1	tr|C3SR62|C3SR62_ECOLX	23 kDa		0
NF-kappa-B essential modulator OS=Homo sapiens GN=IKBKG PE=4 SV=2	tr|A8MV29|A8MV29_HUMAN (+4)	47 kDa		0
Coatomer subunit zeta-1 OS=Homo sapiens GN=COPZ1 PE=4 SV=1	tr|F8W651|F8W651_HUMAN	13 kDa		0
Unconventional myosin-Ie (Fragment) OS=Homo sapiens GN=MYO1E PE=4 SV=1	tr|H0YLE5|H0YLE5_HUMAN	22 kDa		2
Polyribonucleotide 5'-hydroxyl-kinase Clp1 OS=Homo sapiens GN=CLP1 PE=4 SV=1	tr|E9PL17|E9PL17_HUMAN	49 kDa		0
Allantoinase OS=Escherichia coli GN=allB PE=3 SV=1	REVtr|E2QHA2|E2QHA2_ECOLX	50 kDa		0
Tyrosine-protein kinase CSK (Fragment) OS=Homo sapiens GN=CSK PE=4 SV=1	tr|H3BUM9|H3BUM9_HUMAN	12 kDa		0
Histidine ammonia-lyase (Fragment) OS=Homo sapiens GN=HAL PE=4 SV=1	tr|F8W0V1|F8W0V1_HUMAN	18 kDa	TRUE	0
